User,Tweet,Date,Source,Profile Photo,Translate,Emoji,Sentiment1,Sentiment2
wishmurilo_h,"RT @MicaelOficial: Mas pra deixar claro que o fato de não estar ansioso, eu vou torcer muito pro @Aguiarthur ! Que assim como nós estamos e…",Tue Jan 18 02:33:09 +0000 2022,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",http://pbs.twimg.com/profile_images/1483247976428544007/CV9w3me6_normal.jpg,That just as we are and…,set(),0.0,0.12
dramaticadu,"RT @alinewsaleh: @mayracardi inteligente como é, deve ter apoiado a ida do @Aguiarthur para o @bbb só para observá-lo 24h por dia e ver o c…",Tue Jan 18 02:32:54 +0000 2022,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",http://pbs.twimg.com/profile_images/1476250613327581188/aABx2ik5_normal.jpg,"RT @alinewsaleh: @mayracardi smart as he is, must have supported @Aguiarthur going to @bbb just to watch him 24 hours a day and see the…",set(),0.21,0.21
gabscyruss,@MicaelOficial @Aguiarthur amo tantoooo #TeamArthurAguiar,Tue Jan 18 02:32:50 +0000 2022,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",http://pbs.twimg.com/profile_images/1472502702756220931/d05EvGcZ_normal.jpg,@MicaelOficial @Aguiarthur I love it sooooo much #TeamArthurAguiar,set(),0.35,0.35
lovelyplacesz,"@MicaelOficial @ThurMeuNindo @Aguiarthur Ai Mika, obrigada por isso... de verdade.
Significa muito ❤❤❤🤧",Tue Jan 18 02:32:48 +0000 2022,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",http://pbs.twimg.com/profile_images/1446501173146574849/Sh5pBwiP_normal.jpg,It means a lot ❤❤❤🤧,{'🤧'},0.0,0.2
gabscyruss,"RT @MicaelOficial: Mas pra deixar claro que o fato de não estar ansioso, eu vou torcer muito pro @Aguiarthur ! Que assim como nós estamos e…",Tue Jan 18 02:32:42 +0000 2022,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",http://pbs.twimg.com/profile_images/1472502702756220931/d05EvGcZ_normal.jpg,That just as we are and…,set(),0.0,0.12
UguUgu97,@MicaelOficial @Aguiarthur Ser amigo é isso,Tue Jan 18 02:32:16 +0000 2022,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",http://pbs.twimg.com/profile_images/1435964683274489856/L1mDr9bV_normal.jpg,@MicaelOficial @Aguiarthur Being a friend is what it is,set(),0.0,0.0
alinewsaleh,"@mayracardi inteligente como é, deve ter apoiado a ida do @Aguiarthur para o @bbb só para observá-lo 24h por dia e… https://t.co/b8pNVoueeE",Tue Jan 18 02:32:12 +0000 2022,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>",http://pbs.twimg.com/profile_images/1345198909510082560/PMQRaDHx_normal.jpg,"@mayracardi smart as he is, must have supported @Aguiarthur going to @bbb just to watch him 24 hours a day and… https://t.co/b8pNVoueeE",set(),0.21,0.21
vinivelasques,E cabe ao inimigo da fidelidade @Aguiarthur nos brindar com o mais puro entretenimento,Tue Jan 18 02:32:02 +0000 2022,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",http://pbs.twimg.com/profile_images/1480745421995663369/RXkNR6fR_normal.jpg,And it's up to the enemy of fidelity @Aguiarthur to offer us the purest entertainment,set(),0.0,0.0
dudaphg,"RT @MicaelOficial: Mas pra deixar claro que o fato de não estar ansioso, eu vou torcer muito pro @Aguiarthur ! Que assim como nós estamos e…",Tue Jan 18 02:31:49 +0000 2022,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",http://pbs.twimg.com/profile_images/1482061131732733953/zqjKK8bp_normal.jpg,That just as we are and…,set(),0.0,0.12
dcshalifoe,@atletvco @MicaelOficial @Aguiarthur mentiu,Tue Jan 18 02:31:44 +0000 2022,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",http://pbs.twimg.com/profile_images/1482868071555551235/c5YdIE8L_normal.jpg,@atletvco @MicaelOficial @Aguiarthur lied,set(),0.0,0.0
atletvco,@dcshalifoe @MicaelOficial @Aguiarthur os dois,Tue Jan 18 02:31:23 +0000 2022,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",http://pbs.twimg.com/profile_images/1481731499892391938/KVnhhqvV_normal.jpg,@dcshalifoe @MicaelOficial @Aguiarthur both,set(),0.0,0.0
atletvco,@redbeetIe @MicaelOficial @Aguiarthur me deixa eu sou fã de rbr,Tue Jan 18 02:31:16 +0000 2022,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",http://pbs.twimg.com/profile_images/1481731499892391938/KVnhhqvV_normal.jpg,@redbeetIe @MicaelOficial @Aguiarthur leave me I'm a fan of rbr,set(),0.0,0.0
arvinsgirl,"RT @MicaelOficial: Mas pra deixar claro que o fato de não estar ansioso, eu vou torcer muito pro @Aguiarthur ! Que assim como nós estamos e…",Tue Jan 18 02:31:15 +0000 2022,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",http://pbs.twimg.com/profile_images/1483170506937413646/nH8ngQVd_normal.jpg,That just as we are and…,set(),0.0,0.12
monthey99,@MicaelOficial @Aguiarthur RBL pra sempreeeee,Tue Jan 18 02:31:10 +0000 2022,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",http://pbs.twimg.com/profile_images/1455359021783859202/HitNB33C_normal.jpg,@MicaelOficial @Aguiarthur RBL forevereeee,set(),0.0,0.0
opovo,"CAMAROTE TÁ CHEGANDO! ⭐️

Elenco de famosos do #BBB22 entra logo após o comercial na @tvglobo. Dentre os nomes, est… https://t.co/MTc7uEWfXX",Tue Jan 18 02:30:58 +0000 2022,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",http://pbs.twimg.com/profile_images/1480374221163450371/H9r5iVEO_normal.jpg,Among the names are… https://t.co/MTc7uEWfXX,{'⭐'},0.0,0.14285714285714285
redbeetIe,@atletvco @MicaelOficial @Aguiarthur meu deus https://t.co/xQvLkF1nGj,Tue Jan 18 02:30:47 +0000 2022,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",http://pbs.twimg.com/profile_images/1481135530570043394/EQGwAafe_normal.png,@atletvco @MicaelOficial @Aguiarthur my god https://t.co/xQvLkF1nGj,set(),0.0,0.0
ninadobsv,"RT @MicaelOficial: Mas pra deixar claro que o fato de não estar ansioso, eu vou torcer muito pro @Aguiarthur ! Que assim como nós estamos e…",Tue Jan 18 02:30:42 +0000 2022,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",http://pbs.twimg.com/profile_images/1482455783782690817/72ZtZRYH_normal.jpg,That just as we are and…,set(),0.0,0.12
dcshalifoe,@atletvco @MicaelOficial @Aguiarthur só o mica,Tue Jan 18 02:30:06 +0000 2022,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",http://pbs.twimg.com/profile_images/1482868071555551235/c5YdIE8L_normal.jpg,@atletvco @MicaelOficial @Aguiarthur only mica,set(),0.0,0.0
atletvco,@MicaelOficial @Aguiarthur lindos,Tue Jan 18 02:29:18 +0000 2022,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",http://pbs.twimg.com/profile_images/1481731499892391938/KVnhhqvV_normal.jpg,@MicaelOficial @Aguiarthur beautiful,set(),0.85,0.85
oxefavs,"RT @MicaelOficial: Mas pra deixar claro que o fato de não estar ansioso, eu vou torcer muito pro @Aguiarthur ! Que assim como nós estamos e…",Tue Jan 18 02:28:56 +0000 2022,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",http://pbs.twimg.com/profile_images/1482156319972933637/cT9kgT5O_normal.jpg,That just as we are and…,set(),0.0,0.12
elloane_zara,@MicaelOficial @Aguiarthur Que massa!!!!!!,Tue Jan 18 02:28:31 +0000 2022,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",http://pbs.twimg.com/profile_images/1478554652421541892/KuRpHxz__normal.jpg,!,set(),0.0,0.0
dxminiclewin,@Aguiarthur CADÊ VOCE??????,Tue Jan 18 02:28:28 +0000 2022,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",http://pbs.twimg.com/profile_images/1481146014455189505/BbvtIXM-_normal.jpg,?,set(),0.0,0.0
thaianunesx,@MicaelOficial @Aguiarthur ❤️❤️❤️❤️❤️❤️❤️,Tue Jan 18 02:28:20 +0000 2022,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",http://pbs.twimg.com/profile_images/1460082775395033090/dhNndvNi_normal.jpg,@MicaelOficial @Aguiarthur ❤️❤️❤️❤️❤️❤️❤️,{'❤️'},0.0,0.5
elloane_zara,"RT @MicaelOficial: Mas pra deixar claro que o fato de não estar ansioso, eu vou torcer muito pro @Aguiarthur ! Que assim como nós estamos e…",Tue Jan 18 02:28:20 +0000 2022,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",http://pbs.twimg.com/profile_images/1478554652421541892/KuRpHxz__normal.jpg,That just as we are and…,set(),0.0,0.12
kozmett,@Aguiarthur ADM ME SEGUE 💔,Tue Jan 18 02:27:56 +0000 2022,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",http://pbs.twimg.com/profile_images/1479263437964427264/K3tmqP2s_normal.jpg,@Aguiarthur ADM FOLLOW ME 💔,{'💔'},0.0,0.0
thaianunesx,"RT @MicaelOficial: Mas pra deixar claro que o fato de não estar ansioso, eu vou torcer muito pro @Aguiarthur ! Que assim como nós estamos e…",Tue Jan 18 02:26:26 +0000 2022,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",http://pbs.twimg.com/profile_images/1460082775395033090/dhNndvNi_normal.jpg,That just as we are and…,set(),0.0,0.12
luh_kimura,@hspaiva_ @Aguiarthur Jamais se iguala ao rei do chifre,Tue Jan 18 02:25:16 +0000 2022,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",http://pbs.twimg.com/profile_images/1481164451923517440/2j5-jX4O_normal.jpg,@hspaiva_ @Aguiarthur Never equals the king of the horn,set(),0.0,0.0
tirufotografa,@MicaelOficial @Aguiarthur é isso!!,Tue Jan 18 02:24:53 +0000 2022,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",http://pbs.twimg.com/profile_images/1482504635910864897/PnfAurJ3_normal.jpg,!,set(),0.0,0.0
