Tweet,Emojis,SentimentML,Alegria,Medo,Neutro,Nojo,Raiva,Tristeza,Alias
@Aguiarthur Passando mal adm vem meu amor ✨,{'✨'},'raiva',[0.3],[0.01],[0.22],[0.0],[0.46],[0.01],[0.0]
"RT @siteptbr: 🚨 AGORA: Jade Picon, Arthur Aguiar e Linn da Quebrada irão entrar na casa do #BBB22!",{'🚨'},'alegria',[0.5],[0.01],[0.32],[0.0],[0.16],[0.01],[0.0]
Vem meu amor @Aguiarthur #TeamArthurAguiar,set(),'alegria',[0.5],[0.01],[0.32],[0.0],[0.16],[0.01],[0.0]
"qria mc Loma no BBB 😭, recebemos Arthur Aguiar",{'😭'},'alegria',[0.5],[0.01],[0.32],[0.0],[0.16],[0.01],[0.0]
"RT @siteptbr: 🚨 AGORA: Jade Picon, Arthur Aguiar e Linn da Quebrada irão entrar na casa do #BBB22!",{'🚨'},'alegria',[0.5],[0.01],[0.32],[0.0],[0.16],[0.01],[0.0]
"Será agora a entrada da Jade Picon, Arthur Aguiar e Linn da Quebrada! #BBb22",set(),'alegria',[0.5],[0.01],[0.32],[0.0],[0.16],[0.01],[0.0]
@Aguiarthur AAAAAAAAAA,set(),'alegria',[0.5],[0.01],[0.32],[0.0],[0.16],[0.01],[0.0]
@Aguiarthur AAAAI MEU DEUS ADM,set(),'alegria',[0.5],[0.01],[0.32],[0.0],[0.16],[0.01],[0.0]
@Aguiarthur AI MEU CORAÇÃO ADM 🥳🥳,{'🥳'},'alegria',[0.5],[0.01],[0.32],[0.0],[0.16],[0.01],[0.0]
"Acompanho o Arthur Aguiar também, desde a época de RBR, e gosto dele SIM. E o que acontece na vida pessoal dele é p… https://t.co/XBBJsCGyVg",set(),'alegria',[0.5],[0.01],[0.32],[0.0],[0.16],[0.01],[0.0]
"RT @siteptbr: 🚨 AGORA: Jade Picon, Arthur Aguiar e Linn da Quebrada irão entrar na casa do #BBB22!",{'🚨'},'alegria',[0.5],[0.01],[0.32],[0.0],[0.16],[0.01],[0.0]
"tirem as casadas da sala 
Arthur Aguiar vai entrar no bb

Picão | Linn da quebrada 
#BBB22 https://t.co/LSMFXHLllG",set(),'alegria',[0.5],[0.01],[0.32],[0.0],[0.16],[0.01],[0.0]
@Aguiarthur EU VOU TER UM TRECO,set(),'alegria',[0.5],[0.01],[0.32],[0.0],[0.16],[0.01],[0.0]
arthur aguiar por favor faça teu nome e entregue mais adultério pra gente,set(),'alegria',[0.5],[0.01],[0.32],[0.0],[0.16],[0.01],[0.0]
@Aguiarthur Ansiosa adm,set(),'alegria',[0.5],[0.01],[0.32],[0.0],[0.16],[0.01],[0.0]
RT @Aguiarthur: É AGORA!!!!!!!!!!!! #BBB22,set(),'alegria',[0.5],[0.01],[0.32],[0.0],[0.16],[0.01],[0.0]
RT @Aguiarthur: É AGORA!!!!!!!!!!!! #BBB22,set(),'alegria',[0.5],[0.01],[0.32],[0.0],[0.16],[0.01],[0.0]
"RT @catgalliotti: Tinha que ser a porra do Arthur Aguiar com covid né 🤦🏻‍♀️🤦🏻‍♀️ (jade é linn não tem culpa, tadinhas contece 😅","{'🤦', '😅', '♀️'}",'alegria',[0.5],[0.01],[0.32],[0.0],[0.16],[0.01],[0.0]
"RT @CAPRICHO: Faltam poucos minutos para Jade Picon, Arthur Aguiar e Linn da Quebrada entrarem na casa do #BBB22! Vem aí...",set(),'alegria',[0.5],[0.01],[0.32],[0.0],[0.16],[0.01],[0.0]
no pay per view esperando ansiosa pela entrada de jade picon e arthur aguiar,set(),'alegria',[0.5],[0.01],[0.32],[0.0],[0.16],[0.01],[0.0]
RT @Aguiarthur: É AGORA!!!!!!!!!!!! #BBB22,set(),'alegria',[0.5],[0.01],[0.32],[0.0],[0.16],[0.01],[0.0]
@Aguiarthur Boa sorte 👏👏👏✨✨✨. ansioso tá lindoooooo,"{'✨', '👏'}",'alegria',[0.5],[0.01],[0.32],[0.0],[0.16],[0.01],[0.0]
"🚨 ATENÇÃO: Jade Picon, Linn da Quebrada e Arthur Aguiar entrarão na casa AGORA! #BBB22",{'🚨'},'alegria',[0.5],[0.01],[0.32],[0.0],[0.16],[0.01],[0.0]
@Aguiarthur ELE TÁ VINDOOOO https://t.co/I6WETMATTb,set(),'alegria',[0.5],[0.01],[0.32],[0.0],[0.16],[0.01],[0.0]
"arthur aguiar vai ser amado por muita gente, principalmente as tias do sofá, fica vendo",set(),'raiva',[0.17],[0.01],[0.28],[0.0],[0.52],[0.01],[0.0]
@Aguiarthur ADM POR FAVOR MEU FOLLOW CHEGA AGORA????,set(),'alegria',[0.5],[0.01],[0.32],[0.0],[0.16],[0.01],[0.0]
atrasada pro meu compromisso pois aguardando a entrada de dra jade picon e dr arthur aguiar,set(),'alegria',[0.5],[0.01],[0.32],[0.0],[0.16],[0.01],[0.0]
"RT @HugoGloss: Vem aí! Daqui a pouquinho, Arthur Aguiar, Jade Picon e Linn da Quebrada finalmente vão entrar no #BBB22",set(),'alegria',[0.5],[0.01],[0.32],[0.0],[0.16],[0.01],[0.0]
RT @Aguiarthur: É AGORA!!!!!!!!!!!! #BBB22,set(),'alegria',[0.5],[0.01],[0.32],[0.0],[0.16],[0.01],[0.0]
"RT @HugoGloss: Vem aí! Daqui a pouquinho, Arthur Aguiar, Jade Picon e Linn da Quebrada finalmente vão entrar no #BBB22",set(),'alegria',[0.5],[0.01],[0.32],[0.0],[0.16],[0.01],[0.0]
@Aguiarthur Vem aii ✨😍,"{'😍', '✨'}",'alegria',[0.5],[0.01],[0.32],[0.0],[0.16],[0.01],[0.0]
@Aguiarthur ELE TÁ VINDO AVISA  https://t.co/PLJcCPKLuW,set(),'alegria',[0.5],[0.01],[0.32],[0.0],[0.16],[0.01],[0.0]
@Aguiarthur ADM SOCORROOOOOOOOOO,set(),'alegria',[0.5],[0.01],[0.32],[0.0],[0.16],[0.01],[0.0]
@Aguiarthur Adm me segue e eu digo se esperava ou não 👀❤,{'👀'},'alegria',[0.5],[0.01],[0.32],[0.0],[0.16],[0.01],[0.0]
"RT @Iucascomenta: falta 5 minutos pra jade picon, arthur aguiar e lin da quebrada entrar na casa do bbb",set(),'alegria',[0.5],[0.01],[0.32],[0.0],[0.16],[0.01],[0.0]
RT @Aguiarthur: É AGORA!!!!!!!!!!!! #BBB22,set(),'alegria',[0.5],[0.01],[0.32],[0.0],[0.16],[0.01],[0.0]
@Aguiarthur Uhulll,set(),'alegria',[0.5],[0.01],[0.32],[0.0],[0.16],[0.01],[0.0]
