Tweet,Emojis,SentimentML,Alegria,Medo,Neutro,Nojo,Raiva,Tristeza,Alias
RT @VINIClUX: medo de abrirem a dispensa e o arthur aguiar estar agarrando um dummy,set(),'alegria',[0.5],[0.01],[0.32],[0.0],[0.16],[0.01],[0.0]
"Dinâmica desse final de semana; #BBB22 

·Prova do Líder e do Anjo serão uma só na Sexta

·A primeira festa provave… https://t.co/OX08Ld3tb9",set(),'alegria',[0.6],[0.01],[0.22],[0.0],[0.15],[0.01],[0.0]
RT @Aguiarthur: Falta muito pouco! #BBB22 https://t.co/ghzcelv4cY,set(),'alegria',[0.5],[0.01],[0.32],[0.0],[0.16],[0.01],[0.0]
um desserviço o emoji da torcida do arthur AGUIAr nao ser uma aguia???????,set(),'alegria',[0.5],[0.01],[0.32],[0.0],[0.16],[0.01],[0.0]
@GaabAlm Arthur Aguiar,set(),'alegria',[0.5],[0.01],[0.32],[0.0],[0.16],[0.01],[0.0]
"nao to gostando dessa paz, quero q linn da quebrada e arthur aguiar instalem o caos
a jade nao vai pq ela eh zen ☮🕊 https://t.co/EcIRttkon3",set(),'alegria',[0.5],[0.01],[0.32],[0.0],[0.16],[0.01],[0.0]
@Aguiarthur A debut da lenda está vindo,set(),'alegria',[0.5],[0.01],[0.32],[0.0],[0.16],[0.01],[0.0]
"RT @tracklist: Tiago Abravanel falou para os brothers que acha que as pessoas que faltam entrar no #BBB22 são Jade Picon, Linn da Quebrada…",set(),'alegria',[0.5],[0.01],[0.32],[0.0],[0.16],[0.01],[0.0]
"RT @balotaromantico: Arthur aguiar entra no bbb

o programa automaticamente: https://t.co/CEtJtmm3R0",set(),'alegria',[0.5],[0.01],[0.32],[0.0],[0.16],[0.01],[0.0]
@curtinhocobain arthur aguiar vai nos proporcionar a partir de amanha,set(),'alegria',[0.5],[0.01],[0.32],[0.0],[0.16],[0.01],[0.0]
RT @adrimendds: Hoje faz 3 dias que o Arthur Aguiar não põem chifre na mulher dele. Sempre acreditei nesse guerreiro 👏🏽👏🏽,{'👏'},'alegria',[0.5],[0.01],[0.32],[0.0],[0.16],[0.01],[0.0]
"RT @tracklist: Tiago Abravanel falou para os brothers que acha que as pessoas que faltam entrar no #BBB22 são Jade Picon, Linn da Quebrada…",set(),'alegria',[0.5],[0.01],[0.32],[0.0],[0.16],[0.01],[0.0]
"RT @balotaromantico: Arthur aguiar entra no bbb

o programa automaticamente: https://t.co/CEtJtmm3R0",set(),'alegria',[0.5],[0.01],[0.32],[0.0],[0.16],[0.01],[0.0]
"RT @balotaromantico: Arthur aguiar entra no bbb

o programa automaticamente: https://t.co/CEtJtmm3R0",set(),'alegria',[0.5],[0.01],[0.32],[0.0],[0.16],[0.01],[0.0]
"@Aguiarthur Vem Arthur, estamos ansiosos para te assistir e te ver brilhar nesse BBB 😃😍","{'😍', '😃'}",'alegria',[0.5],[0.01],[0.32],[0.0],[0.16],[0.01],[0.0]
"RT @brunorahall: a produção: nossa que barulho eh esse

o arthur aguiar com a psicóloga do bbb de madrugada: https://t.co/cT7msMpB2C",set(),'alegria',[0.5],[0.01],[0.32],[0.0],[0.16],[0.01],[0.0]
"espero não ser incomodada amanhã às 13h pois estarei vendo a jade picon, arthur aguiar e linn entrarem no bbb 👍🏼",{'👍'},'alegria',[0.5],[0.01],[0.32],[0.0],[0.16],[0.01],[0.0]
"RT @brunorahall: a produção: nossa que barulho eh esse

o arthur aguiar com a psicóloga do bbb de madrugada: https://t.co/cT7msMpB2C",set(),'alegria',[0.5],[0.01],[0.32],[0.0],[0.16],[0.01],[0.0]
"RT @tracklist: 🚨 Jade Picon, Arthur Aguiar e Linn da Quebrada entrarão na casa do #BBB22 amanhã às 13h!",{'🚨'},'alegria',[0.5],[0.01],[0.32],[0.0],[0.16],[0.01],[0.0]
@Aguiarthur adm segue esse pobre coitado vulgo eu,set(),'alegria',[0.5],[0.01],[0.32],[0.0],[0.16],[0.01],[0.0]
@Ogabrielgg @Aguiarthur Hahahahaha https://t.co/i4GMPhblSp,set(),'alegria',[0.5],[0.01],[0.32],[0.0],[0.16],[0.01],[0.0]
"@Aguiarthur Adm, pelo amor de Deus, me segue!",set(),'alegria',[0.6],[0.01],[0.22],[0.0],[0.15],[0.01],[0.0]
"RT @HugoGloss: Hora marcada pra esse time ficar completo! 🥳 Segundo a TV Globo, @Aguiarthur, @jadepicon e @LinndaQuebrada chegam ao #BBB22…",{'🥳'},'alegria',[0.5],[0.01],[0.32],[0.0],[0.16],[0.01],[0.0]
@Aguiarthur Me segueeeeeeeeesss,set(),'alegria',[0.5],[0.01],[0.32],[0.0],[0.16],[0.01],[0.0]
RT @Aguiarthur: Falta muito pouco! #BBB22 https://t.co/ghzcelv4cY,set(),'alegria',[0.5],[0.01],[0.32],[0.0],[0.16],[0.01],[0.0]
RT @inejstown: anthony ramos arthur aguiar da broadway,set(),'alegria',[0.5],[0.01],[0.32],[0.0],[0.16],[0.01],[0.0]
@Aguiarthur Meu follow adm!!!! ✨❤,{'✨'},'alegria',[0.5],[0.01],[0.32],[0.0],[0.16],[0.01],[0.0]
A Mayra Cardi no BBB - A Eliminação pra falar do Arthur Aguiar no Multishow. SOCORRO!!!! #BBBAEliminação #BBB22,set(),'alegria',[0.5],[0.01],[0.32],[0.0],[0.16],[0.01],[0.0]
"@Aguiarthur Adm segue eu e o @ibbbrasil não somos fãs ANTIGOS mas estamos ansiosos pela entrada do Arthur na casa,… https://t.co/2gBGDuAeOP",set(),'alegria',[0.5],[0.01],[0.32],[0.0],[0.16],[0.01],[0.0]
"@Aguiarthur Adm, me segue porfavor",set(),'alegria',[0.5],[0.01],[0.32],[0.0],[0.16],[0.01],[0.0]
"RT @caismila: medo do arthur aguiar entrar e eu começar a gostar dele
o cara deve ter uma puta de uma lábia 
#BBB22",set(),'alegria',[0.49],[0.01],[0.37],[0.0],[0.13],[0.01],[0.0]
"RT @brunorahall: a produção: nossa que barulho eh esse

o arthur aguiar com a psicóloga do bbb de madrugada: https://t.co/cT7msMpB2C",set(),'alegria',[0.5],[0.01],[0.32],[0.0],[0.16],[0.01],[0.0]
RT @amandrb: o desgracado do arthur aguiar consegue ser lindo,set(),'alegria',[0.5],[0.01],[0.32],[0.0],[0.16],[0.01],[0.0]
RT @Aguiarthur: Falta muito pouco! #BBB22 https://t.co/ghzcelv4cY,set(),'alegria',[0.5],[0.01],[0.32],[0.0],[0.16],[0.01],[0.0]
"@Aguiarthur Meu follow adm, porfavor!",set(),'alegria',[0.5],[0.01],[0.32],[0.0],[0.16],[0.01],[0.0]
"@Aguiarthur ADM me segue vida, sério eu gosto muito do Arthur até xingada por gostar dele eu sou 😔",{'😔'},'alegria',[0.5],[0.01],[0.32],[0.0],[0.16],[0.01],[0.0]
RT @inejstown: anthony ramos arthur aguiar da broadway,set(),'alegria',[0.5],[0.01],[0.32],[0.0],[0.16],[0.01],[0.0]
"@Aguiarthur Porfavor adm, me segue!",set(),'alegria',[0.5],[0.01],[0.32],[0.0],[0.16],[0.01],[0.0]
"RT @balotaromantico: Arthur aguiar entra no bbb

o programa automaticamente: https://t.co/CEtJtmm3R0",set(),'alegria',[0.5],[0.01],[0.32],[0.0],[0.16],[0.01],[0.0]
"@Aguiarthur Adm, meu follow porfavor",set(),'alegria',[0.5],[0.01],[0.32],[0.0],[0.16],[0.01],[0.0]
@Aguiarthur Arthur vai quebrar muitas pessoas lá dentro o sorriso dele é perfeito de mais😍 e mostra q ele é alguém de uma vib fantástica,{'😍'},'alegria',[0.5],[0.01],[0.32],[0.0],[0.16],[0.01],[0.0]
@Aguiarthur Me segueeeeeeeeee,set(),'alegria',[0.5],[0.01],[0.32],[0.0],[0.16],[0.01],[0.0]
RT @Aguiarthur: Falta muito pouco! #BBB22 https://t.co/ghzcelv4cY,set(),'alegria',[0.5],[0.01],[0.32],[0.0],[0.16],[0.01],[0.0]
RT @Aguiarthur: Falta muito pouco! #BBB22 https://t.co/ghzcelv4cY,set(),'alegria',[0.5],[0.01],[0.32],[0.0],[0.16],[0.01],[0.0]
"@Aguiarthur Me segue adm, porfavor! ✨",{'✨'},'alegria',[0.5],[0.01],[0.32],[0.0],[0.16],[0.01],[0.0]
@chicobarney Festa sem o Arthur Aguiar não vai ter pegação,set(),'raiva',[0.35],[0.01],[0.26],[0.0],[0.36],[0.01],[0.0]
"@evauviedo Arthur Aguiar, Abravanel, Naiara e talvez a Jade
a Maria eu ia reconhecer mas n ia saber o nome",set(),'alegria',[0.5],[0.01],[0.32],[0.0],[0.16],[0.01],[0.0]
@Aguiarthur Me segue adm!!!!,set(),'alegria',[0.5],[0.01],[0.32],[0.0],[0.16],[0.01],[0.0]
RT @Aguiarthur: Falta muito pouco! #BBB22 https://t.co/ghzcelv4cY,set(),'alegria',[0.5],[0.01],[0.32],[0.0],[0.16],[0.01],[0.0]
"RT @brunorahall: a produção: nossa que barulho eh esse

o arthur aguiar com a psicóloga do bbb de madrugada: https://t.co/cT7msMpB2C",set(),'alegria',[0.5],[0.01],[0.32],[0.0],[0.16],[0.01],[0.0]
"RT @RealitysVip: Amanhã o Rodrigo muda o foco da Naiara e passa pro Arthur Aguiar, por que ele só mira nos cancelados #BBB22",set(),'alegria',[0.5],[0.01],[0.32],[0.0],[0.16],[0.01],[0.0]
