Category,Channel,Inscritos,Videos,Ch_URL
autoconhecimento,Escola de Autoconhecimento,777 subscribers,67 videos,https://www.youtube.com/channel/UCB4-en72SdLEAX61YDGmcFg
autoconhecimento,Talk de Autoconhecimento,959 subscribers,38 videos,https://www.youtube.com/c/TalkdeAutoconhecimento
autoconhecimento,Autoconhecimento,839 subscribers,16 videos,https://www.youtube.com/c/Autoconhecimento
autoconhecimento,AutoConhecimento,136 subscribers,44 videos,https://www.youtube.com/channel/UCgpWUI4Bv45ofJkBEhhUEsg
autoconhecimento,Autoconhecimento,,4 videos,https://www.youtube.com/channel/UC3xLAP4j4Sw79-EwxxH-oig
autoconhecimento,Autoconhecimento,502 subscribers,33 videos,https://www.youtube.com/c/autoconhecimentorja
autoconhecimento,Eu Soul Ana Paula Barros,4.19K subscribers,212 videos,https://www.youtube.com/c/AnaPaulaBarroscomvc
autoconhecimento,Autoconhecimento,17 subscribers,13 videos,https://www.youtube.com/channel/UCVsSF1poCaIpUAh8Mbft3Dw
autoconhecimento,Maro Schweder - espiritualidade e autoconhecimento,222K subscribers,"1,155 videos",https://www.youtube.com/c/MaroSchwederespiritualidadeeautoconhecimento
autoconhecimento,DesprogrAME-SE! Escola de Autoconhecimento,257K subscribers,377 videos,https://www.youtube.com/c/DesprogrAMESEBH
autoconhecimento,Caminhos do Autoconhecimento,23.3K subscribers,74 videos,https://www.youtube.com/c/CaminhosdoAutoconhecimento
autoconhecimento,Tarot CoCriativo e autoconhecimento,,"1,262 videos",https://www.youtube.com/c/ESPA%C3%87ODOSOR%C3%81CULOS
autoconhecimento,AutoConhecimento,,2 videos,https://www.youtube.com/channel/UCgrn8aSo2SMViQ4xEl06tdw
autoconhecimento,Autoconhecimento,3.4K subscribers,37 videos,https://www.youtube.com/c/VideoMensagensAutoconhecimentoAF
autoconhecimento,Autoconhecimento,27 subscribers,29 videos,https://www.youtube.com/channel/UCkO0Zj2E5KnwCAyoAmuAK5g
autoconhecimento,Autoconhecimento,39 subscribers,21 videos,https://www.youtube.com/channel/UCPdXcqGKRrGsnWOswTp_GzQ
autoconhecimento,Autoconhecimento,,3 videos,https://www.youtube.com/channel/UCCskAikTdOZtZN3NafpVU4w
autoconhecimento,Autoconhecimento,1 subscriber,2 videos,https://www.youtube.com/channel/UCaWJ8xd9_H_jleSCX_TS2yQ
autoconhecimento,Jéssica Voss [LIVES],25.1K subscribers,71 videos,https://www.youtube.com/c/J%C3%A9ssicaMedeirosHohl
autoconhecimento,Autoconhecimento,2 subscribers,2 videos,https://www.youtube.com/channel/UCuFO-bdLBPWkYK-d1Q0VQGg
