Channel,Titles
AutoConhecimento,Delegado Protógenes Queiroz e a Fraude nas Urnas Eletrônicas e Exílio na Suiça
AutoConhecimento,Dívida Pública Brasileira - Dívida interna e externa - Contradições
AutoConhecimento,Primeiro Vídeo de Júlio Claudionor Fófano Júnior
AutoConhecimento,Mahatma Gandhi e a Desobediência Civil - Leon Tolstoi - Henry David Thoreau
AutoConhecimento,Semana Santa 2019 Crucificação de Jesus Cristo - Paróquia Nossa Senhora da Encarnação - Guiricema MG
AutoConhecimento,"Necessidade da redução populacional, mas sem matar ninguém, sem guerras, sem coronavírus e sem crise"
AutoConhecimento,Abertura do canal AutoConhecimento - 15/08/2018
AutoConhecimento,Debate Eleições Presidenciais 2018 na Rede Bandeirantes 09/08/2018
AutoConhecimento,"Nazismo ontem e hoje, Hitler, Karl Marx, Bolsonaro PT – Bilhões e Trilhões Auditoria Cidadã Dívida"
AutoConhecimento,Notícias Artigo 13 Google e Facebook Cúmplices
AutoConhecimento,Júlio Claudionor Fófano Júnior - breve autobiografia - 14 de setembro de 2018
AutoConhecimento,O maior segredo do universo - Reencarnação Simultânea - Uniãocionismo Religioso
AutoConhecimento,O que é AutoConhecimento? Por Professor e Aluno Júlio Claudionor Fófano Júnior 13/08/2018
AutoConhecimento,Homens que viveram mais de 70 anos sem tomar remédios ou vacinas da medicina moderna
AutoConhecimento,Fora Guilherme Boulos - Eleições 2018 - PSOL subornado ao PT - Vote Nulo -
AutoConhecimento,Mais uma farsa sobre o 11 de setembro - 1973 golpe militar no Chile - 2001 World Trade Center
AutoConhecimento,Alquimia Social - Éster - Éter
AutoConhecimento,Escala de Kardashev - Gato de Schrödinger - Matemática Subversiva
AutoConhecimento,11 de setembro - Contradições e Teoria da Conspiração
AutoConhecimento,"Biochip: Marca da Besta ""666"" ou Vigilância e Controle Social"
