Category,Channel,Inscritos,Videos,Ch_URL
cidade de floripa,Loucos por Floripa,,34,https://www.youtube.com/channel/UCTZCEI5K_P6z80LddZaS1kA
cidade de floripa,Jovem Pan Floripa,2 6500,750,https://www.youtube.com/c/jovempanfloripafm
cidade de floripa,MARCELO I Love Floripa,,411,https://www.youtube.com/channel/UCxg_Xi7sceDtBp2NMVo0j5A
cidade de floripa,Ashtanga Yoga Floripa,769,38,https://www.youtube.com/c/AshtangaYogaFloripa
cidade de floripa,Guia Floripa,129,16,https://www.youtube.com/channel/UCa0_qYZV6mRbCSy3i8vaVAg
cidade de floripa,Deolhonailha Floripa,82,8,https://www.youtube.com/channel/UCnOreuwkf3PVClzQ0C99Eag
cidade de floripa,pflegerdejesus,57,4,https://www.youtube.com/user/pflegerdejesus
cidade de floripa,Marca Florian polis,24,11,https://www.youtube.com/channel/UCtkG3eXLKDqUh23hd-4M8cQ
cidade de floripa,Gabriel Patrick Trip,,14,https://www.youtube.com/channel/UCdpJZG8yDyjvPbspqx5idjw
cidade de floripa,Floripa Convention,54,51,https://www.youtube.com/channel/UCWqeKiWCOhG6pasWq6R8Obg
cidade de floripa,ASCOR Im veis,4,12,https://www.youtube.com/channel/UCwgBNrSOacABkIg-ilC537g
cidade de floripa,Floripa 24h,31,1,https://www.youtube.com/channel/UC1vMoFh9KLqyerqTSlRaPzA
cidade de floripa,PEDALANDO POR FLORIPA,181,27,https://www.youtube.com/channel/UCBBICqCmLufjanfYvFcLhkQ
cidade de floripa,CASAL FLORIPA,1 4900,45,https://www.youtube.com/channel/UCBxK1p4TQ7cwwwZtLA6w51w
cidade de floripa,EixuEditionsTM,4,2,https://www.youtube.com/channel/UCQsV59sRV4F6cyWkqa1aGDA
cidade de floripa,Cidade Astralisias,5,26,https://www.youtube.com/channel/UCkiiIeNyI1MXMR5wSh8RfqA
cidade de floripa,menor lkcamisa2,5,1,https://www.youtube.com/channel/UCm-Vyy6W012OUqIilP1xgOQ
cidade de floripa,Programa Cidade Alerta SC,55 300,3 408,https://www.youtube.com/c/ProgramaCidadeAlertaSC
cidade de floripa,De Boas Por Ai Floripa,380,3,https://www.youtube.com/channel/UCKJiB01-EB_x4INBXE2LhKg
cidade de floripa,Floripa T On,,1,https://www.youtube.com/channel/UC5ADN13vt9ElreyUJraKodg
cidade de floripa,sergio tatavitto,5,5,https://www.youtube.com/channel/UCzIF85FrhIDiFIEgqtUdQjw
cidade de floripa,Luxury Floripa,149,23,https://www.youtube.com/channel/UCL2haP2Jj0c-zqlc5E_HoNg
cidade de floripa,Floripa Dazantiga,352,7,https://www.youtube.com/c/FloripaDazantiga
cidade de floripa,ivaniraraujo,4,8,https://www.youtube.com/user/ivaniraraujo
cidade de floripa,Caminhando Entre Gigantes,3,2,https://www.youtube.com/channel/UC4LCNwk7Q9LYSLtZGQfP30Q
cidade de floripa,Setur Floripa,15,12,https://www.youtube.com/channel/UCO_qcu7gLk2R4dIY76_mvug
cidade de floripa,Floripa View,1,1,https://www.youtube.com/channel/UCE8EH5JFJjM2Noix6aZbmSw
cidade de floripa,1 Paranaense em Floripa,,18,https://www.youtube.com/channel/UCXQPgLmXPm8LUvbuo0rstAw
cidade de floripa,Vem Viver Floripa,,66,https://www.youtube.com/channel/UC4f2jSpcxpoK-O2V6H9rRWQ
cidade de floripa,Floripa em Verso e Prosa,49,27,https://www.youtube.com/channel/UCrcx6v6S_V-NKs7Di6nsn2g
cidade de floripa,Heron Diomar,8,5,https://www.youtube.com/user/HeronDiomar
cidade de floripa,D bora Costa Torquato,6,7,https://www.youtube.com/channel/UC4PenhH_LRRJCEBIJ_9_uyA
cidade de floripa,Vinicius De Luca Filho,11,13,https://www.youtube.com/user/vinidelucca
cidade de floripa,Rolney Nascimento,196,40,https://www.youtube.com/channel/UCUk92Iq3RSd9qQGZEqPF8TA
cidade de floripa,Coletivo Maruim,1 0400,136,https://www.youtube.com/c/ColetivoMaruim
