Category,Channel,Inscritos,Videos,Ch_URL
como arrumar a casa,Como Arrumar a Casa,642 subscribers,4 videos,https://www.youtube.com/user/comoarrumaracasa
como arrumar a casa,Arrumando Com a Beca,29 subscribers,4 videos,https://www.youtube.com/channel/UCxq33xiyXkIQ74JlMTctBSg
como arrumar a casa,Alan_silva62,4.55K subscribers,1 video,https://www.youtube.com/c/XDUBS62
como arrumar a casa,Fix it Thalão,2.33K subscribers,175 videos,https://www.youtube.com/c/ConsertaIssoThal%C3%A3o
como arrumar a casa,Rotina de dona de casa | Rosimaria Frans,,709 videos,https://www.youtube.com/c/RosimariaFrans
como arrumar a casa,Casa da Bru,1.22K subscribers,112 videos,https://www.youtube.com/channel/UCMn_QDI3Mhe2HsgE1xgm07w
como arrumar a casa,Canal Arrumando a Casa,83 subscribers,19 videos,https://www.youtube.com/channel/UC9bq-Wdqp4Ej9MIrLGwtHfg
como arrumar a casa,Maria Eduarda Santos,5 subscribers,1 video,https://www.youtube.com/channel/UC_LMix8V_ZllbU8RW_B-oOw
como arrumar a casa,Em Casa Com Joice Milacci,289K subscribers,415 videos,https://www.youtube.com/c/JoiceMilacci
como arrumar a casa,Arrumando a Casa,,5 videos,https://www.youtube.com/channel/UCemgTKrq6YLUT1wCHuj_WGw
como arrumar a casa,Só Meninas,9 subscribers,2 videos,https://www.youtube.com/channel/UCRAr510lJEnwA5Et7jcZe7w
como arrumar a casa,Organize sem Frescuras!,1.76M subscribers,741 videos,https://www.youtube.com/c/OrganizesemFrescuras
como arrumar a casa,Kaio Ferreira,1 subscriber,1 video,https://www.youtube.com/channel/UCjliIj_r4xUPCvHLcq_xyTQ
como arrumar a casa,Angélica Oliveira,175 subscribers,19 videos,https://www.youtube.com/channel/UChFapM0qj8FP5Ef1e-YW6Rw
como arrumar a casa,Fabi fazendo sua rotina,,2 videos,https://www.youtube.com/channel/UCxA1wes2YmqIav9i77-ujEw
como arrumar a casa,Carla Pereira,655 subscribers,8 videos,https://www.youtube.com/channel/UCKQN-5dc_vWtJXdMwr4xrjQ
como arrumar a casa,de CASA para LAR,293 subscribers,47 videos,https://www.youtube.com/c/deCASAparaLAR
como arrumar a casa,Amanda Cristina,1.6K subscribers,127 videos,https://www.youtube.com/channel/UCEclX9NcM9iqfyBDi3Q9G8w
como arrumar a casa,Casa da Bia Campos,219 subscribers,10 videos,https://www.youtube.com/c/BiaCampos
como arrumar a casa,Beatriz Fontele,71.7K subscribers,299 videos,https://www.youtube.com/c/M%C3%A3eChique
