Category,Channel,Ch_URL,Titles,Video_URL,Date,View_2022-02-03,Subs_2022-02-03
culinária para leigos,Osvaldo Jaime,"0    https://www.youtube.com/channel/UCDLTI21LKF4td...
1                    https://www.youtube.com/c/mohindi
2              https://www.youtube.com/user/Pernaleiga
3          https://www.youtube.com/c/CanaldaHombridade
4    https://www.youtube.com/channel/UCSUydRWChPdny...
5              https://www.youtube.com/c/PedroSchetine
6    https://www.youtube.com/channel/UCbzByloQHHvJX...
7    https://www.youtube.com/channel/UCE_0liXd74cfa...
8              https://www.youtube.com/c/OsvaldoJaime2
9    https://www.youtube.com/channel/UCisTwgTJnCH0T...
Name: Ch_URL, dtype: object",Café da manhã 🥞,https://www.youtube.com/watch?v=CNhWkcJEdv0,4 months ago,1.8K views,1.49K subscribers
culinária para leigos,Osvaldo Jaime,"0    https://www.youtube.com/channel/UCDLTI21LKF4td...
1                    https://www.youtube.com/c/mohindi
2              https://www.youtube.com/user/Pernaleiga
3          https://www.youtube.com/c/CanaldaHombridade
4    https://www.youtube.com/channel/UCSUydRWChPdny...
5              https://www.youtube.com/c/PedroSchetine
6    https://www.youtube.com/channel/UCbzByloQHHvJX...
7    https://www.youtube.com/channel/UCE_0liXd74cfa...
8              https://www.youtube.com/c/OsvaldoJaime2
9    https://www.youtube.com/channel/UCisTwgTJnCH0T...
Name: Ch_URL, dtype: object",Chuvas calmas Nampula,https://www.youtube.com/watch?v=kKoOrcXjZjI,3 weeks ago,1.7K views,1.49K subscribers
culinária para leigos,Osvaldo Jaime,"0    https://www.youtube.com/channel/UCDLTI21LKF4td...
1                    https://www.youtube.com/c/mohindi
2              https://www.youtube.com/user/Pernaleiga
3          https://www.youtube.com/c/CanaldaHombridade
4    https://www.youtube.com/channel/UCSUydRWChPdny...
5              https://www.youtube.com/c/PedroSchetine
6    https://www.youtube.com/channel/UCbzByloQHHvJX...
7    https://www.youtube.com/channel/UCE_0liXd74cfa...
8              https://www.youtube.com/c/OsvaldoJaime2
9    https://www.youtube.com/channel/UCisTwgTJnCH0T...
Name: Ch_URL, dtype: object",Preparando minha horta caseira,https://www.youtube.com/watch?v=iniUZlYO44o,4 months ago,1.6K views,1.49K subscribers
culinária para leigos,Osvaldo Jaime,"0    https://www.youtube.com/channel/UCDLTI21LKF4td...
1                    https://www.youtube.com/c/mohindi
2              https://www.youtube.com/user/Pernaleiga
3          https://www.youtube.com/c/CanaldaHombridade
4    https://www.youtube.com/channel/UCSUydRWChPdny...
5              https://www.youtube.com/c/PedroSchetine
6    https://www.youtube.com/channel/UCbzByloQHHvJX...
7    https://www.youtube.com/channel/UCE_0liXd74cfa...
8              https://www.youtube.com/c/OsvaldoJaime2
9    https://www.youtube.com/channel/UCisTwgTJnCH0T...
Name: Ch_URL, dtype: object",As estradas 🛣,https://www.youtube.com/watch?v=uirVmxNMmBc,3 months ago,1.5K views,1.49K subscribers
culinária para leigos,Osvaldo Jaime,"0    https://www.youtube.com/channel/UCDLTI21LKF4td...
1                    https://www.youtube.com/c/mohindi
2              https://www.youtube.com/user/Pernaleiga
3          https://www.youtube.com/c/CanaldaHombridade
4    https://www.youtube.com/channel/UCSUydRWChPdny...
5              https://www.youtube.com/c/PedroSchetine
6    https://www.youtube.com/channel/UCbzByloQHHvJX...
7    https://www.youtube.com/channel/UCE_0liXd74cfa...
8              https://www.youtube.com/c/OsvaldoJaime2
9    https://www.youtube.com/channel/UCisTwgTJnCH0T...
Name: Ch_URL, dtype: object",Havaianas Brasil 🇧🇷 made in Mozambique 🇲🇿,https://www.youtube.com/watch?v=y80ZAnkkQQE,1 month ago,1.5K views,1.49K subscribers
culinária para leigos,Osvaldo Jaime,"0    https://www.youtube.com/channel/UCDLTI21LKF4td...
1                    https://www.youtube.com/c/mohindi
2              https://www.youtube.com/user/Pernaleiga
3          https://www.youtube.com/c/CanaldaHombridade
4    https://www.youtube.com/channel/UCSUydRWChPdny...
5              https://www.youtube.com/c/PedroSchetine
6    https://www.youtube.com/channel/UCbzByloQHHvJX...
7    https://www.youtube.com/channel/UCE_0liXd74cfa...
8              https://www.youtube.com/c/OsvaldoJaime2
9    https://www.youtube.com/channel/UCisTwgTJnCH0T...
Name: Ch_URL, dtype: object",#Vídeo de pedido de apoio,https://www.youtube.com/watch?v=rbnVYQgVTb0,6 months ago,1.5K views,1.49K subscribers
culinária para leigos,Osvaldo Jaime,"0    https://www.youtube.com/channel/UCDLTI21LKF4td...
1                    https://www.youtube.com/c/mohindi
2              https://www.youtube.com/user/Pernaleiga
3          https://www.youtube.com/c/CanaldaHombridade
4    https://www.youtube.com/channel/UCSUydRWChPdny...
5              https://www.youtube.com/c/PedroSchetine
6    https://www.youtube.com/channel/UCbzByloQHHvJX...
7    https://www.youtube.com/channel/UCE_0liXd74cfa...
8              https://www.youtube.com/c/OsvaldoJaime2
9    https://www.youtube.com/channel/UCisTwgTJnCH0T...
Name: Ch_URL, dtype: object",A Erosão em Nacala está cada vez pior,https://www.youtube.com/watch?v=VIJFGrN7Fog,3 months ago,1.3K views,1.49K subscribers
culinária para leigos,Osvaldo Jaime,"0    https://www.youtube.com/channel/UCDLTI21LKF4td...
1                    https://www.youtube.com/c/mohindi
2              https://www.youtube.com/user/Pernaleiga
3          https://www.youtube.com/c/CanaldaHombridade
4    https://www.youtube.com/channel/UCSUydRWChPdny...
5              https://www.youtube.com/c/PedroSchetine
6    https://www.youtube.com/channel/UCbzByloQHHvJX...
7    https://www.youtube.com/channel/UCE_0liXd74cfa...
8              https://www.youtube.com/c/OsvaldoJaime2
9    https://www.youtube.com/channel/UCisTwgTJnCH0T...
Name: Ch_URL, dtype: object",Recebendo dicas para o próximo vídeo com Enfermeiro Jeremias Cebola,https://www.youtube.com/watch?v=qbeGc2NXxCg,6 months ago,1.3K views,1.49K subscribers
culinária para leigos,Osvaldo Jaime,"0    https://www.youtube.com/channel/UCDLTI21LKF4td...
1                    https://www.youtube.com/c/mohindi
2              https://www.youtube.com/user/Pernaleiga
3          https://www.youtube.com/c/CanaldaHombridade
4    https://www.youtube.com/channel/UCSUydRWChPdny...
5              https://www.youtube.com/c/PedroSchetine
6    https://www.youtube.com/channel/UCbzByloQHHvJX...
7    https://www.youtube.com/channel/UCE_0liXd74cfa...
8              https://www.youtube.com/c/OsvaldoJaime2
9    https://www.youtube.com/channel/UCisTwgTJnCH0T...
Name: Ch_URL, dtype: object",EXPLICACAO DE PAPAS ENRIQUECIDAS,https://www.youtube.com/watch?v=-Y-bQGq1QCY,7 months ago,1.2K views,1.49K subscribers
culinária para leigos,Osvaldo Jaime,"0    https://www.youtube.com/channel/UCDLTI21LKF4td...
1                    https://www.youtube.com/c/mohindi
2              https://www.youtube.com/user/Pernaleiga
3          https://www.youtube.com/c/CanaldaHombridade
4    https://www.youtube.com/channel/UCSUydRWChPdny...
5              https://www.youtube.com/c/PedroSchetine
6    https://www.youtube.com/channel/UCbzByloQHHvJX...
7    https://www.youtube.com/channel/UCE_0liXd74cfa...
8              https://www.youtube.com/c/OsvaldoJaime2
9    https://www.youtube.com/channel/UCisTwgTJnCH0T...
Name: Ch_URL, dtype: object",Homens. Mulheres e crianças procurando o pão de cada dia,https://www.youtube.com/watch?v=wnZ9f0KBCos,3 months ago,1.1K views,1.49K subscribers
