Category,Channel,Ch_URL,Titles,Video_URL,Date,View_2022-02-03,Subs_2022-02-03
culinária para leigos,RECEITAS DO FLÁVIO,"0    https://www.youtube.com/channel/UCDLTI21LKF4td...
1                    https://www.youtube.com/c/mohindi
2              https://www.youtube.com/user/Pernaleiga
3          https://www.youtube.com/c/CanaldaHombridade
4    https://www.youtube.com/channel/UCSUydRWChPdny...
5              https://www.youtube.com/c/PedroSchetine
6    https://www.youtube.com/channel/UCbzByloQHHvJX...
7    https://www.youtube.com/channel/UCE_0liXd74cfa...
8              https://www.youtube.com/c/OsvaldoJaime2
9    https://www.youtube.com/channel/UCisTwgTJnCH0T...
Name: Ch_URL, dtype: object",MUQUECA OU PEIXE AO MOLHO,https://www.youtube.com/watch?v=MgNiLmF66m4,4 years ago,769K views,7.2K subscribers
culinária para leigos,RECEITAS DO FLÁVIO,"0    https://www.youtube.com/channel/UCDLTI21LKF4td...
1                    https://www.youtube.com/c/mohindi
2              https://www.youtube.com/user/Pernaleiga
3          https://www.youtube.com/c/CanaldaHombridade
4    https://www.youtube.com/channel/UCSUydRWChPdny...
5              https://www.youtube.com/c/PedroSchetine
6    https://www.youtube.com/channel/UCbzByloQHHvJX...
7    https://www.youtube.com/channel/UCE_0liXd74cfa...
8              https://www.youtube.com/c/OsvaldoJaime2
9    https://www.youtube.com/channel/UCisTwgTJnCH0T...
Name: Ch_URL, dtype: object",COMO FAZER PETA,https://www.youtube.com/watch?v=BumnYrQmPmM,4 years ago,3.8K views,7.2K subscribers
culinária para leigos,RECEITAS DO FLÁVIO,"0    https://www.youtube.com/channel/UCDLTI21LKF4td...
1                    https://www.youtube.com/c/mohindi
2              https://www.youtube.com/user/Pernaleiga
3          https://www.youtube.com/c/CanaldaHombridade
4    https://www.youtube.com/channel/UCSUydRWChPdny...
5              https://www.youtube.com/c/PedroSchetine
6    https://www.youtube.com/channel/UCbzByloQHHvJX...
7    https://www.youtube.com/channel/UCE_0liXd74cfa...
8              https://www.youtube.com/c/OsvaldoJaime2
9    https://www.youtube.com/channel/UCisTwgTJnCH0T...
Name: Ch_URL, dtype: object",CUSCUZ RECHEADO,https://www.youtube.com/watch?v=9pBP56V4rNs,4 years ago,3.3K views,7.2K subscribers
culinária para leigos,RECEITAS DO FLÁVIO,"0    https://www.youtube.com/channel/UCDLTI21LKF4td...
1                    https://www.youtube.com/c/mohindi
2              https://www.youtube.com/user/Pernaleiga
3          https://www.youtube.com/c/CanaldaHombridade
4    https://www.youtube.com/channel/UCSUydRWChPdny...
5              https://www.youtube.com/c/PedroSchetine
6    https://www.youtube.com/channel/UCbzByloQHHvJX...
7    https://www.youtube.com/channel/UCE_0liXd74cfa...
8              https://www.youtube.com/c/OsvaldoJaime2
9    https://www.youtube.com/channel/UCisTwgTJnCH0T...
Name: Ch_URL, dtype: object",PAMONHA DE MILHO VERDE,https://www.youtube.com/watch?v=Ag9XDJDXpDE,4 years ago,2.4K views,7.2K subscribers
culinária para leigos,RECEITAS DO FLÁVIO,"0    https://www.youtube.com/channel/UCDLTI21LKF4td...
1                    https://www.youtube.com/c/mohindi
2              https://www.youtube.com/user/Pernaleiga
3          https://www.youtube.com/c/CanaldaHombridade
4    https://www.youtube.com/channel/UCSUydRWChPdny...
5              https://www.youtube.com/c/PedroSchetine
6    https://www.youtube.com/channel/UCbzByloQHHvJX...
7    https://www.youtube.com/channel/UCE_0liXd74cfa...
8              https://www.youtube.com/c/OsvaldoJaime2
9    https://www.youtube.com/channel/UCisTwgTJnCH0T...
Name: Ch_URL, dtype: object",CORANTE DE URUCUM,https://www.youtube.com/watch?v=hfSxWR7xCvo,3 years ago,2K views,7.2K subscribers
culinária para leigos,RECEITAS DO FLÁVIO,"0    https://www.youtube.com/channel/UCDLTI21LKF4td...
1                    https://www.youtube.com/c/mohindi
2              https://www.youtube.com/user/Pernaleiga
3          https://www.youtube.com/c/CanaldaHombridade
4    https://www.youtube.com/channel/UCSUydRWChPdny...
5              https://www.youtube.com/c/PedroSchetine
6    https://www.youtube.com/channel/UCbzByloQHHvJX...
7    https://www.youtube.com/channel/UCE_0liXd74cfa...
8              https://www.youtube.com/c/OsvaldoJaime2
9    https://www.youtube.com/channel/UCisTwgTJnCH0T...
Name: Ch_URL, dtype: object",CURAU DE MILHO VERDE,https://www.youtube.com/watch?v=RVcPpW1LmQs,4 years ago,1.1K views,7.2K subscribers
culinária para leigos,RECEITAS DO FLÁVIO,"0    https://www.youtube.com/channel/UCDLTI21LKF4td...
1                    https://www.youtube.com/c/mohindi
2              https://www.youtube.com/user/Pernaleiga
3          https://www.youtube.com/c/CanaldaHombridade
4    https://www.youtube.com/channel/UCSUydRWChPdny...
5              https://www.youtube.com/c/PedroSchetine
6    https://www.youtube.com/channel/UCbzByloQHHvJX...
7    https://www.youtube.com/channel/UCE_0liXd74cfa...
8              https://www.youtube.com/c/OsvaldoJaime2
9    https://www.youtube.com/channel/UCisTwgTJnCH0T...
Name: Ch_URL, dtype: object",FRANGO-10,https://www.youtube.com/watch?v=qYJdhEcrAi0,4 years ago,498 views,7.2K subscribers
culinária para leigos,RECEITAS DO FLÁVIO,"0    https://www.youtube.com/channel/UCDLTI21LKF4td...
1                    https://www.youtube.com/c/mohindi
2              https://www.youtube.com/user/Pernaleiga
3          https://www.youtube.com/c/CanaldaHombridade
4    https://www.youtube.com/channel/UCSUydRWChPdny...
5              https://www.youtube.com/c/PedroSchetine
6    https://www.youtube.com/channel/UCbzByloQHHvJX...
7    https://www.youtube.com/channel/UCE_0liXd74cfa...
8              https://www.youtube.com/c/OsvaldoJaime2
9    https://www.youtube.com/channel/UCisTwgTJnCH0T...
Name: Ch_URL, dtype: object",PÃO CASEIRO,https://www.youtube.com/watch?v=FMBqY4St1Wg,4 years ago,376 views,7.2K subscribers
culinária para leigos,RECEITAS DO FLÁVIO,"0    https://www.youtube.com/channel/UCDLTI21LKF4td...
1                    https://www.youtube.com/c/mohindi
2              https://www.youtube.com/user/Pernaleiga
3          https://www.youtube.com/c/CanaldaHombridade
4    https://www.youtube.com/channel/UCSUydRWChPdny...
5              https://www.youtube.com/c/PedroSchetine
6    https://www.youtube.com/channel/UCbzByloQHHvJX...
7    https://www.youtube.com/channel/UCE_0liXd74cfa...
8              https://www.youtube.com/c/OsvaldoJaime2
9    https://www.youtube.com/channel/UCisTwgTJnCH0T...
Name: Ch_URL, dtype: object",PUDIM DE LEITE QUE NÃO VAI AO FORNO.,https://www.youtube.com/watch?v=s8OuAKKFFcQ,4 years ago,328 views,7.2K subscribers
culinária para leigos,RECEITAS DO FLÁVIO,"0    https://www.youtube.com/channel/UCDLTI21LKF4td...
1                    https://www.youtube.com/c/mohindi
2              https://www.youtube.com/user/Pernaleiga
3          https://www.youtube.com/c/CanaldaHombridade
4    https://www.youtube.com/channel/UCSUydRWChPdny...
5              https://www.youtube.com/c/PedroSchetine
6    https://www.youtube.com/channel/UCbzByloQHHvJX...
7    https://www.youtube.com/channel/UCE_0liXd74cfa...
8              https://www.youtube.com/c/OsvaldoJaime2
9    https://www.youtube.com/channel/UCisTwgTJnCH0T...
Name: Ch_URL, dtype: object",GALINHADA,https://www.youtube.com/watch?v=0MrHJ1EKG0M,4 years ago,297 views,7.2K subscribers
