Channel,Titles
Osvaldo Jaime,Café da manhã 🥞
Osvaldo Jaime,Chuvas calmas Nampula
Osvaldo Jaime,Preparando minha horta caseira
Osvaldo Jaime,As estradas 🛣
Osvaldo Jaime,Havaianas Brasil 🇧🇷 made in Mozambique 🇲🇿
Osvaldo Jaime,#Vídeo de pedido de apoio
Osvaldo Jaime,A Erosão em Nacala está cada vez pior
Osvaldo Jaime,Recebendo dicas para o próximo vídeo com Enfermeiro Jeremias Cebola
Osvaldo Jaime,EXPLICACAO DE PAPAS ENRIQUECIDAS
Osvaldo Jaime,Homens. Mulheres e crianças procurando o pão de cada dia
