Channel,Titles
Perna Leiga,Perna Leiga - Mundi360 (Voar Por Aí) - Clipe Oficial
Perna Leiga,Perna Leiga - Havia um Homem (Clipe Oficial)
Perna Leiga,Perna Leiga - Sem Saber (Clipe Oficial)
Perna Leiga,Perna Leiga - #SóVai (Clipe Oficial)
Perna Leiga,Perna Leiga - A Luz do Sol part. Egypcio Tihuana (Lyric Video)
Perna Leiga,Perna Leiga - Rabisco (Clipe Oficial)
Perna Leiga,"Perna Leiga - ""SOCA PORVA"" (Full Album)"
Perna Leiga,Perna Leiga - Daí
Perna Leiga,Perna Leiga - Fora Da Regra (12K acoustic session)
Perna Leiga,Perna Leiga - Positividade part. Raposo (São Nunca) prod. Ricardo Machado
