Category,Channel,Inscritos,Videos,Ch_URL
culinária para leigos,Culinária do Leigo,18 subscribers,1 video,https://www.youtube.com/channel/UCDLTI21LKF4tdZPA1BXhRXA
culinária para leigos,Mohamad Hindi,2.51M subscribers,828 videos,https://www.youtube.com/c/mohindi
culinária para leigos,Perna Leiga,711 subscribers,31 videos,https://www.youtube.com/user/Pernaleiga
culinária para leigos,Canal da Hombridade,1.9K subscribers,137 videos,https://www.youtube.com/c/CanaldaHombridade
culinária para leigos,RECEITAS DO FLÁVIO,7.2K subscribers,15 videos,https://www.youtube.com/channel/UCSUydRWChPdnyNdaDQftJOg
culinária para leigos,Pedro Schetine,142 subscribers,14 videos,https://www.youtube.com/c/PedroSchetine
culinária para leigos,Mohamad Hindi,,1 video,https://www.youtube.com/channel/UCbzByloQHHvJXnuVEjhSB3g
culinária para leigos,DA CAPTAÇÃO À TRANSMISSÃO - w.p.a.,,43 videos,https://www.youtube.com/channel/UCE_0liXd74cfatJPcXl4fug
culinária para leigos,Osvaldo Jaime,1.49K subscribers,82 videos,https://www.youtube.com/c/OsvaldoJaime2
culinária para leigos,Enzo L.Lins,3 subscribers,24 videos,https://www.youtube.com/channel/UCisTwgTJnCH0TTcVmxZnDkg
