Channel,Titles
Diário de bordo,Interior de Sâo Paulo e a fábrica de peões de Rodeio - Ourinhos/SP
Diário de bordo,"Uma pirueta, duas piruetas...Bravo, bravo!"
Diário de bordo,MUSICAL PETER PAN  COLÉGIO COC JEAN PIAGET OURINHOS
Diário de bordo,SHOW BACKYARDIGANS  NO CREDICARD HALL - MARÇO/2010
Diário de bordo,CANINHA ONCINHA... A MAIS BRASILEIRA DAS CACHAÇAS!
Diário de bordo,Barbara
Diário de bordo,FESTA A FANTASIA DA JASMIM... KKKKKKK
Diário de bordo,"ANIVERSÁRIO DA JASMIM...KKK AFINAL, ELA TB FAZ PARTE DA FAMÍLIA!"
Diário de bordo,Video Show Lazy Town no Teatro Positivo em Curitiba
Diário de bordo,VISTA DA CABINE DO NAVIO GRAND MISTRAL
Diário de bordo,Cabine Airbus 320 da TAM
Diário de bordo,Dois lados - Barão Vermelho
Diário de bordo,Entrevista de Babi Ferrari
Diário de bordo,Entrevista da baterista mais jovem do mundo
Diário de bordo,Apresentação de percussão do Colégio Camões em Santa Cruz
Diário de bordo,Babi Ferrari ensina alguns ritmos na batera
Diário de bordo,Babi e Marcelinha a caminho da Ilha dos Dentistas em Carlópolis/PR
Diário de bordo,BABI NA CABINE DE UM AIR BUS
Diário de bordo,Babi extravasando...kkkk
Diário de bordo,BARBARA ENSINA PASSOS DE BALLET
