Category,Channel,Inscritos,Videos,Ch_URL
familia e finanças,Marília e Diogo - Finanças e Família,4.42K subscribers,46 videos,https://www.youtube.com/c/Mar%C3%ADliaeDiogoFinan%C3%A7aseFam%C3%ADlia
familia e finanças,FAMÍLIA E FINANÇAS,,58 videos,https://www.youtube.com/channel/UC6fbIAdbiNZ3Abw2Qzx9HXg
familia e finanças,familia e finanças,,1 video,https://www.youtube.com/channel/UC59PY3R1TQfN9bU7hRaU8Ug
familia e finanças,Canal HVS Finanças & Família,12 subscribers,12 videos,https://www.youtube.com/channel/UCKHFVvARjinmBRWqYwDhvPA
familia e finanças,1 SONO,,2 videos,https://www.youtube.com/channel/UCrnBvgwGTyBjL9ErM3mD9QA
familia e finanças,Famílias Poupadoras,135 subscribers,22 videos,https://www.youtube.com/channel/UCmcNP9_Ko3ZA_2kSvNhP7fQ
familia e finanças,Financas Familia,2 subscribers,1 video,https://www.youtube.com/channel/UCaPRsOYb5iYzyBCaz455nBg
familia e finanças,Luciana Fiaux - Domine suas Finanças,198K subscribers,511 videos,https://www.youtube.com/c/LucianaFiauxDominesuasFinan%C3%A7as
familia e finanças,Você Pode Tudo,,4 videos,https://www.youtube.com/channel/UCfeS3HuLv52jWJoMhnR4teQ
familia e finanças,Canal Ghaio Finanças Pessoais - Mirian e Renato,29.9K subscribers,218 videos,https://www.youtube.com/c/Ghaio
familia e finanças,Cultivando Motivação e Reflexão,2 subscribers,17 videos,https://www.youtube.com/channel/UCPGEpl40jjK2Wn-nJ2CfdLA
familia e finanças,Diário de bordo,1.79K subscribers,79 videos,https://www.youtube.com/c/VaninhaFerrari
familia e finanças,3F,17 subscribers,5 videos,https://www.youtube.com/channel/UC1MQ7VQd4QbBzaw_LsnCE9A
familia e finanças,Palavra Certa,19 subscribers,3 videos,https://www.youtube.com/channel/UCVyVjCBzdGAI2U1IYiUKyHw
familia e finanças,Matheus Machado,7.67K subscribers,57 videos,https://www.youtube.com/c/MatheusMachadoValeOuro
familia e finanças,BemPraVida,1 subscriber,1 video,https://www.youtube.com/channel/UCOgs2zi1C9OYReiwiLlf3GQ
familia e finanças,Finanças com a Tia Lê!,47 subscribers,8 videos,https://www.youtube.com/channel/UCdmL4rNzMiPEDZdTiFxBfQg
familia e finanças,Finanças Da Família,41 subscribers,5 videos,https://www.youtube.com/channel/UCyks1id4PZ7fPTFS6uQmExA
familia e finanças,Vida Adulta,,3 videos,https://www.youtube.com/channel/UCY-mapPNHX1mbhlZVBC5T0g
familia e finanças,Casal Exponencial,30 subscribers,2 videos,https://www.youtube.com/channel/UCZzz-YGZpBs_njODKTU8vPA
