Category,Channel,Ch_URL,Titles,Video_URL,Date,View_2022-02-03,Subs_2022-02-03
finanças familiares,Sandro Guimarães,"0     https://www.youtube.com/c/Mar%C3%ADliaeDiogoFi...
1     https://www.youtube.com/channel/UCmF-yWe3Mu6t4...
2     https://www.youtube.com/channel/UCfdr4u6xt-sjt...
3     https://www.youtube.com/channel/UCt5ALCR2-drz0...
4           https://www.youtube.com/user/sandro13072007
5     https://www.youtube.com/channel/UCdmL4rNzMiPED...
6     https://www.youtube.com/channel/UCTAEhkI5QBlaV...
7               https://www.youtube.com/c/BemFinanceiro
8     https://www.youtube.com/channel/UCnrPQSqI90OrQ...
9     https://www.youtube.com/channel/UCByTy_k-38Pdv...
10               https://www.youtube.com/c/Mepoupenaweb
11    https://www.youtube.com/channel/UCMBZbl09G3COS...
12    https://www.youtube.com/channel/UCeaV6yrOR-JM8...
13          https://www.youtube.com/user/rhanasilva1981
14    https://www.youtube.com/c/CONFIContabilidadeeF...
15                https://www.youtube.com/c/HygorDuarte
16    https://www.youtube.com/channel/UCVg6Vnzsvl1Bd...
17    https://www.youtube.com/channel/UC56OBAO_9_x5z...
18        https://www.youtube.com/c/DoutorFinan%C3%A7as
19    https://www.youtube.com/channel/UCPTBWrzLqsyjF...
Name: Ch_URL, dtype: object",Aprenda a guardar dinheiro de um jeito FÁCIL.,https://www.youtube.com/watch?v=xne9zmYi0oA,1 year ago,122 views,102 subscribers
finanças familiares,Sandro Guimarães,"0     https://www.youtube.com/c/Mar%C3%ADliaeDiogoFi...
1     https://www.youtube.com/channel/UCmF-yWe3Mu6t4...
2     https://www.youtube.com/channel/UCfdr4u6xt-sjt...
3     https://www.youtube.com/channel/UCt5ALCR2-drz0...
4           https://www.youtube.com/user/sandro13072007
5     https://www.youtube.com/channel/UCdmL4rNzMiPED...
6     https://www.youtube.com/channel/UCTAEhkI5QBlaV...
7               https://www.youtube.com/c/BemFinanceiro
8     https://www.youtube.com/channel/UCnrPQSqI90OrQ...
9     https://www.youtube.com/channel/UCByTy_k-38Pdv...
10               https://www.youtube.com/c/Mepoupenaweb
11    https://www.youtube.com/channel/UCMBZbl09G3COS...
12    https://www.youtube.com/channel/UCeaV6yrOR-JM8...
13          https://www.youtube.com/user/rhanasilva1981
14    https://www.youtube.com/c/CONFIContabilidadeeF...
15                https://www.youtube.com/c/HygorDuarte
16    https://www.youtube.com/channel/UCVg6Vnzsvl1Bd...
17    https://www.youtube.com/channel/UC56OBAO_9_x5z...
18        https://www.youtube.com/c/DoutorFinan%C3%A7as
19    https://www.youtube.com/channel/UCPTBWrzLqsyjF...
Name: Ch_URL, dtype: object",Aumente Sua Renda Durante a Crise. Aproveite as dicas.,https://www.youtube.com/watch?v=JOtAD8IqL2Y,1 year ago,90 views,102 subscribers
finanças familiares,Sandro Guimarães,"0     https://www.youtube.com/c/Mar%C3%ADliaeDiogoFi...
1     https://www.youtube.com/channel/UCmF-yWe3Mu6t4...
2     https://www.youtube.com/channel/UCfdr4u6xt-sjt...
3     https://www.youtube.com/channel/UCt5ALCR2-drz0...
4           https://www.youtube.com/user/sandro13072007
5     https://www.youtube.com/channel/UCdmL4rNzMiPED...
6     https://www.youtube.com/channel/UCTAEhkI5QBlaV...
7               https://www.youtube.com/c/BemFinanceiro
8     https://www.youtube.com/channel/UCnrPQSqI90OrQ...
9     https://www.youtube.com/channel/UCByTy_k-38Pdv...
10               https://www.youtube.com/c/Mepoupenaweb
11    https://www.youtube.com/channel/UCMBZbl09G3COS...
12    https://www.youtube.com/channel/UCeaV6yrOR-JM8...
13          https://www.youtube.com/user/rhanasilva1981
14    https://www.youtube.com/c/CONFIContabilidadeeF...
15                https://www.youtube.com/c/HygorDuarte
16    https://www.youtube.com/channel/UCVg6Vnzsvl1Bd...
17    https://www.youtube.com/channel/UC56OBAO_9_x5z...
18        https://www.youtube.com/c/DoutorFinan%C3%A7as
19    https://www.youtube.com/channel/UCPTBWrzLqsyjF...
Name: Ch_URL, dtype: object",Dar mesada para os filhos é bom? Finanças Pessoais Família.,https://www.youtube.com/watch?v=6GPSM0LPQAU,1 year ago,73 views,102 subscribers
finanças familiares,Sandro Guimarães,"0     https://www.youtube.com/c/Mar%C3%ADliaeDiogoFi...
1     https://www.youtube.com/channel/UCmF-yWe3Mu6t4...
2     https://www.youtube.com/channel/UCfdr4u6xt-sjt...
3     https://www.youtube.com/channel/UCt5ALCR2-drz0...
4           https://www.youtube.com/user/sandro13072007
5     https://www.youtube.com/channel/UCdmL4rNzMiPED...
6     https://www.youtube.com/channel/UCTAEhkI5QBlaV...
7               https://www.youtube.com/c/BemFinanceiro
8     https://www.youtube.com/channel/UCnrPQSqI90OrQ...
9     https://www.youtube.com/channel/UCByTy_k-38Pdv...
10               https://www.youtube.com/c/Mepoupenaweb
11    https://www.youtube.com/channel/UCMBZbl09G3COS...
12    https://www.youtube.com/channel/UCeaV6yrOR-JM8...
13          https://www.youtube.com/user/rhanasilva1981
14    https://www.youtube.com/c/CONFIContabilidadeeF...
15                https://www.youtube.com/c/HygorDuarte
16    https://www.youtube.com/channel/UCVg6Vnzsvl1Bd...
17    https://www.youtube.com/channel/UC56OBAO_9_x5z...
18        https://www.youtube.com/c/DoutorFinan%C3%A7as
19    https://www.youtube.com/channel/UCPTBWrzLqsyjF...
Name: Ch_URL, dtype: object",O seu dinheiro é nosso... Casais lidando com suas finanças.,https://www.youtube.com/watch?v=WlbLczDs6Hs,1 year ago,72 views,102 subscribers
finanças familiares,Sandro Guimarães,"0     https://www.youtube.com/c/Mar%C3%ADliaeDiogoFi...
1     https://www.youtube.com/channel/UCmF-yWe3Mu6t4...
2     https://www.youtube.com/channel/UCfdr4u6xt-sjt...
3     https://www.youtube.com/channel/UCt5ALCR2-drz0...
4           https://www.youtube.com/user/sandro13072007
5     https://www.youtube.com/channel/UCdmL4rNzMiPED...
6     https://www.youtube.com/channel/UCTAEhkI5QBlaV...
7               https://www.youtube.com/c/BemFinanceiro
8     https://www.youtube.com/channel/UCnrPQSqI90OrQ...
9     https://www.youtube.com/channel/UCByTy_k-38Pdv...
10               https://www.youtube.com/c/Mepoupenaweb
11    https://www.youtube.com/channel/UCMBZbl09G3COS...
12    https://www.youtube.com/channel/UCeaV6yrOR-JM8...
13          https://www.youtube.com/user/rhanasilva1981
14    https://www.youtube.com/c/CONFIContabilidadeeF...
15                https://www.youtube.com/c/HygorDuarte
16    https://www.youtube.com/channel/UCVg6Vnzsvl1Bd...
17    https://www.youtube.com/channel/UC56OBAO_9_x5z...
18        https://www.youtube.com/c/DoutorFinan%C3%A7as
19    https://www.youtube.com/channel/UCPTBWrzLqsyjF...
Name: Ch_URL, dtype: object",Sabia que seu filho pode ser MILIONÁRIO?,https://www.youtube.com/watch?v=ds3oZJBz6VQ,1 year ago,64 views,102 subscribers
finanças familiares,Sandro Guimarães,"0     https://www.youtube.com/c/Mar%C3%ADliaeDiogoFi...
1     https://www.youtube.com/channel/UCmF-yWe3Mu6t4...
2     https://www.youtube.com/channel/UCfdr4u6xt-sjt...
3     https://www.youtube.com/channel/UCt5ALCR2-drz0...
4           https://www.youtube.com/user/sandro13072007
5     https://www.youtube.com/channel/UCdmL4rNzMiPED...
6     https://www.youtube.com/channel/UCTAEhkI5QBlaV...
7               https://www.youtube.com/c/BemFinanceiro
8     https://www.youtube.com/channel/UCnrPQSqI90OrQ...
9     https://www.youtube.com/channel/UCByTy_k-38Pdv...
10               https://www.youtube.com/c/Mepoupenaweb
11    https://www.youtube.com/channel/UCMBZbl09G3COS...
12    https://www.youtube.com/channel/UCeaV6yrOR-JM8...
13          https://www.youtube.com/user/rhanasilva1981
14    https://www.youtube.com/c/CONFIContabilidadeeF...
15                https://www.youtube.com/c/HygorDuarte
16    https://www.youtube.com/channel/UCVg6Vnzsvl1Bd...
17    https://www.youtube.com/channel/UC56OBAO_9_x5z...
18        https://www.youtube.com/c/DoutorFinan%C3%A7as
19    https://www.youtube.com/channel/UCPTBWrzLqsyjF...
Name: Ch_URL, dtype: object",Saiba como suas crenças influenciam suas finanças.,https://www.youtube.com/watch?v=BCAHUce_IDk,1 year ago,60 views,102 subscribers
finanças familiares,Sandro Guimarães,"0     https://www.youtube.com/c/Mar%C3%ADliaeDiogoFi...
1     https://www.youtube.com/channel/UCmF-yWe3Mu6t4...
2     https://www.youtube.com/channel/UCfdr4u6xt-sjt...
3     https://www.youtube.com/channel/UCt5ALCR2-drz0...
4           https://www.youtube.com/user/sandro13072007
5     https://www.youtube.com/channel/UCdmL4rNzMiPED...
6     https://www.youtube.com/channel/UCTAEhkI5QBlaV...
7               https://www.youtube.com/c/BemFinanceiro
8     https://www.youtube.com/channel/UCnrPQSqI90OrQ...
9     https://www.youtube.com/channel/UCByTy_k-38Pdv...
10               https://www.youtube.com/c/Mepoupenaweb
11    https://www.youtube.com/channel/UCMBZbl09G3COS...
12    https://www.youtube.com/channel/UCeaV6yrOR-JM8...
13          https://www.youtube.com/user/rhanasilva1981
14    https://www.youtube.com/c/CONFIContabilidadeeF...
15                https://www.youtube.com/c/HygorDuarte
16    https://www.youtube.com/channel/UCVg6Vnzsvl1Bd...
17    https://www.youtube.com/channel/UC56OBAO_9_x5z...
18        https://www.youtube.com/c/DoutorFinan%C3%A7as
19    https://www.youtube.com/channel/UCPTBWrzLqsyjF...
Name: Ch_URL, dtype: object","Não Pare de Comprar, mesmo na crise. Vou te mostrar como.",https://www.youtube.com/watch?v=uvC0khEfvcY,1 year ago,56 views,102 subscribers
finanças familiares,Sandro Guimarães,"0     https://www.youtube.com/c/Mar%C3%ADliaeDiogoFi...
1     https://www.youtube.com/channel/UCmF-yWe3Mu6t4...
2     https://www.youtube.com/channel/UCfdr4u6xt-sjt...
3     https://www.youtube.com/channel/UCt5ALCR2-drz0...
4           https://www.youtube.com/user/sandro13072007
5     https://www.youtube.com/channel/UCdmL4rNzMiPED...
6     https://www.youtube.com/channel/UCTAEhkI5QBlaV...
7               https://www.youtube.com/c/BemFinanceiro
8     https://www.youtube.com/channel/UCnrPQSqI90OrQ...
9     https://www.youtube.com/channel/UCByTy_k-38Pdv...
10               https://www.youtube.com/c/Mepoupenaweb
11    https://www.youtube.com/channel/UCMBZbl09G3COS...
12    https://www.youtube.com/channel/UCeaV6yrOR-JM8...
13          https://www.youtube.com/user/rhanasilva1981
14    https://www.youtube.com/c/CONFIContabilidadeeF...
15                https://www.youtube.com/c/HygorDuarte
16    https://www.youtube.com/channel/UCVg6Vnzsvl1Bd...
17    https://www.youtube.com/channel/UC56OBAO_9_x5z...
18        https://www.youtube.com/c/DoutorFinan%C3%A7as
19    https://www.youtube.com/channel/UCPTBWrzLqsyjF...
Name: Ch_URL, dtype: object",Diferença entre Ativo e Passivo. Qual eu devo adquirir?,https://www.youtube.com/watch?v=niuC2DnC1aE,1 year ago,47 views,102 subscribers
finanças familiares,Sandro Guimarães,"0     https://www.youtube.com/c/Mar%C3%ADliaeDiogoFi...
1     https://www.youtube.com/channel/UCmF-yWe3Mu6t4...
2     https://www.youtube.com/channel/UCfdr4u6xt-sjt...
3     https://www.youtube.com/channel/UCt5ALCR2-drz0...
4           https://www.youtube.com/user/sandro13072007
5     https://www.youtube.com/channel/UCdmL4rNzMiPED...
6     https://www.youtube.com/channel/UCTAEhkI5QBlaV...
7               https://www.youtube.com/c/BemFinanceiro
8     https://www.youtube.com/channel/UCnrPQSqI90OrQ...
9     https://www.youtube.com/channel/UCByTy_k-38Pdv...
10               https://www.youtube.com/c/Mepoupenaweb
11    https://www.youtube.com/channel/UCMBZbl09G3COS...
12    https://www.youtube.com/channel/UCeaV6yrOR-JM8...
13          https://www.youtube.com/user/rhanasilva1981
14    https://www.youtube.com/c/CONFIContabilidadeeF...
15                https://www.youtube.com/c/HygorDuarte
16    https://www.youtube.com/channel/UCVg6Vnzsvl1Bd...
17    https://www.youtube.com/channel/UC56OBAO_9_x5z...
18        https://www.youtube.com/c/DoutorFinan%C3%A7as
19    https://www.youtube.com/channel/UCPTBWrzLqsyjF...
Name: Ch_URL, dtype: object",Não quer mais receber calote? Dica matadora sobre finanças…,https://www.youtube.com/watch?v=YVD3lVBclZI,1 year ago,46 views,102 subscribers
finanças familiares,Sandro Guimarães,"0     https://www.youtube.com/c/Mar%C3%ADliaeDiogoFi...
1     https://www.youtube.com/channel/UCmF-yWe3Mu6t4...
2     https://www.youtube.com/channel/UCfdr4u6xt-sjt...
3     https://www.youtube.com/channel/UCt5ALCR2-drz0...
4           https://www.youtube.com/user/sandro13072007
5     https://www.youtube.com/channel/UCdmL4rNzMiPED...
6     https://www.youtube.com/channel/UCTAEhkI5QBlaV...
7               https://www.youtube.com/c/BemFinanceiro
8     https://www.youtube.com/channel/UCnrPQSqI90OrQ...
9     https://www.youtube.com/channel/UCByTy_k-38Pdv...
10               https://www.youtube.com/c/Mepoupenaweb
11    https://www.youtube.com/channel/UCMBZbl09G3COS...
12    https://www.youtube.com/channel/UCeaV6yrOR-JM8...
13          https://www.youtube.com/user/rhanasilva1981
14    https://www.youtube.com/c/CONFIContabilidadeeF...
15                https://www.youtube.com/c/HygorDuarte
16    https://www.youtube.com/channel/UCVg6Vnzsvl1Bd...
17    https://www.youtube.com/channel/UC56OBAO_9_x5z...
18        https://www.youtube.com/c/DoutorFinan%C3%A7as
19    https://www.youtube.com/channel/UCPTBWrzLqsyjF...
Name: Ch_URL, dtype: object",Suas finanças no piloto automático. Isso pode ser bom ou ruim.,https://www.youtube.com/watch?v=FYUNuRoGbps,1 year ago,46 views,102 subscribers
