Channel,Titles
CONFI - Contabilidade e Finanças,Carteira de Trabalho Digital - Dúvidas
CONFI - Contabilidade e Finanças,Receitas e despesas
CONFI - Contabilidade e Finanças,Mudanças na Estrutura Conceitual - parte 1
CONFI - Contabilidade e Finanças,Mudanças na Estrutura Conceitual - parte 2
CONFI - Contabilidade e Finanças,Estrutura conceitual básica da Contabilidade
CONFI - Contabilidade e Finanças,IFRS na prática: tudo sobre as normas internacionais de Contabilidade
CONFI - Contabilidade e Finanças,Contabilidade societária e contabilidade tributária #parte1: entenda as diferenças
CONFI - Contabilidade e Finanças,Consolidação das Demonstrações Contábeis - Parte 1
CONFI - Contabilidade e Finanças,Mudanças na Estrutura Conceitual - parte 3
CONFI - Contabilidade e Finanças,Portaria 139 2020 - Prorroga prazos de vencimento de INSS PIS e COFINS
CONFI - Contabilidade e Finanças,História da IFRS
CONFI - Contabilidade e Finanças,Os Campos de Atuação da Contabilidade.
CONFI - Contabilidade e Finanças,Mudanças na Estrutura Conceitual - parte 4
CONFI - Contabilidade e Finanças,"A estrutura conceitual básica e o CPC 26, apresentação das demonstrações contábeis"
CONFI - Contabilidade e Finanças,Mudanças na Estrutura conceitual - parte 5
CONFI - Contabilidade e Finanças,Caso Prático - Teste Impairment
CONFI - Contabilidade e Finanças,"Parceria entre Sócios , Instituto Marion de Excelência da Contabilidade  e a Atlas/GEN"
CONFI - Contabilidade e Finanças,Ajuste de Avaliação Patrimonial - Prático
CONFI - Contabilidade e Finanças,COVID-19: Lei nº 14020/2020
CONFI - Contabilidade e Finanças,Retificação de Erros - Prático
