Channel,Titles
Me poupe!,Women Who Change the World: Zica Assis
Me poupe!,Do you dare face those women? (WOMEN WHO CHANGE THE WORLD)
Me poupe!,MEU PRIMEIRO MILHÃO: Como fiquei milionária com 32 anos
Me poupe!,6 PASSOS PRÁTICOS PRA JUNTAR 10 MIL REAIS! O passo 6 é o mais difícil
Me poupe!,COMO SOBRAR DINHEIRO: 5 super dicas que funcionam
Me poupe!,TESOURO DIRETO: 5 PASSOS PRÁTICOS pra investir todo mês!
Me poupe!,5 LESSONS FROM LUIZA TRAJANO FOR THOSE WHO WANT TO BECOME ENTREPRENEURS 
Me poupe!,"PIC PAY, NUBANK OU TESOURO SELIC: ONDE DEIXAR O DINHEIRO?"
Me poupe!,14 COISAS QUE VOCÊ NÃO PRECISA PAGAR NUNCA MAIS! A 8ª é inacreditável! (VAI SOBRAR DINHEIRO!)
Me poupe!,PRIMEIRO MILHÃO: 5 dicas para quem curte baixo risco e quer chegar lá!
Me poupe!,TESOURO SELIC NA PRÁTICA: INVESTI 105 REAIS e já sei quanto vou ganhar acima da poupança
Me poupe!,COMO GANHAR (muito) DINHEIRO TRABALHANDO EM CASA? 6 dicas de afiliados digitais
Me poupe!,COMO LIMPAR SEU NOME E SAIR DAS DÍVIDAS (pra sempre): 4 PASSOS PODEROSOS!
Me poupe!,COMO ECONOMIZEI 200 MIL REAIS FAZENDO ISSO! MEUS 30 hábitos pra economizar e enriquecer!
Me poupe!,"TUDO SOBRE RENDA FIXA! LCI, LCA, CDB e LC (ISSO NINGUÉM TE CONTA)"
Me poupe!,5 PRODUTOS DE LIMPEZA que ficam MAIS CAROS porque você não sabe usar! (É o fim do desperdício!)
Me poupe!,#FiqueEmCasa e Saia do Aperto #Comigo com Nathalia Arcuri e convidados
Me poupe!,CASA PRÓPRIA NÃO É INVESTIMENTO!  A mentira que você acreditou a vida toda...
Me poupe!,MAKE DE RICA X MAKE DE POBRE com maquiagem de FARMÁCIA! Feat Duda Fernandes Semana da Beleza EP2
Me poupe!,AS 4 ESTRATÉGIAS PRA SAIR DE UM SALÁRIO MÍNIMO PARA O PRIMEIRO MILHÃO! Eu já usei duas!
