Category,Channel,Inscritos,Videos,Ch_URL
finanças familiares,Marília e Diogo - Finanças e Família,4.42K subscribers,46 videos,https://www.youtube.com/c/Mar%C3%ADliaeDiogoFinan%C3%A7aseFam%C3%ADlia
finanças familiares,Bruno Braite - Finanças Familiares,,1 video,https://www.youtube.com/channel/UCmF-yWe3Mu6t4nzvfqVm3Ug
finanças familiares,finanças familiar,1 subscriber,1 video,https://www.youtube.com/channel/UCfdr4u6xt-sjt-KR3uq3yYg
finanças familiares,Eduardo Mendes,54 subscribers,30 videos,https://www.youtube.com/channel/UCt5ALCR2-drz0gNdC_i_Ykg
finanças familiares,Sandro Guimarães,102 subscribers,16 videos,https://www.youtube.com/user/sandro13072007
finanças familiares,Finanças com a Tia Lê!,47 subscribers,8 videos,https://www.youtube.com/channel/UCdmL4rNzMiPEDZdTiFxBfQg
finanças familiares,FINANLOGIA COM CARDOSO,20 subscribers,1 video,https://www.youtube.com/channel/UCTAEhkI5QBlaVcprcXYcvvQ
finanças familiares,Bem Financeiro,388 subscribers,101 videos,https://www.youtube.com/c/BemFinanceiro
finanças familiares,Hiran Williams - Fazendo Fortuna,3.81K subscribers,16 videos,https://www.youtube.com/channel/UCnrPQSqI90OrQu6SReYAOpg
finanças familiares,Leegal,2 subscribers,1 video,https://www.youtube.com/channel/UCByTy_k-38PdvUwxFxMT93g
finanças familiares,Me poupe!,6.76M subscribers,969 videos,https://www.youtube.com/c/Mepoupenaweb
finanças familiares,Oliver Service,11 subscribers,3 videos,https://www.youtube.com/channel/UCMBZbl09G3COSRcoqPiGBag
finanças familiares,Viver Planejamento e Finanças Familiar,1 subscriber,1 video,https://www.youtube.com/channel/UCeaV6yrOR-JM8a-7VBgrOlw
finanças familiares,Café com Leite,,2 videos,https://www.youtube.com/user/rhanasilva1981
finanças familiares,CONFI - Contabilidade e Finanças,4.38K subscribers,510 videos,https://www.youtube.com/c/CONFIContabilidadeeFinan%C3%A7as
finanças familiares,Por trás das finanças!,189 subscribers,55 videos,https://www.youtube.com/c/HygorDuarte
finanças familiares,Bela Bidinha,,31 videos,https://www.youtube.com/channel/UCVg6Vnzsvl1BdZY8iEG50wQ
finanças familiares,Claudia Avelar,2 subscribers,8 videos,https://www.youtube.com/channel/UC56OBAO_9_x5zQdfG4_-54A
finanças familiares,Doutor Finanças,3.89K subscribers,263 videos,https://www.youtube.com/c/DoutorFinan%C3%A7as
finanças familiares,Prof. Osvaldo Silva (Organizando suas finanças),73 subscribers,14 videos,https://www.youtube.com/channel/UCPTBWrzLqsyjF8uxxyJVuWQ
