Category,Channel,Inscritos,Videos,Ch_URL
florianopolis,Florian polis House of Prayer,29700,1 103,https://www.youtube.com/c/FHOPbr
florianopolis,Prefeitura de Florian polis,3 8600,587,https://www.youtube.com/c/PrefeituradeFlorian%C3%B3polis1
florianopolis,Next Academy Florian polis,771,179,https://www.youtube.com/channel/UCPdlJ7ojbs5imxqbGLEgGhA
florianopolis,Balan o Geral Florian polis,22400,17 015,https://www.youtube.com/c/Balan%C3%A7oGeralFlorian%C3%B3polis
florianopolis,Jovem Pan Floripa,2 6500,757,https://www.youtube.com/c/jovempanfloripafm
florianopolis,UMBANDA FLORIAN POLIS,29 100,57,https://www.youtube.com/c/UMBANDAFLORIAN%C3%93POLIS
florianopolis,Adfloripa,30 800,1 826,https://www.youtube.com/c/Adfloripa
florianopolis,Mostra de Cinema Infantil,12 600,692,https://www.youtube.com/c/MostradeCinemaInfantil
florianopolis,TV Florianopolis,2 7700,179,https://www.youtube.com/user/tvflorianopolis
florianopolis,Verbo Floripa Oficial,2 1400,418,https://www.youtube.com/c/VerboFloripaOficial
florianopolis,Unimed Grande Florian polis,1 3900,52,https://www.youtube.com/c/unimedfln
florianopolis,IFSC C mpus Florian polis,1 5300,310,https://www.youtube.com/c/IFSCC%C3%A2mpusFlorian%C3%B3polis
florianopolis,C mara Municipal de Florian polis Canal Oficial,,2 523,https://www.youtube.com/c/CMFCanalOficial
florianopolis,Camerata Florian polis,24 200,162,https://www.youtube.com/c/CamerataFlorian%C3%B3polis
florianopolis,Mais de Cristo TV,22 900,459,https://www.youtube.com/c/MaisdeCristoOficial
florianopolis,Trig meos de Florian polis,3700,163,https://www.youtube.com/channel/UCe8E7ywP99TWjX0xLI3djpg
florianopolis,Polo UAB Florian polis,1 600,119,https://www.youtube.com/channel/UCOpnRdXmqtb3qOCQiULjeag
florianopolis,RAT BIKE FLORIAN POLIS,,388,https://www.youtube.com/channel/UChwmFGCqUofBUiFIr-z8-4w
florianopolis,Florianopolis Brasil,,2,https://www.youtube.com/channel/UCRxTZutggp9VYbgipHNUnhQ
florianopolis,ARAF Associa o de Radioamadores de Florian polis,521,27,https://www.youtube.com/c/ARAF-PP5ARF
