Category,Channel,Ch_URL,Titles,Video_URL,Date,View_2021-12-17,Subs_2021-12-17
floripa,Guia Floripa,"0           https://www.youtube.com/c/jovempanfloripafm
1               https://www.youtube.com/c/FloripaOnCars
2       https://www.youtube.com/c/FloripaPodCastOficial
3            https://www.youtube.com/user/atlantida1009
4     https://www.youtube.com/channel/UC0cFYD53cz9RN...
5         https://www.youtube.com/c/FernandoUberFloripa
6         https://www.youtube.com/c/VerboFloripaOficial
7     https://www.youtube.com/channel/UCTZCEI5K_P6z8...
8     https://www.youtube.com/c/FloripaBikersMountai...
9                 https://www.youtube.com/c/FloripaReef
10       https://www.youtube.com/user/luteranafloripatv
11    https://www.youtube.com/c/FloripaDroneImagensA...
12              https://www.youtube.com/c/floripanamoto
13                  https://www.youtube.com/c/Adfloripa
14                    https://www.youtube.com/c/Floripa
15    https://www.youtube.com/channel/UCkz7Qpu6CKH-5...
16    https://www.youtube.com/c/Bi%C3%B3logoChit%C3%A3o
17    https://www.youtube.com/channel/UCRO_dft0npBBr...
18                 https://www.youtube.com/c/ZECARAFAIN
19    https://www.youtube.com/channel/UCa0_qYZV6mRbC...
Name: Ch_URL, dtype: object",Praia dos Ingleses | Florianópolis - Santa Catarina | Guia Floripa,https://www.youtube.com/watch?v=4QoPP23D-s8,há 2 anos,6 900,129
floripa,Guia Floripa,"0           https://www.youtube.com/c/jovempanfloripafm
1               https://www.youtube.com/c/FloripaOnCars
2       https://www.youtube.com/c/FloripaPodCastOficial
3            https://www.youtube.com/user/atlantida1009
4     https://www.youtube.com/channel/UC0cFYD53cz9RN...
5         https://www.youtube.com/c/FernandoUberFloripa
6         https://www.youtube.com/c/VerboFloripaOficial
7     https://www.youtube.com/channel/UCTZCEI5K_P6z8...
8     https://www.youtube.com/c/FloripaBikersMountai...
9                 https://www.youtube.com/c/FloripaReef
10       https://www.youtube.com/user/luteranafloripatv
11    https://www.youtube.com/c/FloripaDroneImagensA...
12              https://www.youtube.com/c/floripanamoto
13                  https://www.youtube.com/c/Adfloripa
14                    https://www.youtube.com/c/Floripa
15    https://www.youtube.com/channel/UCkz7Qpu6CKH-5...
16    https://www.youtube.com/c/Bi%C3%B3logoChit%C3%A3o
17    https://www.youtube.com/channel/UCRO_dft0npBBr...
18                 https://www.youtube.com/c/ZECARAFAIN
19    https://www.youtube.com/channel/UCa0_qYZV6mRbC...
Name: Ch_URL, dtype: object",Praia do Campeche | Florianópolis - Santa Catarina | Guia Floripa,https://www.youtube.com/watch?v=qB0ekcYQWCs,há 2 anos,4 100,129
floripa,Guia Floripa,"0           https://www.youtube.com/c/jovempanfloripafm
1               https://www.youtube.com/c/FloripaOnCars
2       https://www.youtube.com/c/FloripaPodCastOficial
3            https://www.youtube.com/user/atlantida1009
4     https://www.youtube.com/channel/UC0cFYD53cz9RN...
5         https://www.youtube.com/c/FernandoUberFloripa
6         https://www.youtube.com/c/VerboFloripaOficial
7     https://www.youtube.com/channel/UCTZCEI5K_P6z8...
8     https://www.youtube.com/c/FloripaBikersMountai...
9                 https://www.youtube.com/c/FloripaReef
10       https://www.youtube.com/user/luteranafloripatv
11    https://www.youtube.com/c/FloripaDroneImagensA...
12              https://www.youtube.com/c/floripanamoto
13                  https://www.youtube.com/c/Adfloripa
14                    https://www.youtube.com/c/Floripa
15    https://www.youtube.com/channel/UCkz7Qpu6CKH-5...
16    https://www.youtube.com/c/Bi%C3%B3logoChit%C3%A3o
17    https://www.youtube.com/channel/UCRO_dft0npBBr...
18                 https://www.youtube.com/c/ZECARAFAIN
19    https://www.youtube.com/channel/UCa0_qYZV6mRbC...
Name: Ch_URL, dtype: object",Lagoa da Conceição | Florianópolis - Santa Catarina | Guia Floripa,https://www.youtube.com/watch?v=sF9XU6Vs05w,há 2 anos,4 100,129
floripa,Guia Floripa,"0           https://www.youtube.com/c/jovempanfloripafm
1               https://www.youtube.com/c/FloripaOnCars
2       https://www.youtube.com/c/FloripaPodCastOficial
3            https://www.youtube.com/user/atlantida1009
4     https://www.youtube.com/channel/UC0cFYD53cz9RN...
5         https://www.youtube.com/c/FernandoUberFloripa
6         https://www.youtube.com/c/VerboFloripaOficial
7     https://www.youtube.com/channel/UCTZCEI5K_P6z8...
8     https://www.youtube.com/c/FloripaBikersMountai...
9                 https://www.youtube.com/c/FloripaReef
10       https://www.youtube.com/user/luteranafloripatv
11    https://www.youtube.com/c/FloripaDroneImagensA...
12              https://www.youtube.com/c/floripanamoto
13                  https://www.youtube.com/c/Adfloripa
14                    https://www.youtube.com/c/Floripa
15    https://www.youtube.com/channel/UCkz7Qpu6CKH-5...
16    https://www.youtube.com/c/Bi%C3%B3logoChit%C3%A3o
17    https://www.youtube.com/channel/UCRO_dft0npBBr...
18                 https://www.youtube.com/c/ZECARAFAIN
19    https://www.youtube.com/channel/UCa0_qYZV6mRbC...
Name: Ch_URL, dtype: object",Ilha do Campeche | Florianópolis - Santa Catarina | Guia Floripa,https://www.youtube.com/watch?v=E_potMNNsB4,há 2 anos,2 500,129
floripa,Guia Floripa,"0           https://www.youtube.com/c/jovempanfloripafm
1               https://www.youtube.com/c/FloripaOnCars
2       https://www.youtube.com/c/FloripaPodCastOficial
3            https://www.youtube.com/user/atlantida1009
4     https://www.youtube.com/channel/UC0cFYD53cz9RN...
5         https://www.youtube.com/c/FernandoUberFloripa
6         https://www.youtube.com/c/VerboFloripaOficial
7     https://www.youtube.com/channel/UCTZCEI5K_P6z8...
8     https://www.youtube.com/c/FloripaBikersMountai...
9                 https://www.youtube.com/c/FloripaReef
10       https://www.youtube.com/user/luteranafloripatv
11    https://www.youtube.com/c/FloripaDroneImagensA...
12              https://www.youtube.com/c/floripanamoto
13                  https://www.youtube.com/c/Adfloripa
14                    https://www.youtube.com/c/Floripa
15    https://www.youtube.com/channel/UCkz7Qpu6CKH-5...
16    https://www.youtube.com/c/Bi%C3%B3logoChit%C3%A3o
17    https://www.youtube.com/channel/UCRO_dft0npBBr...
18                 https://www.youtube.com/c/ZECARAFAIN
19    https://www.youtube.com/channel/UCa0_qYZV6mRbC...
Name: Ch_URL, dtype: object",Praia do Matadeiro | Florianópolis - Santa Catarina | Guia Floripa,https://www.youtube.com/watch?v=lO9PY9hMgPI,há 2 anos,2 500,129
floripa,Guia Floripa,"0           https://www.youtube.com/c/jovempanfloripafm
1               https://www.youtube.com/c/FloripaOnCars
2       https://www.youtube.com/c/FloripaPodCastOficial
3            https://www.youtube.com/user/atlantida1009
4     https://www.youtube.com/channel/UC0cFYD53cz9RN...
5         https://www.youtube.com/c/FernandoUberFloripa
6         https://www.youtube.com/c/VerboFloripaOficial
7     https://www.youtube.com/channel/UCTZCEI5K_P6z8...
8     https://www.youtube.com/c/FloripaBikersMountai...
9                 https://www.youtube.com/c/FloripaReef
10       https://www.youtube.com/user/luteranafloripatv
11    https://www.youtube.com/c/FloripaDroneImagensA...
12              https://www.youtube.com/c/floripanamoto
13                  https://www.youtube.com/c/Adfloripa
14                    https://www.youtube.com/c/Floripa
15    https://www.youtube.com/channel/UCkz7Qpu6CKH-5...
16    https://www.youtube.com/c/Bi%C3%B3logoChit%C3%A3o
17    https://www.youtube.com/channel/UCRO_dft0npBBr...
18                 https://www.youtube.com/c/ZECARAFAIN
19    https://www.youtube.com/channel/UCa0_qYZV6mRbC...
Name: Ch_URL, dtype: object",Praia do Moçambique | Florianópolis - Santa Catarina | Guia Floripa,https://www.youtube.com/watch?v=2ktaz3Y6PRE,há 1 ano,200,129
floripa,Guia Floripa,"0           https://www.youtube.com/c/jovempanfloripafm
1               https://www.youtube.com/c/FloripaOnCars
2       https://www.youtube.com/c/FloripaPodCastOficial
3            https://www.youtube.com/user/atlantida1009
4     https://www.youtube.com/channel/UC0cFYD53cz9RN...
5         https://www.youtube.com/c/FernandoUberFloripa
6         https://www.youtube.com/c/VerboFloripaOficial
7     https://www.youtube.com/channel/UCTZCEI5K_P6z8...
8     https://www.youtube.com/c/FloripaBikersMountai...
9                 https://www.youtube.com/c/FloripaReef
10       https://www.youtube.com/user/luteranafloripatv
11    https://www.youtube.com/c/FloripaDroneImagensA...
12              https://www.youtube.com/c/floripanamoto
13                  https://www.youtube.com/c/Adfloripa
14                    https://www.youtube.com/c/Floripa
15    https://www.youtube.com/channel/UCkz7Qpu6CKH-5...
16    https://www.youtube.com/c/Bi%C3%B3logoChit%C3%A3o
17    https://www.youtube.com/channel/UCRO_dft0npBBr...
18                 https://www.youtube.com/c/ZECARAFAIN
19    https://www.youtube.com/channel/UCa0_qYZV6mRbC...
Name: Ch_URL, dtype: object",Praia da Joaquina | Florianópolis - Santa Catarina | Guia Floripa,https://www.youtube.com/watch?v=ePkMuy1XJSU,há 2 anos,1 900,129
floripa,Guia Floripa,"0           https://www.youtube.com/c/jovempanfloripafm
1               https://www.youtube.com/c/FloripaOnCars
2       https://www.youtube.com/c/FloripaPodCastOficial
3            https://www.youtube.com/user/atlantida1009
4     https://www.youtube.com/channel/UC0cFYD53cz9RN...
5         https://www.youtube.com/c/FernandoUberFloripa
6         https://www.youtube.com/c/VerboFloripaOficial
7     https://www.youtube.com/channel/UCTZCEI5K_P6z8...
8     https://www.youtube.com/c/FloripaBikersMountai...
9                 https://www.youtube.com/c/FloripaReef
10       https://www.youtube.com/user/luteranafloripatv
11    https://www.youtube.com/c/FloripaDroneImagensA...
12              https://www.youtube.com/c/floripanamoto
13                  https://www.youtube.com/c/Adfloripa
14                    https://www.youtube.com/c/Floripa
15    https://www.youtube.com/channel/UCkz7Qpu6CKH-5...
16    https://www.youtube.com/c/Bi%C3%B3logoChit%C3%A3o
17    https://www.youtube.com/channel/UCRO_dft0npBBr...
18                 https://www.youtube.com/c/ZECARAFAIN
19    https://www.youtube.com/channel/UCa0_qYZV6mRbC...
Name: Ch_URL, dtype: object",Praia Brava | Florianópolis - Santa Catarina | Guia Floripa,https://www.youtube.com/watch?v=JpZ7ZBeSYsw,há 2 anos,1 700,129
floripa,Guia Floripa,"0           https://www.youtube.com/c/jovempanfloripafm
1               https://www.youtube.com/c/FloripaOnCars
2       https://www.youtube.com/c/FloripaPodCastOficial
3            https://www.youtube.com/user/atlantida1009
4     https://www.youtube.com/channel/UC0cFYD53cz9RN...
5         https://www.youtube.com/c/FernandoUberFloripa
6         https://www.youtube.com/c/VerboFloripaOficial
7     https://www.youtube.com/channel/UCTZCEI5K_P6z8...
8     https://www.youtube.com/c/FloripaBikersMountai...
9                 https://www.youtube.com/c/FloripaReef
10       https://www.youtube.com/user/luteranafloripatv
11    https://www.youtube.com/c/FloripaDroneImagensA...
12              https://www.youtube.com/c/floripanamoto
13                  https://www.youtube.com/c/Adfloripa
14                    https://www.youtube.com/c/Floripa
15    https://www.youtube.com/channel/UCkz7Qpu6CKH-5...
16    https://www.youtube.com/c/Bi%C3%B3logoChit%C3%A3o
17    https://www.youtube.com/channel/UCRO_dft0npBBr...
18                 https://www.youtube.com/c/ZECARAFAIN
19    https://www.youtube.com/channel/UCa0_qYZV6mRbC...
Name: Ch_URL, dtype: object",Praia do Pantâno do Sul | Florianópolis - Santa Catarina | Guia Floripa,https://www.youtube.com/watch?v=oxW8uzSiR8c,há 1 ano,1 600,129
floripa,Guia Floripa,"0           https://www.youtube.com/c/jovempanfloripafm
1               https://www.youtube.com/c/FloripaOnCars
2       https://www.youtube.com/c/FloripaPodCastOficial
3            https://www.youtube.com/user/atlantida1009
4     https://www.youtube.com/channel/UC0cFYD53cz9RN...
5         https://www.youtube.com/c/FernandoUberFloripa
6         https://www.youtube.com/c/VerboFloripaOficial
7     https://www.youtube.com/channel/UCTZCEI5K_P6z8...
8     https://www.youtube.com/c/FloripaBikersMountai...
9                 https://www.youtube.com/c/FloripaReef
10       https://www.youtube.com/user/luteranafloripatv
11    https://www.youtube.com/c/FloripaDroneImagensA...
12              https://www.youtube.com/c/floripanamoto
13                  https://www.youtube.com/c/Adfloripa
14                    https://www.youtube.com/c/Floripa
15    https://www.youtube.com/channel/UCkz7Qpu6CKH-5...
16    https://www.youtube.com/c/Bi%C3%B3logoChit%C3%A3o
17    https://www.youtube.com/channel/UCRO_dft0npBBr...
18                 https://www.youtube.com/c/ZECARAFAIN
19    https://www.youtube.com/channel/UCa0_qYZV6mRbC...
Name: Ch_URL, dtype: object",Santo Antônio de Lisboa | Florianópolis - Santa Catarina | Guia Floripa,https://www.youtube.com/watch?v=aUVoWjAeQCM,há 2 anos,1 400,129
