Category,Channel,Inscritos,Videos,Ch_URL
floripa,Jovem Pan Floripa,2 6500,757,https://www.youtube.com/c/jovempanfloripafm
floripa,Floripa On Cars,20 800,138,https://www.youtube.com/c/FloripaOnCars
floripa,Floripa Na Moto,13600,618,https://www.youtube.com/c/floripanamoto
floripa,Floripa Podcast,535,14,https://www.youtube.com/c/FloripaPodCastOficial
floripa,Atl ntida Floripa,1 6800,255,https://www.youtube.com/user/atlantida1009
floripa,Fernando Floripa Motorista Uber,36100,1 070,https://www.youtube.com/c/FernandoUberFloripa
floripa,FLORIPA GAME,,249,https://www.youtube.com/channel/UC0cFYD53cz9RNfd8siQlhEQ
floripa,Verbo Floripa Oficial,2 1400,418,https://www.youtube.com/c/VerboFloripaOficial
floripa,Loucos por Floripa,,34,https://www.youtube.com/channel/UCTZCEI5K_P6z80LddZaS1kA
floripa,Floripa Bikers,816,97,https://www.youtube.com/c/FloripaBikersMountainBike
floripa,Floripa Reef Aquarismo Marinho,3 5800,155,https://www.youtube.com/c/FloripaReef
floripa,Luterana Floripa,959,291,https://www.youtube.com/user/luteranafloripatv
floripa,Floripa Drone,15 100,96,https://www.youtube.com/c/FloripaDroneImagensA%C3%A9reas
floripa,Adfloripa,30 800,1 826,https://www.youtube.com/c/Adfloripa
floripa,Floripa,1600,5,https://www.youtube.com/c/Floripa
floripa,Floripa Tap,204,30,https://www.youtube.com/channel/UCkz7Qpu6CKH-5KvJEkZ7emQ
floripa,Natureza de Floripa Prof Chit o FAUNA E FLORA,506,26,https://www.youtube.com/c/Bi%C3%B3logoChit%C3%A3o
floripa,ZECA FLORIPA REY DO CHURRASCO,1 3500,123,https://www.youtube.com/c/ZECARAFAIN
floripa,Floripa Spotter,1 0200,61,https://www.youtube.com/channel/UCRO_dft0npBBrNvtY4bZsMQ
floripa,Guia Floripa,129,16,https://www.youtube.com/channel/UCa0_qYZV6mRbCSy3i8vaVAg
