Category,Channel,Inscritos,Videos,Ch_URL
floriṕa,LP imagens surf,554,10,https://www.youtube.com/channel/UCCnDvpWcol2-02NQxiWNVtA
floriṕa,Floripa Na Moto,13600,618,https://www.youtube.com/c/floripanamoto
floriṕa,Atl ntida Floripa,1 6800,255,https://www.youtube.com/user/atlantida1009
floriṕa,FLORIPA GAME,,249,https://www.youtube.com/channel/UC0cFYD53cz9RNfd8siQlhEQ
floriṕa,Fernanda Paula Finatto,2,4,https://www.youtube.com/user/StaFernandalinda
floriṕa,Matheus Oliveira,,13,https://www.youtube.com/user/matheusfelipe007
floriṕa,Felype Augusto,14,25,https://www.youtube.com/user/felypeaugusto
floriṕa,Regis Gulfeto,1,4,https://www.youtube.com/user/regisgulfeto
floriṕa,ederson souza,9,4,https://www.youtube.com/user/neni5545456
floriṕa,Mariana ylleana,49,9,https://www.youtube.com/channel/UCmYlEZBS9UTvhnFw17PGgrw
floriṕa,Arthur Albuquerque,,1,https://www.youtube.com/channel/UCggnWzEQTyICVv--y6NLVag
floriṕa,Luara Bernardino,,2,https://www.youtube.com/channel/UCfvo-bKGUn9l_PvkcV6oPgA
floriṕa,Continental Omega Clube Grande Floripa,25,7,https://www.youtube.com/channel/UCSsONeXxxWdENY8Ou3o_P4A
floriṕa,Tch Floripa,4,4,https://www.youtube.com/channel/UCsHC0Agi6SlA-gxq-cTbldA
floriṕa,jueeu1,11,17,https://www.youtube.com/user/jueeu1
floriṕa,Cristhian de Souza fortes,23,4,https://www.youtube.com/channel/UC6G4aGcuZHtdbd7cVvndQbg
floriṕa,fl ripa Vivarelli,47,30,https://www.youtube.com/user/floalu
floriṕa,Helder Figueiredo,3,11,https://www.youtube.com/user/trogband
floriṕa,Renan dos Santos Frecceiro,19,23,https://www.youtube.com/user/renandoflat92
floriṕa,Felipe Marinho Bezerra,70,14,https://www.youtube.com/channel/UCL5UP2NDoR2LEUJkAIi-Ziw
