Channel,Titles
Canal da Elo,"Elo, Liz e vovó/ Elo traduzindo uma canção em libras"
Canal da Elo,"Elo, Liz e vovó - Oh, quão lindo esse nome é.( Coral Kemuel)"
Canal da Elo,"Elo, Liz e vovó"
Canal da Elo,"Elo, Liz e vovó / Receitinha de bolinhas de chocolate"
Canal da Elo,Abertura Canal da Elo
Canal da Elo,"Elo, Liz e vovó/ Experiência desenho mágico"
Canal da Elo,Viagem para Petrópolis Parte 1 - Canal da Elo
Canal da Elo,"Elo/ Pai nosso "" LIBRAS, LINGUA DE SINAIS"" / Milena Alves."
Canal da Elo,"Elo, Liz e vovó /Aprendendo a tocar violão."
Canal da Elo,Viagem para Petrópolis Parte 2 - Castelo de Itaipava - Canal da Elo
Canal da Elo,Elo falando um pouquinho sobre edição de vídeos
