Channel,Titles
Escola Complementar,História A Mulher que matou os peixes - Professor Juliano
Escola Complementar,Tocando a música Espantalho de Chapéu com lata 14-09
Escola Complementar,Cartão de natal
Escola Complementar,Encerramento das atividades... mensagem dos professores
Escola Complementar,Instrumento Musical Cabide de chaves 30-11
Escola Complementar,história A doença da terra
Escola Complementar,História - Coisinhas a toa que deixam a gente feliz - Professora Keity
Escola Complementar,Sequência de sons com o corpo - Professora Erika
Escola Complementar,Aprendendo a brincadeira Pega Copo-Vira Copo- Passa Copo 06/07.
Escola Complementar,Parabéns Matão
Escola Complementar,Brincadeiras com sacola
Escola Complementar,Brincando de Peito Estala Bate 27-07
Escola Complementar,Brincadeiras com tampas
Escola Complementar,Criando um Cápsula do Tempo
Escola Complementar,Desejos das crianças
Escola Complementar,História Adivinha quanto eu te amo - Professora Keity
Escola Complementar,Dia nacional do livro 29 de outubro
Escola Complementar,Construção de instrumento musical Castanhola 19-10
Escola Complementar,Notação Musical - Aula1 - Para os alunos com Caderno de Música
Escola Complementar,"História ""'E o dente ainda doía"""
