Channel,Titles
Geisa Farini,"Apresentação do canal - como fiquei cega,   minha criação e minha vida acadêmica - por Geisa Farini"
Geisa Farini,Uma cega na cozinha | Preparando um  almoço completo - por geisa Farini
Geisa Farini,Uma cega no supermercado | Como eu faço compras sozinha - por Geisa Farini
Geisa Farini,Como um cego anda sozinho  |  Como eu uso a bengala na rua - por Geisa Farini
Geisa Farini,"Fiquei cego, e agora? | Dicas para superar a perda e se tornar independente | ep1 - por Geisa Farini"
Geisa Farini,Uma cega se maquiando |  como eu  faço uma maquiagem completa sozinha - por Geisa Farini
Geisa Farini,uma cega tecnológica | Como eu mexo no celular e interajo nas redes sociais - por  Geisa Farini
Geisa Farini,"cegueira, relacionamentos, sexualidade e preconceitos - por Geisa Farini"
Geisa Farini,Tour pela Casa de cego | será que é diferente?  Quais as adaptações eu fiz - por Geisa Farini
Geisa Farini,Uma cega leitora   | como leio meus livros e outras formas de acesso à  leitura - por Geisa Farini
Geisa Farini,"Como assisto séries e filmes | Cegueira, acessibilidade e audiodescrição - por Geisa Farini"
Geisa Farini,Lugar de fala |  todo cego tem que ter um cão-guia? - por Geisa Farini e Sarah Marques
Geisa Farini,Uma cega no shopping | como eu compro minhas roupas sozinha - por Geisa Farini
Geisa Farini,como arrumei minha Mala de viagem para 20 dias no outono europeu - por Geisa Farini
Geisa Farini,Uma cega na moda | Como eu organizo meu guarda-roupa e me arrumo sozinha - por Geisa Farini
Geisa Farini,Cegos e viagens | como fazemos para viajar sozinhos - por Geisa Farini
Geisa Farini,Apresentando meu namorado | como nossa história começou - por Geisa Farini
Geisa Farini,Cegos e relacionamento parte 2 | Respondendo perguntinhas de vocês - por Geisa Farini
Geisa Farini,Cegos podem ser pais? | Como pessoas cegas conseguem criar seus filhos sozinhas - por Geisa Farini
Geisa Farini,Abrindo o meu coração | fim do casamento E outras grandes mudanças na minha vida - por Geisa Farini
