Channel,Titles
Grazielly Mascena Barbosa,Cristais de oxalato de cálcio microscópico óptico
Grazielly Mascena Barbosa,Surpresa ! pedido de noivado emocionante 😍❤💍👫🏻
Grazielly Mascena Barbosa,Desenho romântico. Fiz eu e meu noivo veja o passo a passo❤
Grazielly Mascena Barbosa,retrospectiva 1 ano do nosso amor 1 ano de namoro Cassiano e Grazielly
Grazielly Mascena Barbosa,Filhote de gato fofinho 😻
Grazielly Mascena Barbosa,Aniversário do meu noivo (pequena homenagem) Parabéns ❤
Grazielly Mascena Barbosa,"Louvor Jó - Cantora Midian , cover. A Deus a honra a glória e o Louvor ❤🎶🎼🎤"
Grazielly Mascena Barbosa,Como eu faço lettring com marca texto
Grazielly Mascena Barbosa,Oferta agradável 🎶(noite de louvor e adoração a Deus)
Grazielly Mascena Barbosa,Aprendendo a tocar uma música no violão
Grazielly Mascena Barbosa,fokinha voltando da vacinação
Grazielly Mascena Barbosa,Biomedicina estudying
