Category,Channel,Inscritos,Videos,Ch_URL
musica e culinária,M̲i̲c̲h̲e̲l̲ ̲A̲l̲m̲e̲i̲d̲a̲,376 subscribers,37 videos,https://www.youtube.com/channel/UC6uAXGzFjTitW5ceBdyP5Zw
musica e culinária,Geisa Farini,2.98K subscribers,75 videos,https://www.youtube.com/channel/UCv_jIXnZnNTfyBmXKJoKezg
musica e culinária,Canal da Elo,63 subscribers,11 videos,https://www.youtube.com/channel/UClRWXBBTqQ8I5NYDH8Xqk0Q
musica e culinária,OS TRIPULANTES TRIPULANTES,36 subscribers,8 videos,https://www.youtube.com/channel/UCrD8qplW3lkb5RKzBqmkWfg
musica e culinária,Babilônia & Cia,,39 videos,https://www.youtube.com/channel/UCGsweoTK24a0ZZ9FRvqPuWg
musica e culinária,Acadêmicos de Milton Friedman,8.9K subscribers,37 videos,https://www.youtube.com/c/Acad%C3%AAmicosdeMiltonFriedman
musica e culinária,Vania Oliveira,8 subscribers,3 videos,https://www.youtube.com/channel/UCZYOKobhIujHDw9d5TTjGjg
musica e culinária,Geovanna Silveira,4 subscribers,1 video,https://www.youtube.com/channel/UCPN2Dcpe04_ITf4AqjrdoOA
musica e culinária,"Curupira & Cia - musica ambiental, culinária e cultura",65 subscribers,8 videos,https://www.youtube.com/channel/UC189Cmul_nuB_Hc7_9Ngzng
musica e culinária,Projeto Arrudêia,48 subscribers,3 videos,https://www.youtube.com/channel/UC45G7TeHmqFtop1a31IUnHg
musica e culinária,Escola Complementar,26 subscribers,105 videos,https://www.youtube.com/channel/UChvLfZ9qY2pYZ-lAzeGGFDA
musica e culinária,Roberto Messias Violeiro.,357 subscribers,197 videos,https://www.youtube.com/user/robertomessias50
musica e culinária,L.Paulo Silva,,2 videos,https://www.youtube.com/channel/UCcGnmLW1IldQe7BORyTj5pQ
musica e culinária,Grazielly Mascena Barbosa,23 subscribers,12 videos,https://www.youtube.com/channel/UC_SlR3fNwmGyVhq6PmAAQHA
musica e culinária,O Canto do meu Coração,52 subscribers,24 videos,https://www.youtube.com/channel/UCFuycd8_1UUx99jm7JFzrpw
musica e culinária,Roberta Lara,30 subscribers,,https://www.youtube.com/channel/UCjVYgCYWyrz39ZgH_GJEYAQ
musica e culinária,Lá Fora Brasil Restaurante LFB,4 subscribers,4 videos,https://www.youtube.com/channel/UC34W2yd7vJKhH2ifMnrEYvw
musica e culinária,vera nordestina canal de culinária de tdo um pouc,198 subscribers,75 videos,https://www.youtube.com/channel/UC5_EqM_YnFm9ep5ZUsxFBwA
musica e culinária,Sophia Eduarda,32 subscribers,16 videos,https://www.youtube.com/channel/UCZbwigrmtLkSGkb_P0xhY0g
musica e culinária,Sofia no mundo da música,17 subscribers,14 videos,https://www.youtube.com/channel/UCWRnEAPTIj5EBzsfw_YtTgQ
