Category,Channel,Inscritos,Videos,Ch_URL
o que encontrar em florianópolis,Vitor Liberato,31300,252,https://www.youtube.com/c/VitorLiberato
o que encontrar em florianópolis,Doraiza Na Estrada,512,16,https://www.youtube.com/c/DoraizaNaEstrada
o que encontrar em florianópolis,Fernando Floripa Motorista Uber,36100,1 070,https://www.youtube.com/c/FernandoUberFloripa
o que encontrar em florianópolis,Aline em Floripa,788,35,https://www.youtube.com/c/AlineemFloripa
o que encontrar em florianópolis,Perdidos em Floripa,,9,https://www.youtube.com/channel/UCiILhLwGhqWKjX1OqsgRXqg
o que encontrar em florianópolis,Nelson Mariano,360,171,https://www.youtube.com/c/NelsonMariano16
o que encontrar em florianópolis,CaramelousWeb,7,13,https://www.youtube.com/channel/UCuAkC9ocrplySyPnKJ9ncmg
o que encontrar em florianópolis,Tania Nienk tter Rocha,623,28,https://www.youtube.com/channel/UCkKkgDeqp_-ORG8KzlGWtjw
o que encontrar em florianópolis,Attraversiamo Fronteras,1 6900,24,https://www.youtube.com/c/AttraversiamoFronteras
o que encontrar em florianópolis,Epagri V deos,24500,1 034,https://www.youtube.com/user/epagritv
o que encontrar em florianópolis,banca do mel,,2,https://www.youtube.com/channel/UCDwYgqY2ZUsJaoFB7ukcihg
o que encontrar em florianópolis,Rep rter William Fritzke,1 2800,37,https://www.youtube.com/user/Williamhf22
o que encontrar em florianópolis,Rol Floripa,831,18,https://www.youtube.com/c/Rol%C3%AAFloripa
o que encontrar em florianópolis,Kayser Otac lio Neg cios Imobili rios,12,16,https://www.youtube.com/channel/UCNsHqGOroDScCivE7PhVOyg
o que encontrar em florianópolis,Maryfloripa,2,4,https://www.youtube.com/channel/UCqtcKsi2dAZ20K9jrunctCg
o que encontrar em florianópolis,Gabriel Patrick Trip,,14,https://www.youtube.com/channel/UCdpJZG8yDyjvPbspqx5idjw
o que encontrar em florianópolis,natureexplorefloripa,2,38,https://www.youtube.com/channel/UCDBpK3Qui99Wex-ju0VNMoQ
o que encontrar em florianópolis,Trip to Cabin,273,4,https://www.youtube.com/channel/UCgfLgL7Eq_-c7rnMsKMGKpw
o que encontrar em florianópolis,Canal Marietom,260,36,https://www.youtube.com/channel/UCK722Ga8YqlR_gWsmITwMog
o que encontrar em florianópolis,Adriano Brancher,7,1,https://www.youtube.com/c/AdrianoBrancher
