Category,Channel,Inscritos,Videos,Ch_URL
pastel de feira,Curso Pastel de Feira,7 subscribers,2 videos,https://www.youtube.com/channel/UCTLvXWIDDkEmX1MhSZPi1MQ
pastel de feira,Banda Pastel de Feira,15 subscribers,7 videos,https://www.youtube.com/user/BandaPasteldeFeira
pastel de feira,PASTELARIA PENHA-PASTEL DE FEIRA,,3 videos,https://www.youtube.com/channel/UCBc0LZR53DqiaBF4Ozyd5Aw
pastel de feira,Curso Pastel de Feira,,1 video,https://www.youtube.com/channel/UCTLt1eNHmYPTgBvVKJeMuZQ
pastel de feira,Luana Curso de pastel de Feira,5 subscribers,4 videos,https://www.youtube.com/channel/UCD6ks3_OTTlQET9o9CUKM6g
pastel de feira,Curso Pastel de Feira,1 subscriber,1 video,https://www.youtube.com/channel/UC25tfQq5xwthSk9ZtqwYSyA
pastel de feira,Chicão Pastéis - Pastel de feira,3 subscribers,3 videos,https://www.youtube.com/channel/UCjmlN3R9o78-WyAp2uUa4xw
pastel de feira,Pastel de feira Frito,1 subscriber,1 video,https://www.youtube.com/channel/UCpmYPpEPc65uDLG7f4us3WA
pastel de feira,l feira l Pastel,12 subscribers,,https://www.youtube.com/channel/UCRFgw2Op_BvvyLxSjdnPJCA
pastel de feira,DA FEIRA PASTÉIS,59 subscribers,4 videos,https://www.youtube.com/channel/UCL6NrmaCAuOol1MAIyf1JnA
pastel de feira,Indusfrio,432 subscribers,8 videos,https://www.youtube.com/user/Indusfrio
pastel de feira,Gabriel Resende,34 subscribers,5 videos,https://www.youtube.com/channel/UC8gF8PxWwiRglnOkp-beuBQ
pastel de feira,Plantão Das Feiras,10.5K subscribers,139 videos,https://www.youtube.com/c/Plant%C3%A3oDasFeirasComCamposSalles
pastel de feira,Fábio Caetano,2 subscribers,30 videos,https://www.youtube.com/channel/UCiMGiY97pL9xHeHFlZugb3g
pastel de feira,luciano pastel de feira,14 subscribers,1 video,https://www.youtube.com/channel/UC3A8In_3sAOw5DZj57IA-ww
pastel de feira,Mão na massa,,2 videos,https://www.youtube.com/channel/UCkjfS25emFUm3XI9msH9bVA
pastel de feira,Marcelo Hernandes,25 subscribers,14 videos,https://www.youtube.com/user/marcelohernandes51
pastel de feira,Como Sair da Crise,,9 videos,https://www.youtube.com/channel/UCKfy_FMwDq9lXmsphRR6JSg
pastel de feira,Natan Vlogs,107 subscribers,7 videos,https://www.youtube.com/channel/UC7QRVXusmIttmEPPU5WIG8A
pastel de feira,Vovó Branca 60,8 subscribers,10 videos,https://www.youtube.com/channel/UCsFAdoZhQIj10HAK0WtzCXA
