Category,Channel,Ch_URL,Titles,Video_URL,Date,View_2021-12-18,Subs_2021-12-18
pastel,Aninha Santos Pastel,"0              https://www.youtube.com/c/WildPastelHair
1      https://www.youtube.com/c/AlessandraSantosPastel
2     https://www.youtube.com/channel/UC7cKyn4tjG9r9...
3     https://www.youtube.com/channel/UCvcNPirUKOZ7i...
4     https://www.youtube.com/channel/UCvU3Lrgb4cPOs...
5     https://www.youtube.com/channel/UCSF6vx__8xdAn...
6     https://www.youtube.com/channel/UC_-alS-Ajawmt...
7     https://www.youtube.com/channel/UCIjMZ-yxmkQNw...
8     https://www.youtube.com/c/PastelEscritorPastelino
9     https://www.youtube.com/channel/UCENUZbRr1cWOJ...
10    https://www.youtube.com/channel/UC-fqQWMBml3TR...
11    https://www.youtube.com/channel/UCMI9sMvRFZpPu...
12    https://www.youtube.com/channel/UCTLvXWIDDkEmX...
13         https://www.youtube.com/c/VidadeCaminhoneiro
14    https://www.youtube.com/channel/UCH3y9O7pO-YYf...
15             https://www.youtube.com/c/PastelQueimado
16    https://www.youtube.com/channel/UCWcgSOvDjLFT8...
17    https://www.youtube.com/channel/UCTTosQy4ZuydL...
18    https://www.youtube.com/channel/UCtrA3Kihzvq4x...
19    https://www.youtube.com/channel/UCoCDfYmZm5pLC...
Name: Ch_URL, dtype: object",TARDE DIVERTIDA NO SÍTIO PINTO NO LIXO COM MINHA TIA ALESSANDRA PASTEL!!,https://www.youtube.com/watch?v=lX1Vq9n05ec,há 3 meses,5100,3 3700
pastel,Aninha Santos Pastel,"0              https://www.youtube.com/c/WildPastelHair
1      https://www.youtube.com/c/AlessandraSantosPastel
2     https://www.youtube.com/channel/UC7cKyn4tjG9r9...
3     https://www.youtube.com/channel/UCvcNPirUKOZ7i...
4     https://www.youtube.com/channel/UCvU3Lrgb4cPOs...
5     https://www.youtube.com/channel/UCSF6vx__8xdAn...
6     https://www.youtube.com/channel/UC_-alS-Ajawmt...
7     https://www.youtube.com/channel/UCIjMZ-yxmkQNw...
8     https://www.youtube.com/c/PastelEscritorPastelino
9     https://www.youtube.com/channel/UCENUZbRr1cWOJ...
10    https://www.youtube.com/channel/UC-fqQWMBml3TR...
11    https://www.youtube.com/channel/UCMI9sMvRFZpPu...
12    https://www.youtube.com/channel/UCTLvXWIDDkEmX...
13         https://www.youtube.com/c/VidadeCaminhoneiro
14    https://www.youtube.com/channel/UCH3y9O7pO-YYf...
15             https://www.youtube.com/c/PastelQueimado
16    https://www.youtube.com/channel/UCWcgSOvDjLFT8...
17    https://www.youtube.com/channel/UCTTosQy4ZuydL...
18    https://www.youtube.com/channel/UCtrA3Kihzvq4x...
19    https://www.youtube.com/channel/UCoCDfYmZm5pLC...
Name: Ch_URL, dtype: object",ALMOÇO ESPECIAL COM A FAMÍLIA!!,https://www.youtube.com/watch?v=rmSOFxUTW4Q,há 3 meses,2100,3 3700
pastel,Aninha Santos Pastel,"0              https://www.youtube.com/c/WildPastelHair
1      https://www.youtube.com/c/AlessandraSantosPastel
2     https://www.youtube.com/channel/UC7cKyn4tjG9r9...
3     https://www.youtube.com/channel/UCvcNPirUKOZ7i...
4     https://www.youtube.com/channel/UCvU3Lrgb4cPOs...
5     https://www.youtube.com/channel/UCSF6vx__8xdAn...
6     https://www.youtube.com/channel/UC_-alS-Ajawmt...
7     https://www.youtube.com/channel/UCIjMZ-yxmkQNw...
8     https://www.youtube.com/c/PastelEscritorPastelino
9     https://www.youtube.com/channel/UCENUZbRr1cWOJ...
10    https://www.youtube.com/channel/UC-fqQWMBml3TR...
11    https://www.youtube.com/channel/UCMI9sMvRFZpPu...
12    https://www.youtube.com/channel/UCTLvXWIDDkEmX...
13         https://www.youtube.com/c/VidadeCaminhoneiro
14    https://www.youtube.com/channel/UCH3y9O7pO-YYf...
15             https://www.youtube.com/c/PastelQueimado
16    https://www.youtube.com/channel/UCWcgSOvDjLFT8...
17    https://www.youtube.com/channel/UCTTosQy4ZuydL...
18    https://www.youtube.com/channel/UCtrA3Kihzvq4x...
19    https://www.youtube.com/channel/UCoCDfYmZm5pLC...
Name: Ch_URL, dtype: object",COMIDA MINEIRA NO FOGÃO A LENHA!!!,https://www.youtube.com/watch?v=PiAoCoUebz4,há 6 meses,6 700,3 3700
pastel,Aninha Santos Pastel,"0              https://www.youtube.com/c/WildPastelHair
1      https://www.youtube.com/c/AlessandraSantosPastel
2     https://www.youtube.com/channel/UC7cKyn4tjG9r9...
3     https://www.youtube.com/channel/UCvcNPirUKOZ7i...
4     https://www.youtube.com/channel/UCvU3Lrgb4cPOs...
5     https://www.youtube.com/channel/UCSF6vx__8xdAn...
6     https://www.youtube.com/channel/UC_-alS-Ajawmt...
7     https://www.youtube.com/channel/UCIjMZ-yxmkQNw...
8     https://www.youtube.com/c/PastelEscritorPastelino
9     https://www.youtube.com/channel/UCENUZbRr1cWOJ...
10    https://www.youtube.com/channel/UC-fqQWMBml3TR...
11    https://www.youtube.com/channel/UCMI9sMvRFZpPu...
12    https://www.youtube.com/channel/UCTLvXWIDDkEmX...
13         https://www.youtube.com/c/VidadeCaminhoneiro
14    https://www.youtube.com/channel/UCH3y9O7pO-YYf...
15             https://www.youtube.com/c/PastelQueimado
16    https://www.youtube.com/channel/UCWcgSOvDjLFT8...
17    https://www.youtube.com/channel/UCTTosQy4ZuydL...
18    https://www.youtube.com/channel/UCtrA3Kihzvq4x...
19    https://www.youtube.com/channel/UCoCDfYmZm5pLC...
Name: Ch_URL, dtype: object",INCRÍVEL BOLO GELADO DE CHOCOLATE!!! COMEMORANDO OS 200 INSCRITOS!!!,https://www.youtube.com/watch?v=dE1pQnOEgvw,há 7 meses,5 400,3 3700
pastel,Aninha Santos Pastel,"0              https://www.youtube.com/c/WildPastelHair
1      https://www.youtube.com/c/AlessandraSantosPastel
2     https://www.youtube.com/channel/UC7cKyn4tjG9r9...
3     https://www.youtube.com/channel/UCvcNPirUKOZ7i...
4     https://www.youtube.com/channel/UCvU3Lrgb4cPOs...
5     https://www.youtube.com/channel/UCSF6vx__8xdAn...
6     https://www.youtube.com/channel/UC_-alS-Ajawmt...
7     https://www.youtube.com/channel/UCIjMZ-yxmkQNw...
8     https://www.youtube.com/c/PastelEscritorPastelino
9     https://www.youtube.com/channel/UCENUZbRr1cWOJ...
10    https://www.youtube.com/channel/UC-fqQWMBml3TR...
11    https://www.youtube.com/channel/UCMI9sMvRFZpPu...
12    https://www.youtube.com/channel/UCTLvXWIDDkEmX...
13         https://www.youtube.com/c/VidadeCaminhoneiro
14    https://www.youtube.com/channel/UCH3y9O7pO-YYf...
15             https://www.youtube.com/c/PastelQueimado
16    https://www.youtube.com/channel/UCWcgSOvDjLFT8...
17    https://www.youtube.com/channel/UCTTosQy4ZuydL...
18    https://www.youtube.com/channel/UCtrA3Kihzvq4x...
19    https://www.youtube.com/channel/UCoCDfYmZm5pLC...
Name: Ch_URL, dtype: object",PUDIM COM FRUTAS QUE NÃO VAI AO FORNO,https://www.youtube.com/watch?v=gmVbVEfKAHM,há 7 meses,4 900,3 3700
pastel,Aninha Santos Pastel,"0              https://www.youtube.com/c/WildPastelHair
1      https://www.youtube.com/c/AlessandraSantosPastel
2     https://www.youtube.com/channel/UC7cKyn4tjG9r9...
3     https://www.youtube.com/channel/UCvcNPirUKOZ7i...
4     https://www.youtube.com/channel/UCvU3Lrgb4cPOs...
5     https://www.youtube.com/channel/UCSF6vx__8xdAn...
6     https://www.youtube.com/channel/UC_-alS-Ajawmt...
7     https://www.youtube.com/channel/UCIjMZ-yxmkQNw...
8     https://www.youtube.com/c/PastelEscritorPastelino
9     https://www.youtube.com/channel/UCENUZbRr1cWOJ...
10    https://www.youtube.com/channel/UC-fqQWMBml3TR...
11    https://www.youtube.com/channel/UCMI9sMvRFZpPu...
12    https://www.youtube.com/channel/UCTLvXWIDDkEmX...
13         https://www.youtube.com/c/VidadeCaminhoneiro
14    https://www.youtube.com/channel/UCH3y9O7pO-YYf...
15             https://www.youtube.com/c/PastelQueimado
16    https://www.youtube.com/channel/UCWcgSOvDjLFT8...
17    https://www.youtube.com/channel/UCTTosQy4ZuydL...
18    https://www.youtube.com/channel/UCtrA3Kihzvq4x...
19    https://www.youtube.com/channel/UCoCDfYmZm5pLC...
Name: Ch_URL, dtype: object",PREPARANDO MEU ALMOÇO CASEIRO!!!,https://www.youtube.com/watch?v=4dTmu7XRXAo,há 5 meses,4 900,3 3700
pastel,Aninha Santos Pastel,"0              https://www.youtube.com/c/WildPastelHair
1      https://www.youtube.com/c/AlessandraSantosPastel
2     https://www.youtube.com/channel/UC7cKyn4tjG9r9...
3     https://www.youtube.com/channel/UCvcNPirUKOZ7i...
4     https://www.youtube.com/channel/UCvU3Lrgb4cPOs...
5     https://www.youtube.com/channel/UCSF6vx__8xdAn...
6     https://www.youtube.com/channel/UC_-alS-Ajawmt...
7     https://www.youtube.com/channel/UCIjMZ-yxmkQNw...
8     https://www.youtube.com/c/PastelEscritorPastelino
9     https://www.youtube.com/channel/UCENUZbRr1cWOJ...
10    https://www.youtube.com/channel/UC-fqQWMBml3TR...
11    https://www.youtube.com/channel/UCMI9sMvRFZpPu...
12    https://www.youtube.com/channel/UCTLvXWIDDkEmX...
13         https://www.youtube.com/c/VidadeCaminhoneiro
14    https://www.youtube.com/channel/UCH3y9O7pO-YYf...
15             https://www.youtube.com/c/PastelQueimado
16    https://www.youtube.com/channel/UCWcgSOvDjLFT8...
17    https://www.youtube.com/channel/UCTTosQy4ZuydL...
18    https://www.youtube.com/channel/UCtrA3Kihzvq4x...
19    https://www.youtube.com/channel/UCoCDfYmZm5pLC...
Name: Ch_URL, dtype: object",DELICIOSO PEIXE ENSOPADO COM CAMARÃO E LULA!!!,https://www.youtube.com/watch?v=rFTie5LhuvY,há 7 meses,4 800,3 3700
pastel,Aninha Santos Pastel,"0              https://www.youtube.com/c/WildPastelHair
1      https://www.youtube.com/c/AlessandraSantosPastel
2     https://www.youtube.com/channel/UC7cKyn4tjG9r9...
3     https://www.youtube.com/channel/UCvcNPirUKOZ7i...
4     https://www.youtube.com/channel/UCvU3Lrgb4cPOs...
5     https://www.youtube.com/channel/UCSF6vx__8xdAn...
6     https://www.youtube.com/channel/UC_-alS-Ajawmt...
7     https://www.youtube.com/channel/UCIjMZ-yxmkQNw...
8     https://www.youtube.com/c/PastelEscritorPastelino
9     https://www.youtube.com/channel/UCENUZbRr1cWOJ...
10    https://www.youtube.com/channel/UC-fqQWMBml3TR...
11    https://www.youtube.com/channel/UCMI9sMvRFZpPu...
12    https://www.youtube.com/channel/UCTLvXWIDDkEmX...
13         https://www.youtube.com/c/VidadeCaminhoneiro
14    https://www.youtube.com/channel/UCH3y9O7pO-YYf...
15             https://www.youtube.com/c/PastelQueimado
16    https://www.youtube.com/channel/UCWcgSOvDjLFT8...
17    https://www.youtube.com/channel/UCTTosQy4ZuydL...
18    https://www.youtube.com/channel/UCtrA3Kihzvq4x...
19    https://www.youtube.com/channel/UCoCDfYmZm5pLC...
Name: Ch_URL, dtype: object",ALMOÇO COM ISCA DE FRANGO EMPANADO DE UM JEITO DIFERENTE!!,https://www.youtube.com/watch?v=ps7Pv5mvUZU,há 6 meses,3 900,3 3700
pastel,Aninha Santos Pastel,"0              https://www.youtube.com/c/WildPastelHair
1      https://www.youtube.com/c/AlessandraSantosPastel
2     https://www.youtube.com/channel/UC7cKyn4tjG9r9...
3     https://www.youtube.com/channel/UCvcNPirUKOZ7i...
4     https://www.youtube.com/channel/UCvU3Lrgb4cPOs...
5     https://www.youtube.com/channel/UCSF6vx__8xdAn...
6     https://www.youtube.com/channel/UC_-alS-Ajawmt...
7     https://www.youtube.com/channel/UCIjMZ-yxmkQNw...
8     https://www.youtube.com/c/PastelEscritorPastelino
9     https://www.youtube.com/channel/UCENUZbRr1cWOJ...
10    https://www.youtube.com/channel/UC-fqQWMBml3TR...
11    https://www.youtube.com/channel/UCMI9sMvRFZpPu...
12    https://www.youtube.com/channel/UCTLvXWIDDkEmX...
13         https://www.youtube.com/c/VidadeCaminhoneiro
14    https://www.youtube.com/channel/UCH3y9O7pO-YYf...
15             https://www.youtube.com/c/PastelQueimado
16    https://www.youtube.com/channel/UCWcgSOvDjLFT8...
17    https://www.youtube.com/channel/UCTTosQy4ZuydL...
18    https://www.youtube.com/channel/UCtrA3Kihzvq4x...
19    https://www.youtube.com/channel/UCoCDfYmZm5pLC...
Name: Ch_URL, dtype: object",DELÍCIA DE SALSICHA QUE VAI AO FORNO!!!,https://www.youtube.com/watch?v=tUiYHxTb5rE,há 6 meses,3 400,3 3700
pastel,Aninha Santos Pastel,"0              https://www.youtube.com/c/WildPastelHair
1      https://www.youtube.com/c/AlessandraSantosPastel
2     https://www.youtube.com/channel/UC7cKyn4tjG9r9...
3     https://www.youtube.com/channel/UCvcNPirUKOZ7i...
4     https://www.youtube.com/channel/UCvU3Lrgb4cPOs...
5     https://www.youtube.com/channel/UCSF6vx__8xdAn...
6     https://www.youtube.com/channel/UC_-alS-Ajawmt...
7     https://www.youtube.com/channel/UCIjMZ-yxmkQNw...
8     https://www.youtube.com/c/PastelEscritorPastelino
9     https://www.youtube.com/channel/UCENUZbRr1cWOJ...
10    https://www.youtube.com/channel/UC-fqQWMBml3TR...
11    https://www.youtube.com/channel/UCMI9sMvRFZpPu...
12    https://www.youtube.com/channel/UCTLvXWIDDkEmX...
13         https://www.youtube.com/c/VidadeCaminhoneiro
14    https://www.youtube.com/channel/UCH3y9O7pO-YYf...
15             https://www.youtube.com/c/PastelQueimado
16    https://www.youtube.com/channel/UCWcgSOvDjLFT8...
17    https://www.youtube.com/channel/UCTTosQy4ZuydL...
18    https://www.youtube.com/channel/UCtrA3Kihzvq4x...
19    https://www.youtube.com/channel/UCoCDfYmZm5pLC...
Name: Ch_URL, dtype: object",ARROZ DOCE CREMOSO SUPER FÁCIL E RÁPIDO DE FAZER!!!,https://www.youtube.com/watch?v=OTFon7MJB5g,há 6 meses,2 800,3 3700
