Category,Channel,Ch_URL,Titles,Video_URL,Date,View_2021-12-18,Subs_2021-12-18
pastel,Canal Pastel,"0              https://www.youtube.com/c/WildPastelHair
1      https://www.youtube.com/c/AlessandraSantosPastel
2     https://www.youtube.com/channel/UC7cKyn4tjG9r9...
3     https://www.youtube.com/channel/UCvcNPirUKOZ7i...
4     https://www.youtube.com/channel/UCvU3Lrgb4cPOs...
5     https://www.youtube.com/channel/UCSF6vx__8xdAn...
6     https://www.youtube.com/channel/UC_-alS-Ajawmt...
7     https://www.youtube.com/channel/UCIjMZ-yxmkQNw...
8     https://www.youtube.com/c/PastelEscritorPastelino
9     https://www.youtube.com/channel/UCENUZbRr1cWOJ...
10    https://www.youtube.com/channel/UC-fqQWMBml3TR...
11    https://www.youtube.com/channel/UCMI9sMvRFZpPu...
12    https://www.youtube.com/channel/UCTLvXWIDDkEmX...
13         https://www.youtube.com/c/VidadeCaminhoneiro
14    https://www.youtube.com/channel/UCH3y9O7pO-YYf...
15             https://www.youtube.com/c/PastelQueimado
16    https://www.youtube.com/channel/UCWcgSOvDjLFT8...
17    https://www.youtube.com/channel/UCTTosQy4ZuydL...
18    https://www.youtube.com/channel/UCtrA3Kihzvq4x...
19    https://www.youtube.com/channel/UCoCDfYmZm5pLC...
Name: Ch_URL, dtype: object",O DENTE DE OURO DO SAPO DE PRATA '-' (PIKUNIKU),https://www.youtube.com/watch?v=mXZ3ceUKdSs,há 11 meses,226,68
pastel,Canal Pastel,"0              https://www.youtube.com/c/WildPastelHair
1      https://www.youtube.com/c/AlessandraSantosPastel
2     https://www.youtube.com/channel/UC7cKyn4tjG9r9...
3     https://www.youtube.com/channel/UCvcNPirUKOZ7i...
4     https://www.youtube.com/channel/UCvU3Lrgb4cPOs...
5     https://www.youtube.com/channel/UCSF6vx__8xdAn...
6     https://www.youtube.com/channel/UC_-alS-Ajawmt...
7     https://www.youtube.com/channel/UCIjMZ-yxmkQNw...
8     https://www.youtube.com/c/PastelEscritorPastelino
9     https://www.youtube.com/channel/UCENUZbRr1cWOJ...
10    https://www.youtube.com/channel/UC-fqQWMBml3TR...
11    https://www.youtube.com/channel/UCMI9sMvRFZpPu...
12    https://www.youtube.com/channel/UCTLvXWIDDkEmX...
13         https://www.youtube.com/c/VidadeCaminhoneiro
14    https://www.youtube.com/channel/UCH3y9O7pO-YYf...
15             https://www.youtube.com/c/PastelQueimado
16    https://www.youtube.com/channel/UCWcgSOvDjLFT8...
17    https://www.youtube.com/channel/UCTTosQy4ZuydL...
18    https://www.youtube.com/channel/UCtrA3Kihzvq4x...
19    https://www.youtube.com/channel/UCoCDfYmZm5pLC...
Name: Ch_URL, dtype: object",30 INSCRITOS !!! MUITO OBRIGADO,https://www.youtube.com/watch?v=rZHUE2Qr1Lo,há 11 meses,84,68
pastel,Canal Pastel,"0              https://www.youtube.com/c/WildPastelHair
1      https://www.youtube.com/c/AlessandraSantosPastel
2     https://www.youtube.com/channel/UC7cKyn4tjG9r9...
3     https://www.youtube.com/channel/UCvcNPirUKOZ7i...
4     https://www.youtube.com/channel/UCvU3Lrgb4cPOs...
5     https://www.youtube.com/channel/UCSF6vx__8xdAn...
6     https://www.youtube.com/channel/UC_-alS-Ajawmt...
7     https://www.youtube.com/channel/UCIjMZ-yxmkQNw...
8     https://www.youtube.com/c/PastelEscritorPastelino
9     https://www.youtube.com/channel/UCENUZbRr1cWOJ...
10    https://www.youtube.com/channel/UC-fqQWMBml3TR...
11    https://www.youtube.com/channel/UCMI9sMvRFZpPu...
12    https://www.youtube.com/channel/UCTLvXWIDDkEmX...
13         https://www.youtube.com/c/VidadeCaminhoneiro
14    https://www.youtube.com/channel/UCH3y9O7pO-YYf...
15             https://www.youtube.com/c/PastelQueimado
16    https://www.youtube.com/channel/UCWcgSOvDjLFT8...
17    https://www.youtube.com/channel/UCTTosQy4ZuydL...
18    https://www.youtube.com/channel/UCtrA3Kihzvq4x...
19    https://www.youtube.com/channel/UCoCDfYmZm5pLC...
Name: Ch_URL, dtype: object",EU QUERO ENTRAR NA BOATE MAIS ESTILOSA !!!(PIKUNIKU),https://www.youtube.com/watch?v=ni5C70RQ19s,há 11 meses,70,68
pastel,Canal Pastel,"0              https://www.youtube.com/c/WildPastelHair
1      https://www.youtube.com/c/AlessandraSantosPastel
2     https://www.youtube.com/channel/UC7cKyn4tjG9r9...
3     https://www.youtube.com/channel/UCvcNPirUKOZ7i...
4     https://www.youtube.com/channel/UCvU3Lrgb4cPOs...
5     https://www.youtube.com/channel/UCSF6vx__8xdAn...
6     https://www.youtube.com/channel/UC_-alS-Ajawmt...
7     https://www.youtube.com/channel/UCIjMZ-yxmkQNw...
8     https://www.youtube.com/c/PastelEscritorPastelino
9     https://www.youtube.com/channel/UCENUZbRr1cWOJ...
10    https://www.youtube.com/channel/UC-fqQWMBml3TR...
11    https://www.youtube.com/channel/UCMI9sMvRFZpPu...
12    https://www.youtube.com/channel/UCTLvXWIDDkEmX...
13         https://www.youtube.com/c/VidadeCaminhoneiro
14    https://www.youtube.com/channel/UCH3y9O7pO-YYf...
15             https://www.youtube.com/c/PastelQueimado
16    https://www.youtube.com/channel/UCWcgSOvDjLFT8...
17    https://www.youtube.com/channel/UCTTosQy4ZuydL...
18    https://www.youtube.com/channel/UCtrA3Kihzvq4x...
19    https://www.youtube.com/channel/UCoCDfYmZm5pLC...
Name: Ch_URL, dtype: object",NOVA INTRO DE FINAL DE VIDEO DO CANAL !!!!,https://www.youtube.com/watch?v=pMnN6dj3hb0,há 1 ano,51,68
pastel,Canal Pastel,"0              https://www.youtube.com/c/WildPastelHair
1      https://www.youtube.com/c/AlessandraSantosPastel
2     https://www.youtube.com/channel/UC7cKyn4tjG9r9...
3     https://www.youtube.com/channel/UCvcNPirUKOZ7i...
4     https://www.youtube.com/channel/UCvU3Lrgb4cPOs...
5     https://www.youtube.com/channel/UCSF6vx__8xdAn...
6     https://www.youtube.com/channel/UC_-alS-Ajawmt...
7     https://www.youtube.com/channel/UCIjMZ-yxmkQNw...
8     https://www.youtube.com/c/PastelEscritorPastelino
9     https://www.youtube.com/channel/UCENUZbRr1cWOJ...
10    https://www.youtube.com/channel/UC-fqQWMBml3TR...
11    https://www.youtube.com/channel/UCMI9sMvRFZpPu...
12    https://www.youtube.com/channel/UCTLvXWIDDkEmX...
13         https://www.youtube.com/c/VidadeCaminhoneiro
14    https://www.youtube.com/channel/UCH3y9O7pO-YYf...
15             https://www.youtube.com/c/PastelQueimado
16    https://www.youtube.com/channel/UCWcgSOvDjLFT8...
17    https://www.youtube.com/channel/UCTTosQy4ZuydL...
18    https://www.youtube.com/channel/UCtrA3Kihzvq4x...
19    https://www.youtube.com/channel/UCoCDfYmZm5pLC...
Name: Ch_URL, dtype: object",survival and dark boris kkkkkk,https://www.youtube.com/watch?v=OnmTmjqIk50,há 1 mês,50,68
pastel,Canal Pastel,"0              https://www.youtube.com/c/WildPastelHair
1      https://www.youtube.com/c/AlessandraSantosPastel
2     https://www.youtube.com/channel/UC7cKyn4tjG9r9...
3     https://www.youtube.com/channel/UCvcNPirUKOZ7i...
4     https://www.youtube.com/channel/UCvU3Lrgb4cPOs...
5     https://www.youtube.com/channel/UCSF6vx__8xdAn...
6     https://www.youtube.com/channel/UC_-alS-Ajawmt...
7     https://www.youtube.com/channel/UCIjMZ-yxmkQNw...
8     https://www.youtube.com/c/PastelEscritorPastelino
9     https://www.youtube.com/channel/UCENUZbRr1cWOJ...
10    https://www.youtube.com/channel/UC-fqQWMBml3TR...
11    https://www.youtube.com/channel/UCMI9sMvRFZpPu...
12    https://www.youtube.com/channel/UCTLvXWIDDkEmX...
13         https://www.youtube.com/c/VidadeCaminhoneiro
14    https://www.youtube.com/channel/UCH3y9O7pO-YYf...
15             https://www.youtube.com/c/PastelQueimado
16    https://www.youtube.com/channel/UCWcgSOvDjLFT8...
17    https://www.youtube.com/channel/UCTTosQy4ZuydL...
18    https://www.youtube.com/channel/UCtrA3Kihzvq4x...
19    https://www.youtube.com/channel/UCoCDfYmZm5pLC...
Name: Ch_URL, dtype: object",ARSENAL NO ROBLOX !!!!???,https://www.youtube.com/watch?v=R_UXexMN308,há 1 ano,48,68
pastel,Canal Pastel,"0              https://www.youtube.com/c/WildPastelHair
1      https://www.youtube.com/c/AlessandraSantosPastel
2     https://www.youtube.com/channel/UC7cKyn4tjG9r9...
3     https://www.youtube.com/channel/UCvcNPirUKOZ7i...
4     https://www.youtube.com/channel/UCvU3Lrgb4cPOs...
5     https://www.youtube.com/channel/UCSF6vx__8xdAn...
6     https://www.youtube.com/channel/UC_-alS-Ajawmt...
7     https://www.youtube.com/channel/UCIjMZ-yxmkQNw...
8     https://www.youtube.com/c/PastelEscritorPastelino
9     https://www.youtube.com/channel/UCENUZbRr1cWOJ...
10    https://www.youtube.com/channel/UC-fqQWMBml3TR...
11    https://www.youtube.com/channel/UCMI9sMvRFZpPu...
12    https://www.youtube.com/channel/UCTLvXWIDDkEmX...
13         https://www.youtube.com/c/VidadeCaminhoneiro
14    https://www.youtube.com/channel/UCH3y9O7pO-YYf...
15             https://www.youtube.com/c/PastelQueimado
16    https://www.youtube.com/channel/UCWcgSOvDjLFT8...
17    https://www.youtube.com/channel/UCTTosQy4ZuydL...
18    https://www.youtube.com/channel/UCtrA3Kihzvq4x...
19    https://www.youtube.com/channel/UCoCDfYmZm5pLC...
Name: Ch_URL, dtype: object",NOVA INTRO DO CANAL !!!!!,https://www.youtube.com/watch?v=0uZJ-7tkGq0,há 1 ano,42,68
pastel,Canal Pastel,"0              https://www.youtube.com/c/WildPastelHair
1      https://www.youtube.com/c/AlessandraSantosPastel
2     https://www.youtube.com/channel/UC7cKyn4tjG9r9...
3     https://www.youtube.com/channel/UCvcNPirUKOZ7i...
4     https://www.youtube.com/channel/UCvU3Lrgb4cPOs...
5     https://www.youtube.com/channel/UCSF6vx__8xdAn...
6     https://www.youtube.com/channel/UC_-alS-Ajawmt...
7     https://www.youtube.com/channel/UCIjMZ-yxmkQNw...
8     https://www.youtube.com/c/PastelEscritorPastelino
9     https://www.youtube.com/channel/UCENUZbRr1cWOJ...
10    https://www.youtube.com/channel/UC-fqQWMBml3TR...
11    https://www.youtube.com/channel/UCMI9sMvRFZpPu...
12    https://www.youtube.com/channel/UCTLvXWIDDkEmX...
13         https://www.youtube.com/c/VidadeCaminhoneiro
14    https://www.youtube.com/channel/UCH3y9O7pO-YYf...
15             https://www.youtube.com/c/PastelQueimado
16    https://www.youtube.com/channel/UCWcgSOvDjLFT8...
17    https://www.youtube.com/channel/UCTTosQy4ZuydL...
18    https://www.youtube.com/channel/UCtrA3Kihzvq4x...
19    https://www.youtube.com/channel/UCoCDfYmZm5pLC...
Name: Ch_URL, dtype: object",Hypixel...,https://www.youtube.com/watch?v=9qpwz2wfTCc,há 1 mês,44,68
pastel,Canal Pastel,"0              https://www.youtube.com/c/WildPastelHair
1      https://www.youtube.com/c/AlessandraSantosPastel
2     https://www.youtube.com/channel/UC7cKyn4tjG9r9...
3     https://www.youtube.com/channel/UCvcNPirUKOZ7i...
4     https://www.youtube.com/channel/UCvU3Lrgb4cPOs...
5     https://www.youtube.com/channel/UCSF6vx__8xdAn...
6     https://www.youtube.com/channel/UC_-alS-Ajawmt...
7     https://www.youtube.com/channel/UCIjMZ-yxmkQNw...
8     https://www.youtube.com/c/PastelEscritorPastelino
9     https://www.youtube.com/channel/UCENUZbRr1cWOJ...
10    https://www.youtube.com/channel/UC-fqQWMBml3TR...
11    https://www.youtube.com/channel/UCMI9sMvRFZpPu...
12    https://www.youtube.com/channel/UCTLvXWIDDkEmX...
13         https://www.youtube.com/c/VidadeCaminhoneiro
14    https://www.youtube.com/channel/UCH3y9O7pO-YYf...
15             https://www.youtube.com/c/PastelQueimado
16    https://www.youtube.com/channel/UCWcgSOvDjLFT8...
17    https://www.youtube.com/channel/UCTTosQy4ZuydL...
18    https://www.youtube.com/channel/UCtrA3Kihzvq4x...
19    https://www.youtube.com/channel/UCoCDfYmZm5pLC...
Name: Ch_URL, dtype: object",MELECA AZUL ???????!!!!!!!!!!!!!!! (CUPHEAD),https://www.youtube.com/watch?v=jQSGL_yrGRg,há 1 ano,40,68
pastel,Canal Pastel,"0              https://www.youtube.com/c/WildPastelHair
1      https://www.youtube.com/c/AlessandraSantosPastel
2     https://www.youtube.com/channel/UC7cKyn4tjG9r9...
3     https://www.youtube.com/channel/UCvcNPirUKOZ7i...
4     https://www.youtube.com/channel/UCvU3Lrgb4cPOs...
5     https://www.youtube.com/channel/UCSF6vx__8xdAn...
6     https://www.youtube.com/channel/UC_-alS-Ajawmt...
7     https://www.youtube.com/channel/UCIjMZ-yxmkQNw...
8     https://www.youtube.com/c/PastelEscritorPastelino
9     https://www.youtube.com/channel/UCENUZbRr1cWOJ...
10    https://www.youtube.com/channel/UC-fqQWMBml3TR...
11    https://www.youtube.com/channel/UCMI9sMvRFZpPu...
12    https://www.youtube.com/channel/UCTLvXWIDDkEmX...
13         https://www.youtube.com/c/VidadeCaminhoneiro
14    https://www.youtube.com/channel/UCH3y9O7pO-YYf...
15             https://www.youtube.com/c/PastelQueimado
16    https://www.youtube.com/channel/UCWcgSOvDjLFT8...
17    https://www.youtube.com/channel/UCTTosQy4ZuydL...
18    https://www.youtube.com/channel/UCtrA3Kihzvq4x...
19    https://www.youtube.com/channel/UCoCDfYmZm5pLC...
Name: Ch_URL, dtype: object",(#1 VOLTA DAS ANTIGAS ) JOGANDO TETRIS COM UM PRO PLAYER DE FREE FIRE ... KKKKKKKKKK,https://www.youtube.com/watch?v=IgAybU64S60,há 2 meses,43,68
