Category,Channel,Ch_URL,Titles,Video_URL,Date,View_2022-01-27,Subs_2022-01-27
pastel,Pastel Queimado,"0              https://www.youtube.com/c/WildPastelHair
1     https://www.youtube.com/channel/UCrIIxhcqT6bEx...
2          https://www.youtube.com/c/PrettyPastelPlease
3     https://www.youtube.com/channel/UCSF6vx__8xdAn...
4              https://www.youtube.com/c/PastelQueimado
5      https://www.youtube.com/c/AlessandraSantosPastel
6                    https://www.youtube.com/c/pastelBR
7     https://www.youtube.com/channel/UCNaqXQLhcLUjf...
8     https://www.youtube.com/channel/UCWbq9_8fq3Fqi...
9     https://www.youtube.com/channel/UCZVeE4pxO9Aqv...
10    https://www.youtube.com/channel/UCDaIWaaiOOmTW...
11    https://www.youtube.com/channel/UC8zl8cNK71tTS...
12    https://www.youtube.com/channel/UCH3y9O7pO-YYf...
13       https://www.youtube.com/c/HelloPastelBlossomTV
14    https://www.youtube.com/channel/UCoCDfYmZm5pLC...
15    https://www.youtube.com/channel/UC88YYy0Bsk9Vr...
16    https://www.youtube.com/channel/UCIjMZ-yxmkQNw...
17    https://www.youtube.com/channel/UCvU3Lrgb4cPOs...
18    https://www.youtube.com/channel/UC7wq2U4FF2NyZ...
19             https://www.youtube.com/user/clarencewee
Name: Ch_URL, dtype: object",ESTOU ARREPENDIDO - DELL Inspiron 7560-A30S (Serie 7000),https://www.youtube.com/watch?v=A5uFsdX7Izo,4 years ago,146K views,4.6K subscribers
pastel,Pastel Queimado,"0              https://www.youtube.com/c/WildPastelHair
1     https://www.youtube.com/channel/UCrIIxhcqT6bEx...
2          https://www.youtube.com/c/PrettyPastelPlease
3     https://www.youtube.com/channel/UCSF6vx__8xdAn...
4              https://www.youtube.com/c/PastelQueimado
5      https://www.youtube.com/c/AlessandraSantosPastel
6                    https://www.youtube.com/c/pastelBR
7     https://www.youtube.com/channel/UCNaqXQLhcLUjf...
8     https://www.youtube.com/channel/UCWbq9_8fq3Fqi...
9     https://www.youtube.com/channel/UCZVeE4pxO9Aqv...
10    https://www.youtube.com/channel/UCDaIWaaiOOmTW...
11    https://www.youtube.com/channel/UC8zl8cNK71tTS...
12    https://www.youtube.com/channel/UCH3y9O7pO-YYf...
13       https://www.youtube.com/c/HelloPastelBlossomTV
14    https://www.youtube.com/channel/UCoCDfYmZm5pLC...
15    https://www.youtube.com/channel/UC88YYy0Bsk9Vr...
16    https://www.youtube.com/channel/UCIjMZ-yxmkQNw...
17    https://www.youtube.com/channel/UCvU3Lrgb4cPOs...
18    https://www.youtube.com/channel/UC7wq2U4FF2NyZ...
19             https://www.youtube.com/user/clarencewee
Name: Ch_URL, dtype: object",UNEB | Tenda dos Milagres ( Jorge Amado ),https://www.youtube.com/watch?v=_EYJ1j2_Z1E,4 years ago,43K views,4.6K subscribers
pastel,Pastel Queimado,"0              https://www.youtube.com/c/WildPastelHair
1     https://www.youtube.com/channel/UCrIIxhcqT6bEx...
2          https://www.youtube.com/c/PrettyPastelPlease
3     https://www.youtube.com/channel/UCSF6vx__8xdAn...
4              https://www.youtube.com/c/PastelQueimado
5      https://www.youtube.com/c/AlessandraSantosPastel
6                    https://www.youtube.com/c/pastelBR
7     https://www.youtube.com/channel/UCNaqXQLhcLUjf...
8     https://www.youtube.com/channel/UCWbq9_8fq3Fqi...
9     https://www.youtube.com/channel/UCZVeE4pxO9Aqv...
10    https://www.youtube.com/channel/UCDaIWaaiOOmTW...
11    https://www.youtube.com/channel/UC8zl8cNK71tTS...
12    https://www.youtube.com/channel/UCH3y9O7pO-YYf...
13       https://www.youtube.com/c/HelloPastelBlossomTV
14    https://www.youtube.com/channel/UCoCDfYmZm5pLC...
15    https://www.youtube.com/channel/UC88YYy0Bsk9Vr...
16    https://www.youtube.com/channel/UCIjMZ-yxmkQNw...
17    https://www.youtube.com/channel/UCvU3Lrgb4cPOs...
18    https://www.youtube.com/channel/UC7wq2U4FF2NyZ...
19             https://www.youtube.com/user/clarencewee
Name: Ch_URL, dtype: object",UNEB | A Morte e a Morte de Quincas Berro D'Água ( Jorge Amado ),https://www.youtube.com/watch?v=OVyXLLmiJqc,5 years ago,36K views,4.6K subscribers
pastel,Pastel Queimado,"0              https://www.youtube.com/c/WildPastelHair
1     https://www.youtube.com/channel/UCrIIxhcqT6bEx...
2          https://www.youtube.com/c/PrettyPastelPlease
3     https://www.youtube.com/channel/UCSF6vx__8xdAn...
4              https://www.youtube.com/c/PastelQueimado
5      https://www.youtube.com/c/AlessandraSantosPastel
6                    https://www.youtube.com/c/pastelBR
7     https://www.youtube.com/channel/UCNaqXQLhcLUjf...
8     https://www.youtube.com/channel/UCWbq9_8fq3Fqi...
9     https://www.youtube.com/channel/UCZVeE4pxO9Aqv...
10    https://www.youtube.com/channel/UCDaIWaaiOOmTW...
11    https://www.youtube.com/channel/UC8zl8cNK71tTS...
12    https://www.youtube.com/channel/UCH3y9O7pO-YYf...
13       https://www.youtube.com/c/HelloPastelBlossomTV
14    https://www.youtube.com/channel/UCoCDfYmZm5pLC...
15    https://www.youtube.com/channel/UC88YYy0Bsk9Vr...
16    https://www.youtube.com/channel/UCIjMZ-yxmkQNw...
17    https://www.youtube.com/channel/UCvU3Lrgb4cPOs...
18    https://www.youtube.com/channel/UC7wq2U4FF2NyZ...
19             https://www.youtube.com/user/clarencewee
Name: Ch_URL, dtype: object",UNEB | O Largo da Palma ( Adonias Filho ),https://www.youtube.com/watch?v=XaMYWoFZ5qE,4 years ago,30K views,4.6K subscribers
pastel,Pastel Queimado,"0              https://www.youtube.com/c/WildPastelHair
1     https://www.youtube.com/channel/UCrIIxhcqT6bEx...
2          https://www.youtube.com/c/PrettyPastelPlease
3     https://www.youtube.com/channel/UCSF6vx__8xdAn...
4              https://www.youtube.com/c/PastelQueimado
5      https://www.youtube.com/c/AlessandraSantosPastel
6                    https://www.youtube.com/c/pastelBR
7     https://www.youtube.com/channel/UCNaqXQLhcLUjf...
8     https://www.youtube.com/channel/UCWbq9_8fq3Fqi...
9     https://www.youtube.com/channel/UCZVeE4pxO9Aqv...
10    https://www.youtube.com/channel/UCDaIWaaiOOmTW...
11    https://www.youtube.com/channel/UC8zl8cNK71tTS...
12    https://www.youtube.com/channel/UCH3y9O7pO-YYf...
13       https://www.youtube.com/c/HelloPastelBlossomTV
14    https://www.youtube.com/channel/UCoCDfYmZm5pLC...
15    https://www.youtube.com/channel/UC88YYy0Bsk9Vr...
16    https://www.youtube.com/channel/UCIjMZ-yxmkQNw...
17    https://www.youtube.com/channel/UCvU3Lrgb4cPOs...
18    https://www.youtube.com/channel/UC7wq2U4FF2NyZ...
19             https://www.youtube.com/user/clarencewee
Name: Ch_URL, dtype: object",UNEB | Essa Terra ( Antônio Torres ),https://www.youtube.com/watch?v=ID0aDQ0ZGD8,4 years ago,26K views,4.6K subscribers
pastel,Pastel Queimado,"0              https://www.youtube.com/c/WildPastelHair
1     https://www.youtube.com/channel/UCrIIxhcqT6bEx...
2          https://www.youtube.com/c/PrettyPastelPlease
3     https://www.youtube.com/channel/UCSF6vx__8xdAn...
4              https://www.youtube.com/c/PastelQueimado
5      https://www.youtube.com/c/AlessandraSantosPastel
6                    https://www.youtube.com/c/pastelBR
7     https://www.youtube.com/channel/UCNaqXQLhcLUjf...
8     https://www.youtube.com/channel/UCWbq9_8fq3Fqi...
9     https://www.youtube.com/channel/UCZVeE4pxO9Aqv...
10    https://www.youtube.com/channel/UCDaIWaaiOOmTW...
11    https://www.youtube.com/channel/UC8zl8cNK71tTS...
12    https://www.youtube.com/channel/UCH3y9O7pO-YYf...
13       https://www.youtube.com/c/HelloPastelBlossomTV
14    https://www.youtube.com/channel/UCoCDfYmZm5pLC...
15    https://www.youtube.com/channel/UC88YYy0Bsk9Vr...
16    https://www.youtube.com/channel/UCIjMZ-yxmkQNw...
17    https://www.youtube.com/channel/UCvU3Lrgb4cPOs...
18    https://www.youtube.com/channel/UC7wq2U4FF2NyZ...
19             https://www.youtube.com/user/clarencewee
Name: Ch_URL, dtype: object",UNEB | Dicas para o Vestibular,https://www.youtube.com/watch?v=O7Jf_mAsm3I,4 years ago,18K views,4.6K subscribers
pastel,Pastel Queimado,"0              https://www.youtube.com/c/WildPastelHair
1     https://www.youtube.com/channel/UCrIIxhcqT6bEx...
2          https://www.youtube.com/c/PrettyPastelPlease
3     https://www.youtube.com/channel/UCSF6vx__8xdAn...
4              https://www.youtube.com/c/PastelQueimado
5      https://www.youtube.com/c/AlessandraSantosPastel
6                    https://www.youtube.com/c/pastelBR
7     https://www.youtube.com/channel/UCNaqXQLhcLUjf...
8     https://www.youtube.com/channel/UCWbq9_8fq3Fqi...
9     https://www.youtube.com/channel/UCZVeE4pxO9Aqv...
10    https://www.youtube.com/channel/UCDaIWaaiOOmTW...
11    https://www.youtube.com/channel/UC8zl8cNK71tTS...
12    https://www.youtube.com/channel/UCH3y9O7pO-YYf...
13       https://www.youtube.com/c/HelloPastelBlossomTV
14    https://www.youtube.com/channel/UCoCDfYmZm5pLC...
15    https://www.youtube.com/channel/UC88YYy0Bsk9Vr...
16    https://www.youtube.com/channel/UCIjMZ-yxmkQNw...
17    https://www.youtube.com/channel/UCvU3Lrgb4cPOs...
18    https://www.youtube.com/channel/UC7wq2U4FF2NyZ...
19             https://www.youtube.com/user/clarencewee
Name: Ch_URL, dtype: object",A legião Estrangeira ( Clarice Lispector) | UESB - Parte 1,https://www.youtube.com/watch?v=BaTXu4fb-RY,4 years ago,15K views,4.6K subscribers
pastel,Pastel Queimado,"0              https://www.youtube.com/c/WildPastelHair
1     https://www.youtube.com/channel/UCrIIxhcqT6bEx...
2          https://www.youtube.com/c/PrettyPastelPlease
3     https://www.youtube.com/channel/UCSF6vx__8xdAn...
4              https://www.youtube.com/c/PastelQueimado
5      https://www.youtube.com/c/AlessandraSantosPastel
6                    https://www.youtube.com/c/pastelBR
7     https://www.youtube.com/channel/UCNaqXQLhcLUjf...
8     https://www.youtube.com/channel/UCWbq9_8fq3Fqi...
9     https://www.youtube.com/channel/UCZVeE4pxO9Aqv...
10    https://www.youtube.com/channel/UCDaIWaaiOOmTW...
11    https://www.youtube.com/channel/UC8zl8cNK71tTS...
12    https://www.youtube.com/channel/UCH3y9O7pO-YYf...
13       https://www.youtube.com/c/HelloPastelBlossomTV
14    https://www.youtube.com/channel/UCoCDfYmZm5pLC...
15    https://www.youtube.com/channel/UC88YYy0Bsk9Vr...
16    https://www.youtube.com/channel/UCIjMZ-yxmkQNw...
17    https://www.youtube.com/channel/UCvU3Lrgb4cPOs...
18    https://www.youtube.com/channel/UC7wq2U4FF2NyZ...
19             https://www.youtube.com/user/clarencewee
Name: Ch_URL, dtype: object",A legião Estrangeira ( Clarice Lispector) | UESB - Parte 2,https://www.youtube.com/watch?v=dtDvGZEQdqM,3 years ago,7.3K views,4.6K subscribers
pastel,Pastel Queimado,"0              https://www.youtube.com/c/WildPastelHair
1     https://www.youtube.com/channel/UCrIIxhcqT6bEx...
2          https://www.youtube.com/c/PrettyPastelPlease
3     https://www.youtube.com/channel/UCSF6vx__8xdAn...
4              https://www.youtube.com/c/PastelQueimado
5      https://www.youtube.com/c/AlessandraSantosPastel
6                    https://www.youtube.com/c/pastelBR
7     https://www.youtube.com/channel/UCNaqXQLhcLUjf...
8     https://www.youtube.com/channel/UCWbq9_8fq3Fqi...
9     https://www.youtube.com/channel/UCZVeE4pxO9Aqv...
10    https://www.youtube.com/channel/UCDaIWaaiOOmTW...
11    https://www.youtube.com/channel/UC8zl8cNK71tTS...
12    https://www.youtube.com/channel/UCH3y9O7pO-YYf...
13       https://www.youtube.com/c/HelloPastelBlossomTV
14    https://www.youtube.com/channel/UCoCDfYmZm5pLC...
15    https://www.youtube.com/channel/UC88YYy0Bsk9Vr...
16    https://www.youtube.com/channel/UCIjMZ-yxmkQNw...
17    https://www.youtube.com/channel/UCvU3Lrgb4cPOs...
18    https://www.youtube.com/channel/UC7wq2U4FF2NyZ...
19             https://www.youtube.com/user/clarencewee
Name: Ch_URL, dtype: object",Dheepan – o refúgio | UESB,https://www.youtube.com/watch?v=WN6QG8bHO4g,4 years ago,2.8K views,4.6K subscribers
pastel,Pastel Queimado,"0              https://www.youtube.com/c/WildPastelHair
1     https://www.youtube.com/channel/UCrIIxhcqT6bEx...
2          https://www.youtube.com/c/PrettyPastelPlease
3     https://www.youtube.com/channel/UCSF6vx__8xdAn...
4              https://www.youtube.com/c/PastelQueimado
5      https://www.youtube.com/c/AlessandraSantosPastel
6                    https://www.youtube.com/c/pastelBR
7     https://www.youtube.com/channel/UCNaqXQLhcLUjf...
8     https://www.youtube.com/channel/UCWbq9_8fq3Fqi...
9     https://www.youtube.com/channel/UCZVeE4pxO9Aqv...
10    https://www.youtube.com/channel/UCDaIWaaiOOmTW...
11    https://www.youtube.com/channel/UC8zl8cNK71tTS...
12    https://www.youtube.com/channel/UCH3y9O7pO-YYf...
13       https://www.youtube.com/c/HelloPastelBlossomTV
14    https://www.youtube.com/channel/UCoCDfYmZm5pLC...
15    https://www.youtube.com/channel/UC88YYy0Bsk9Vr...
16    https://www.youtube.com/channel/UCIjMZ-yxmkQNw...
17    https://www.youtube.com/channel/UCvU3Lrgb4cPOs...
18    https://www.youtube.com/channel/UC7wq2U4FF2NyZ...
19             https://www.youtube.com/user/clarencewee
Name: Ch_URL, dtype: object",Jonas e o Circo sem Lona ( Feat. Paula Gomes ) | UESB,https://www.youtube.com/watch?v=EMXMdjA7aFU,3 years ago,2.7K views,4.6K subscribers
