Category,Channel,Ch_URL,Titles,Video_URL,Date,View_2021-12-18,Subs_2021-12-18
pastel,Pastel,"0              https://www.youtube.com/c/WildPastelHair
1      https://www.youtube.com/c/AlessandraSantosPastel
2     https://www.youtube.com/channel/UC7cKyn4tjG9r9...
3     https://www.youtube.com/channel/UCvcNPirUKOZ7i...
4     https://www.youtube.com/channel/UCvU3Lrgb4cPOs...
5     https://www.youtube.com/channel/UCSF6vx__8xdAn...
6     https://www.youtube.com/channel/UC_-alS-Ajawmt...
7     https://www.youtube.com/channel/UCIjMZ-yxmkQNw...
8     https://www.youtube.com/c/PastelEscritorPastelino
9     https://www.youtube.com/channel/UCENUZbRr1cWOJ...
10    https://www.youtube.com/channel/UC-fqQWMBml3TR...
11    https://www.youtube.com/channel/UCMI9sMvRFZpPu...
12    https://www.youtube.com/channel/UCTLvXWIDDkEmX...
13         https://www.youtube.com/c/VidadeCaminhoneiro
14    https://www.youtube.com/channel/UCH3y9O7pO-YYf...
15             https://www.youtube.com/c/PastelQueimado
16    https://www.youtube.com/channel/UCWcgSOvDjLFT8...
17    https://www.youtube.com/channel/UCTTosQy4ZuydL...
18    https://www.youtube.com/channel/UCtrA3Kihzvq4x...
19    https://www.youtube.com/channel/UCoCDfYmZm5pLC...
Name: Ch_URL, dtype: object",MON CHIEN GOÛTE DES FRUITS ET LÉGUMES #2,https://www.youtube.com/watch?v=WT6GkJzvu2I,há 4 anos,3 800000,38300
pastel,Pastel,"0              https://www.youtube.com/c/WildPastelHair
1      https://www.youtube.com/c/AlessandraSantosPastel
2     https://www.youtube.com/channel/UC7cKyn4tjG9r9...
3     https://www.youtube.com/channel/UCvcNPirUKOZ7i...
4     https://www.youtube.com/channel/UCvU3Lrgb4cPOs...
5     https://www.youtube.com/channel/UCSF6vx__8xdAn...
6     https://www.youtube.com/channel/UC_-alS-Ajawmt...
7     https://www.youtube.com/channel/UCIjMZ-yxmkQNw...
8     https://www.youtube.com/c/PastelEscritorPastelino
9     https://www.youtube.com/channel/UCENUZbRr1cWOJ...
10    https://www.youtube.com/channel/UC-fqQWMBml3TR...
11    https://www.youtube.com/channel/UCMI9sMvRFZpPu...
12    https://www.youtube.com/channel/UCTLvXWIDDkEmX...
13         https://www.youtube.com/c/VidadeCaminhoneiro
14    https://www.youtube.com/channel/UCH3y9O7pO-YYf...
15             https://www.youtube.com/c/PastelQueimado
16    https://www.youtube.com/channel/UCWcgSOvDjLFT8...
17    https://www.youtube.com/channel/UCTTosQy4ZuydL...
18    https://www.youtube.com/channel/UCtrA3Kihzvq4x...
19    https://www.youtube.com/channel/UCoCDfYmZm5pLC...
Name: Ch_URL, dtype: object",MON CHIEN GOÛTE DES FRUITS ET LÉGUMES,https://www.youtube.com/watch?v=9jWxDsb8I1w,há 4 anos,1 600000,38300
pastel,Pastel,"0              https://www.youtube.com/c/WildPastelHair
1      https://www.youtube.com/c/AlessandraSantosPastel
2     https://www.youtube.com/channel/UC7cKyn4tjG9r9...
3     https://www.youtube.com/channel/UCvcNPirUKOZ7i...
4     https://www.youtube.com/channel/UCvU3Lrgb4cPOs...
5     https://www.youtube.com/channel/UCSF6vx__8xdAn...
6     https://www.youtube.com/channel/UC_-alS-Ajawmt...
7     https://www.youtube.com/channel/UCIjMZ-yxmkQNw...
8     https://www.youtube.com/c/PastelEscritorPastelino
9     https://www.youtube.com/channel/UCENUZbRr1cWOJ...
10    https://www.youtube.com/channel/UC-fqQWMBml3TR...
11    https://www.youtube.com/channel/UCMI9sMvRFZpPu...
12    https://www.youtube.com/channel/UCTLvXWIDDkEmX...
13         https://www.youtube.com/c/VidadeCaminhoneiro
14    https://www.youtube.com/channel/UCH3y9O7pO-YYf...
15             https://www.youtube.com/c/PastelQueimado
16    https://www.youtube.com/channel/UCWcgSOvDjLFT8...
17    https://www.youtube.com/channel/UCTTosQy4ZuydL...
18    https://www.youtube.com/channel/UCtrA3Kihzvq4x...
19    https://www.youtube.com/channel/UCoCDfYmZm5pLC...
Name: Ch_URL, dtype: object",MON CHIEN CRÉE SON SIMS,https://www.youtube.com/watch?v=gJZKF_42ybA,há 3 anos,1 500000,38300
pastel,Pastel,"0              https://www.youtube.com/c/WildPastelHair
1      https://www.youtube.com/c/AlessandraSantosPastel
2     https://www.youtube.com/channel/UC7cKyn4tjG9r9...
3     https://www.youtube.com/channel/UCvcNPirUKOZ7i...
4     https://www.youtube.com/channel/UCvU3Lrgb4cPOs...
5     https://www.youtube.com/channel/UCSF6vx__8xdAn...
6     https://www.youtube.com/channel/UC_-alS-Ajawmt...
7     https://www.youtube.com/channel/UCIjMZ-yxmkQNw...
8     https://www.youtube.com/c/PastelEscritorPastelino
9     https://www.youtube.com/channel/UCENUZbRr1cWOJ...
10    https://www.youtube.com/channel/UC-fqQWMBml3TR...
11    https://www.youtube.com/channel/UCMI9sMvRFZpPu...
12    https://www.youtube.com/channel/UCTLvXWIDDkEmX...
13         https://www.youtube.com/c/VidadeCaminhoneiro
14    https://www.youtube.com/channel/UCH3y9O7pO-YYf...
15             https://www.youtube.com/c/PastelQueimado
16    https://www.youtube.com/channel/UCWcgSOvDjLFT8...
17    https://www.youtube.com/channel/UCTTosQy4ZuydL...
18    https://www.youtube.com/channel/UCtrA3Kihzvq4x...
19    https://www.youtube.com/channel/UCoCDfYmZm5pLC...
Name: Ch_URL, dtype: object","APÉRO POUR CHIEN : PIZZAS, BIÈRES ET CHIPS !",https://www.youtube.com/watch?v=ns_dzpTgre4,há 4 anos,1 500000,38300
pastel,Pastel,"0              https://www.youtube.com/c/WildPastelHair
1      https://www.youtube.com/c/AlessandraSantosPastel
2     https://www.youtube.com/channel/UC7cKyn4tjG9r9...
3     https://www.youtube.com/channel/UCvcNPirUKOZ7i...
4     https://www.youtube.com/channel/UCvU3Lrgb4cPOs...
5     https://www.youtube.com/channel/UCSF6vx__8xdAn...
6     https://www.youtube.com/channel/UC_-alS-Ajawmt...
7     https://www.youtube.com/channel/UCIjMZ-yxmkQNw...
8     https://www.youtube.com/c/PastelEscritorPastelino
9     https://www.youtube.com/channel/UCENUZbRr1cWOJ...
10    https://www.youtube.com/channel/UC-fqQWMBml3TR...
11    https://www.youtube.com/channel/UCMI9sMvRFZpPu...
12    https://www.youtube.com/channel/UCTLvXWIDDkEmX...
13         https://www.youtube.com/c/VidadeCaminhoneiro
14    https://www.youtube.com/channel/UCH3y9O7pO-YYf...
15             https://www.youtube.com/c/PastelQueimado
16    https://www.youtube.com/channel/UCWcgSOvDjLFT8...
17    https://www.youtube.com/channel/UCTTosQy4ZuydL...
18    https://www.youtube.com/channel/UCtrA3Kihzvq4x...
19    https://www.youtube.com/channel/UCoCDfYmZm5pLC...
Name: Ch_URL, dtype: object",DÉGUSTATION | Nouveautés de supermarché #2,https://www.youtube.com/watch?v=7vvtFcG_Nsk,há 5 anos,1 400000,38300
pastel,Pastel,"0              https://www.youtube.com/c/WildPastelHair
1      https://www.youtube.com/c/AlessandraSantosPastel
2     https://www.youtube.com/channel/UC7cKyn4tjG9r9...
3     https://www.youtube.com/channel/UCvcNPirUKOZ7i...
4     https://www.youtube.com/channel/UCvU3Lrgb4cPOs...
5     https://www.youtube.com/channel/UCSF6vx__8xdAn...
6     https://www.youtube.com/channel/UC_-alS-Ajawmt...
7     https://www.youtube.com/channel/UCIjMZ-yxmkQNw...
8     https://www.youtube.com/c/PastelEscritorPastelino
9     https://www.youtube.com/channel/UCENUZbRr1cWOJ...
10    https://www.youtube.com/channel/UC-fqQWMBml3TR...
11    https://www.youtube.com/channel/UCMI9sMvRFZpPu...
12    https://www.youtube.com/channel/UCTLvXWIDDkEmX...
13         https://www.youtube.com/c/VidadeCaminhoneiro
14    https://www.youtube.com/channel/UCH3y9O7pO-YYf...
15             https://www.youtube.com/c/PastelQueimado
16    https://www.youtube.com/channel/UCWcgSOvDjLFT8...
17    https://www.youtube.com/channel/UCTTosQy4ZuydL...
18    https://www.youtube.com/channel/UCtrA3Kihzvq4x...
19    https://www.youtube.com/channel/UCoCDfYmZm5pLC...
Name: Ch_URL, dtype: object",CHICHOU OUVRE UNE BOX SURPRISE,https://www.youtube.com/watch?v=IPeA_tyiV2E,há 5 anos,1 200000,38300
pastel,Pastel,"0              https://www.youtube.com/c/WildPastelHair
1      https://www.youtube.com/c/AlessandraSantosPastel
2     https://www.youtube.com/channel/UC7cKyn4tjG9r9...
3     https://www.youtube.com/channel/UCvcNPirUKOZ7i...
4     https://www.youtube.com/channel/UCvU3Lrgb4cPOs...
5     https://www.youtube.com/channel/UCSF6vx__8xdAn...
6     https://www.youtube.com/channel/UC_-alS-Ajawmt...
7     https://www.youtube.com/channel/UCIjMZ-yxmkQNw...
8     https://www.youtube.com/c/PastelEscritorPastelino
9     https://www.youtube.com/channel/UCENUZbRr1cWOJ...
10    https://www.youtube.com/channel/UC-fqQWMBml3TR...
11    https://www.youtube.com/channel/UCMI9sMvRFZpPu...
12    https://www.youtube.com/channel/UCTLvXWIDDkEmX...
13         https://www.youtube.com/c/VidadeCaminhoneiro
14    https://www.youtube.com/channel/UCH3y9O7pO-YYf...
15             https://www.youtube.com/c/PastelQueimado
16    https://www.youtube.com/channel/UCWcgSOvDjLFT8...
17    https://www.youtube.com/channel/UCTTosQy4ZuydL...
18    https://www.youtube.com/channel/UCtrA3Kihzvq4x...
19    https://www.youtube.com/channel/UCoCDfYmZm5pLC...
Name: Ch_URL, dtype: object",COLORATION À LA BETTERAVE,https://www.youtube.com/watch?v=xk0742iEJOk,há 4 anos,100000,38300
pastel,Pastel,"0              https://www.youtube.com/c/WildPastelHair
1      https://www.youtube.com/c/AlessandraSantosPastel
2     https://www.youtube.com/channel/UC7cKyn4tjG9r9...
3     https://www.youtube.com/channel/UCvcNPirUKOZ7i...
4     https://www.youtube.com/channel/UCvU3Lrgb4cPOs...
5     https://www.youtube.com/channel/UCSF6vx__8xdAn...
6     https://www.youtube.com/channel/UC_-alS-Ajawmt...
7     https://www.youtube.com/channel/UCIjMZ-yxmkQNw...
8     https://www.youtube.com/c/PastelEscritorPastelino
9     https://www.youtube.com/channel/UCENUZbRr1cWOJ...
10    https://www.youtube.com/channel/UC-fqQWMBml3TR...
11    https://www.youtube.com/channel/UCMI9sMvRFZpPu...
12    https://www.youtube.com/channel/UCTLvXWIDDkEmX...
13         https://www.youtube.com/c/VidadeCaminhoneiro
14    https://www.youtube.com/channel/UCH3y9O7pO-YYf...
15             https://www.youtube.com/c/PastelQueimado
16    https://www.youtube.com/channel/UCWcgSOvDjLFT8...
17    https://www.youtube.com/channel/UCTTosQy4ZuydL...
18    https://www.youtube.com/channel/UCtrA3Kihzvq4x...
19    https://www.youtube.com/channel/UCoCDfYmZm5pLC...
Name: Ch_URL, dtype: object",Décoloration : de brune à blond platine,https://www.youtube.com/watch?v=cLOCP-v5fc0,há 8 anos,96600,38300
pastel,Pastel,"0              https://www.youtube.com/c/WildPastelHair
1      https://www.youtube.com/c/AlessandraSantosPastel
2     https://www.youtube.com/channel/UC7cKyn4tjG9r9...
3     https://www.youtube.com/channel/UCvcNPirUKOZ7i...
4     https://www.youtube.com/channel/UCvU3Lrgb4cPOs...
5     https://www.youtube.com/channel/UCSF6vx__8xdAn...
6     https://www.youtube.com/channel/UC_-alS-Ajawmt...
7     https://www.youtube.com/channel/UCIjMZ-yxmkQNw...
8     https://www.youtube.com/c/PastelEscritorPastelino
9     https://www.youtube.com/channel/UCENUZbRr1cWOJ...
10    https://www.youtube.com/channel/UC-fqQWMBml3TR...
11    https://www.youtube.com/channel/UCMI9sMvRFZpPu...
12    https://www.youtube.com/channel/UCTLvXWIDDkEmX...
13         https://www.youtube.com/c/VidadeCaminhoneiro
14    https://www.youtube.com/channel/UCH3y9O7pO-YYf...
15             https://www.youtube.com/c/PastelQueimado
16    https://www.youtube.com/channel/UCWcgSOvDjLFT8...
17    https://www.youtube.com/channel/UCTTosQy4ZuydL...
18    https://www.youtube.com/channel/UCtrA3Kihzvq4x...
19    https://www.youtube.com/channel/UCoCDfYmZm5pLC...
Name: Ch_URL, dtype: object",MON CHIEN CHOISIT MON MAKEUP,https://www.youtube.com/watch?v=ns6W1T-2lDU,há 3 anos,83600,38300
pastel,Pastel,"0              https://www.youtube.com/c/WildPastelHair
1      https://www.youtube.com/c/AlessandraSantosPastel
2     https://www.youtube.com/channel/UC7cKyn4tjG9r9...
3     https://www.youtube.com/channel/UCvcNPirUKOZ7i...
4     https://www.youtube.com/channel/UCvU3Lrgb4cPOs...
5     https://www.youtube.com/channel/UCSF6vx__8xdAn...
6     https://www.youtube.com/channel/UC_-alS-Ajawmt...
7     https://www.youtube.com/channel/UCIjMZ-yxmkQNw...
8     https://www.youtube.com/c/PastelEscritorPastelino
9     https://www.youtube.com/channel/UCENUZbRr1cWOJ...
10    https://www.youtube.com/channel/UC-fqQWMBml3TR...
11    https://www.youtube.com/channel/UCMI9sMvRFZpPu...
12    https://www.youtube.com/channel/UCTLvXWIDDkEmX...
13         https://www.youtube.com/c/VidadeCaminhoneiro
14    https://www.youtube.com/channel/UCH3y9O7pO-YYf...
15             https://www.youtube.com/c/PastelQueimado
16    https://www.youtube.com/channel/UCWcgSOvDjLFT8...
17    https://www.youtube.com/channel/UCTTosQy4ZuydL...
18    https://www.youtube.com/channel/UCtrA3Kihzvq4x...
19    https://www.youtube.com/channel/UCoCDfYmZm5pLC...
Name: Ch_URL, dtype: object",DÉGUSTATION | ... pour chiens !,https://www.youtube.com/watch?v=xBWZfwdJbVc,há 5 anos,79600,38300
