Category,Channel,Inscritos,Videos,Ch_URL
pastel,Pastel,382K subscribers,458 videos,https://www.youtube.com/c/WildPastelHair
pastel,Alessandra Santos Pastel,1.21M subscribers,504 videos,https://www.youtube.com/c/AlessandraSantosPastel
pastel,Pastel,1.69K subscribers,15 videos,https://www.youtube.com/channel/UCSF6vx__8xdAnUIA_fcmB2Q
pastel,Aninha Santos Pastel,3.37K subscribers,45 videos,https://www.youtube.com/channel/UCIjMZ-yxmkQNw1UgfpvEGlw
pastel,Pastel _Sisters,81K subscribers,64 videos,https://www.youtube.com/channel/UCENUZbRr1cWOJEn2snygrfg
pastel,Curso Pastel de Feira,7 subscribers,2 videos,https://www.youtube.com/channel/UCTLvXWIDDkEmX1MhSZPi1MQ
pastel,Pastel Flurry,440K subscribers,31 videos,https://www.youtube.com/channel/UCZVeE4pxO9AqvGh74KYg2ig
pastel,Pastel Ice Eating ASMR,9.62K subscribers,"2,500 videos",https://www.youtube.com/channel/UC8zl8cNK71tTS6HAdHZynZQ
pastel,Pretty Pastel Please,717K subscribers,259 videos,https://www.youtube.com/c/PrettyPastelPlease
pastel,• pastel clouds •,238K subscribers,81 videos,https://www.youtube.com/channel/UCH3y9O7pO-YYfU4bbcG45IA
pastel,*Pastel Moonlight*,99.2K subscribers,135 videos,https://www.youtube.com/channel/UCWbq9_8fq3FqideQ3kQ47hw
pastel,Pastel Peryton,69.8K subscribers,68 videos,https://www.youtube.com/channel/UC88YYy0Bsk9VrVRKhklnNBg
pastel,Pastel,61 subscribers,28 videos,https://www.youtube.com/channel/UCvU3Lrgb4cPOsC3iyqEVu-Q
pastel,Pastel,,9 videos,https://www.youtube.com/channel/UCDaIWaaiOOmTWC9XEEigLtA
pastel,• p a s t e l •,32K subscribers,150 videos,https://www.youtube.com/c/pastel_imAhottie
pastel,Pastel Sounds,10.8K subscribers,22 videos,https://www.youtube.com/channel/UCNaqXQLhcLUjfc9eSxh0DPw
pastel,Pastel Plotter Sonorização e Filmagem,2.79K subscribers,63 videos,https://www.youtube.com/c/PastelPlotterSonoriza%C3%A7%C3%A3oeFilmagem
pastel,Silvana Santos Pastel,10.9K subscribers,62 videos,https://www.youtube.com/channel/UCFnUyWqZ2kJ3MoaxXgQt5Cw
pastel,pastel em ação,31 subscribers,52 videos,https://www.youtube.com/channel/UCgbHSW3RTCHYDZ6mJweu1XA
pastel,Hello Pastel Blossom TV,82.4K subscribers,328 videos,https://www.youtube.com/c/HelloPastelBlossomTV
