Tweet,Emojis,SentimentML,Quantidade,Alegria,Medo,Neutro,Nojo,Raiva,Tristeza,Alias,Frequencias,Phrase,Words,Frequency
"RT @RAIZEMOS: E o BBB segue sendo a novela mais dramática.
#BBB222 
#ForaArthur é o caralho https://t.co/8845AK1StR",set(),'alegria',737,[0.41],[0.05],[0.39],[0.0],[0.15],[0.0],[0.0],"['o', 'rt', 'e', 'bbb', 'segue', 'sendo', 'a', 'novela', 'mais', 'dramática', 'é', 'caralho']","['o', 'rt', 'e', 'bbb', 'segue', 'sendo', 'a', 'novela', 'mais', 'dramática', 'é', 'caralho']",,3855
"RT @RAIZEMOS: E o BBB segue sendo a novela mais dramática.
#BBB222 
#ForaArthur é o caralho https://t.co/8845AK1StR",set(),'alegria',737,[0.41],[0.05],[0.39],[0.0],[0.15],[0.0],[0.0],"['o', 'rt', 'e', 'bbb', 'segue', 'sendo', 'a', 'novela', 'mais', 'dramática', 'é', 'caralho']","['o', 'rt', 'e', 'bbb', 'segue', 'sendo', 'a', 'novela', 'mais', 'dramática', 'é', 'caralho']",rt,382
"RT @RAIZEMOS: E o BBB segue sendo a novela mais dramática.
#BBB222 
#ForaArthur é o caralho https://t.co/8845AK1StR",set(),'alegria',737,[0.41],[0.05],[0.39],[0.0],[0.15],[0.0],[0.0],"['o', 'rt', 'e', 'bbb', 'segue', 'sendo', 'a', 'novela', 'mais', 'dramática', 'é', 'caralho']","['o', 'rt', 'e', 'bbb', 'segue', 'sendo', 'a', 'novela', 'mais', 'dramática', 'é', 'caralho']",bbb,376
"RT @RAIZEMOS: E o BBB segue sendo a novela mais dramática.
#BBB222 
#ForaArthur é o caralho https://t.co/8845AK1StR",set(),'alegria',737,[0.41],[0.05],[0.39],[0.0],[0.15],[0.0],[0.0],"['o', 'rt', 'e', 'bbb', 'segue', 'sendo', 'a', 'novela', 'mais', 'dramática', 'é', 'caralho']","['o', 'rt', 'e', 'bbb', 'segue', 'sendo', 'a', 'novela', 'mais', 'dramática', 'é', 'caralho']",arthur,295
"RT @jonathanwsg: Quem vocês querem ""ELIMINAR"" no BBB 22 o Douglas, a Naiara (nanacita) ou o Arthur???

#BBB22 #ParedaoBBB #FicaNaiara #Fica…",set(),'neutro',737,[0.21],[0.05],[0.62],[0.0],[0.11],[0.0],[0.01],"['o', 'rt', 'quem', 'vocês', 'querem', 'eliminar', 'no', 'bbb', 'douglas', 'a', 'naiara', 'nanacita', 'ou', 'arthur']","['o', 'rt', 'quem', 'vocês', 'querem', 'eliminar', 'no', 'bbb', 'douglas', 'a', 'naiara', 'nanacita', 'ou', 'arthur']",caralh,132
"RT @RAIZEMOS: E o BBB segue sendo a novela mais dramática.
#BBB222 
#ForaArthur é o caralho https://t.co/8845AK1StR",set(),'alegria',737,[0.41],[0.05],[0.39],[0.0],[0.15],[0.0],[0.0],"['o', 'rt', 'e', 'bbb', 'segue', 'sendo', 'a', 'novela', 'mais', 'dramática', 'é', 'caralho']","['o', 'rt', 'e', 'bbb', 'segue', 'sendo', 'a', 'novela', 'mais', 'dramática', 'é', 'caralho']",quer,131
"RT @RAIZEMOS: E o BBB segue sendo a novela mais dramática.
#BBB222 
#ForaArthur é o caralho https://t.co/8845AK1StR",set(),'alegria',737,[0.41],[0.05],[0.39],[0.0],[0.15],[0.0],[0.0],"['o', 'rt', 'e', 'bbb', 'segue', 'sendo', 'a', 'novela', 'mais', 'dramática', 'é', 'caralho']","['o', 'rt', 'e', 'bbb', 'segue', 'sendo', 'a', 'novela', 'mais', 'dramática', 'é', 'caralho']",send,130
"RT @RAIZEMOS: E o BBB segue sendo a novela mais dramática.
#BBB222 
#ForaArthur é o caralho https://t.co/8845AK1StR",set(),'alegria',737,[0.41],[0.05],[0.39],[0.0],[0.15],[0.0],[0.0],"['o', 'rt', 'e', 'bbb', 'segue', 'sendo', 'a', 'novela', 'mais', 'dramática', 'é', 'caralho']","['o', 'rt', 'e', 'bbb', 'segue', 'sendo', 'a', 'novela', 'mais', 'dramática', 'é', 'caralho']",seg,129
"RT @RAIZEMOS: E o BBB segue sendo a novela mais dramática.
#BBB222 
#ForaArthur é o caralho https://t.co/8845AK1StR",set(),'alegria',737,[0.41],[0.05],[0.39],[0.0],[0.15],[0.0],[0.0],"['o', 'rt', 'e', 'bbb', 'segue', 'sendo', 'a', 'novela', 'mais', 'dramática', 'é', 'caralho']","['o', 'rt', 'e', 'bbb', 'segue', 'sendo', 'a', 'novela', 'mais', 'dramática', 'é', 'caralho']",novel,129
"RT @RAIZEMOS: E o BBB segue sendo a novela mais dramática.
#BBB222 
#ForaArthur é o caralho https://t.co/8845AK1StR",set(),'alegria',737,[0.41],[0.05],[0.39],[0.0],[0.15],[0.0],[0.0],"['o', 'rt', 'e', 'bbb', 'segue', 'sendo', 'a', 'novela', 'mais', 'dramática', 'é', 'caralho']","['o', 'rt', 'e', 'bbb', 'segue', 'sendo', 'a', 'novela', 'mais', 'dramática', 'é', 'caralho']",dramá,128
