Category,Channel,Inscritos,Videos,Ch_URL
teste,Teste e Opinião,12.8K subscribers,83 videos,https://www.youtube.com/c/TesteeOpini%C3%A3o
teste,Teste Gordice,206K subscribers,778 videos,https://www.youtube.com/c/TesteGordice
teste,Teste Recetas,53.5K subscribers,471 videos,https://www.youtube.com/c/TesteRecetas
teste,Zona de Testes,157K subscribers,155 videos,https://www.youtube.com/c/ZonadeTestes
teste,Teste Acelerando,33.4K subscribers,79 videos,https://www.youtube.com/c/testeacelerando
teste,Teste de fidelidade HD,19.9K subscribers,2 videos,https://www.youtube.com/channel/UC0C8tv74WkPgbYUvWq37QHw
teste,Teste Design,19.5K subscribers,24 videos,https://www.youtube.com/c/TesteDesign
teste,Johnny Test em Português - WildBrain,884K subscribers,805 videos,https://www.youtube.com/c/JohnnyTestemPortugu%C3%AAs
teste,Testes e Dicas,106K subscribers,533 videos,https://www.youtube.com/c/TesteseDicas
teste,Teste de Direção,795 subscribers,39 videos,https://www.youtube.com/c/TestedeDire%C3%A7%C3%A3o
teste,teste desenhos,3.87K subscribers,5 videos,https://www.youtube.com/channel/UCz3pyIx47Hl-2OGOL79d8Aw
teste,Canal de teste,243 subscribers,1 video,https://www.youtube.com/channel/UCxMsLKS2OfIVMtI2w3AwKNQ
teste,Teste 1,840 subscribers,88 videos,https://www.youtube.com/channel/UCptoXVd3smfzjS8qzysmfDw
teste,Vídeo Teste,204 subscribers,2 videos,https://www.youtube.com/channel/UC22zjDDoO8TVvzYb06Wejfw
teste,Categorias de Base Peneira Avaliação teste Futebol,33.9K subscribers,522 videos,https://www.youtube.com/c/CategoriasdeBaseePeneiraFutebol
teste,Canal TESTE [CaduFLIX] Carlos Eduardo Silva,2.64K subscribers,64 videos,https://www.youtube.com/channel/UChV6IRjsbzoGy7mn1bBRrzg
teste,Teste De Fidelidade (HOT),1.17K subscribers,2 videos,https://www.youtube.com/channel/UC7QT0xAcAnTxT9pnbBC682w
teste,Giga de Teste,3.22K subscribers,34 videos,https://www.youtube.com/c/GigadeTeste
teste,Teste,,,https://www.youtube.com/channel/UC2fDvZBdIbEtT8LbDZhl3MQ
teste,Teste Receitas Fit & Fat,937 subscribers,162 videos,https://www.youtube.com/c/TesteReceitasFit
