User,Tweet,Date,Source,Profile Photo
fatimabrito855,@Aguiarthur @vsquito Seja bem vindo 😃😃,Wed Jan 19 14:53:56 +0000 2022,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",http://pbs.twimg.com/profile_images/1436029258640601090/Ga7N1pnM_normal.jpg
Liahenriqueofc,"RT @Aguiarthur: DEMOROU, mas chegamos! 
Queremos nos desculpar aos fãs que esperaram muito por atualizações, estávamos passando por mudança…",Wed Jan 19 14:53:56 +0000 2022,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",http://pbs.twimg.com/profile_images/1443457615527301127/DoqA5FaB_normal.jpg
commentsclari,"RT @Aguiarthur: Valeu, Mika! Vamos juntos nessa! #TeamAguiar 💛✨",Wed Jan 19 14:51:05 +0000 2022,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",http://pbs.twimg.com/profile_images/1375522096521080838/trQHa_Wd_normal.jpg
commentsclari,"RT @MicaelOficial: Mas pra deixar claro que o fato de não estar ansioso, eu vou torcer muito pro @Aguiarthur ! Que assim como nós estamos e…",Wed Jan 19 14:50:58 +0000 2022,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",http://pbs.twimg.com/profile_images/1375522096521080838/trQHa_Wd_normal.jpg
bloodluar,"obg @Aguiarthur por ter mudado a bio não aguentava mais aquela bagunça, fizeram tudoo",Wed Jan 19 14:50:22 +0000 2022,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",http://pbs.twimg.com/profile_images/1481670543514480649/2x7NddO9_normal.png
commentsclari,"RT @Aguiarthur: DEMOROU, mas chegamos! 
Queremos nos desculpar aos fãs que esperaram muito por atualizações, estávamos passando por mudança…",Wed Jan 19 14:50:04 +0000 2022,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",http://pbs.twimg.com/profile_images/1375522096521080838/trQHa_Wd_normal.jpg
yasmiim_n,"@Aguiarthur Mdsssssssss que perfeição, o mimos chegaram❤️",Wed Jan 19 14:48:42 +0000 2022,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",http://pbs.twimg.com/profile_images/1483111071913283587/gY2gzLgS_normal.jpg
Guiamorfiel,@Aguiarthur Ficou show,Wed Jan 19 14:47:50 +0000 2022,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",http://pbs.twimg.com/profile_images/1480095963620548608/GMWdYpE3_normal.jpg
jamylleribeir15,"@Aguiarthur EU estou te dando uma nova chance! Não me decepcione. 
#BBB22",Wed Jan 19 14:42:05 +0000 2022,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",http://pbs.twimg.com/profile_images/1219977943310618624/TZ4toAsj_normal.jpg
rafrauelcbs,@Aguiarthur O emoji do Arthur Aguiar não ser uma 🌹 em homenagem a todos os românticos do Brasil é BRINCADEIRA,Wed Jan 19 14:42:05 +0000 2022,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",http://pbs.twimg.com/profile_images/1395549011847884802/XEdJl8Fg_normal.jpg
valerialeal1969,"RT @Aguiarthur: DEMOROU, mas chegamos! 
Queremos nos desculpar aos fãs que esperaram muito por atualizações, estávamos passando por mudança…",Wed Jan 19 14:35:28 +0000 2022,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",http://pbs.twimg.com/profile_images/963549474370080768/y9k9OcO9_normal.jpg
AngelaC30052620,"@MicaelOficial @Bya11060843 @Aguiarthur Te amooo Mica, meu Rebelde preferido.😍😍😍😍",Wed Jan 19 14:33:01 +0000 2022,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",http://pbs.twimg.com/profile_images/1380176199381614604/0vyjzxNH_normal.jpg
AngelaC30052620,"RT @MicaelOficial: Mas pra deixar claro que o fato de não estar ansioso, eu vou torcer muito pro @Aguiarthur ! Que assim como nós estamos e…",Wed Jan 19 14:32:12 +0000 2022,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",http://pbs.twimg.com/profile_images/1380176199381614604/0vyjzxNH_normal.jpg
lucieness33,@armandomarcos @Aguiarthur @bbb @tadeuschmidt @Naiarazevedo @TiagoAbravanel @eusouoeli @eslomarques @LucasBissoli_… https://t.co/2nrHZMpQpK,Wed Jan 19 14:31:16 +0000 2022,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",http://pbs.twimg.com/profile_images/1429582249427615760/0j2shgXY_normal.jpg
Bya11060843,E amanhã entra nosso menino de luz @Aguiarthur  amoooooooo,Wed Jan 19 14:30:28 +0000 2022,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",http://pbs.twimg.com/profile_images/1434270097871458304/chBUjPvu_normal.jpg
_canceladinha,@Aguiarthur ele entra amanhã de manhã mesmo adm?,Wed Jan 19 14:30:26 +0000 2022,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",http://pbs.twimg.com/profile_images/1439065892588081152/s3zfz6vZ_normal.jpg
EEternemente,"RT @Aguiarthur: Valeu, Mika! Vamos juntos nessa! #TeamAguiar 💛✨",Wed Jan 19 14:29:55 +0000 2022,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",http://pbs.twimg.com/profile_images/1482711799539679237/SlmcdGR4_normal.jpg
SaritaComenta,@Aguiarthur oie adm o follow não vem nunca?,Wed Jan 19 14:29:51 +0000 2022,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",http://pbs.twimg.com/profile_images/1483608631358672904/-KFM9kcR_normal.jpg
Bya11060843,"RT @MicaelOficial: Mas pra deixar claro que o fato de não estar ansioso, eu vou torcer muito pro @Aguiarthur ! Que assim como nós estamos e…",Wed Jan 19 14:29:13 +0000 2022,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",http://pbs.twimg.com/profile_images/1434270097871458304/chBUjPvu_normal.jpg
loryboyd,@Aguiarthur Que bom 👏🏼👏🏼👏🏼👏🏼 Já criaram grupos de dinâmica no WhatsApp?,Wed Jan 19 14:28:56 +0000 2022,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",http://pbs.twimg.com/profile_images/1483301154914242562/6JwpD5Mm_normal.jpg
Renatadec,"@Aguiarthur ADM ME SEGUE 
ADM ME SEGUE 
ADM ME SEGUE 
ADM ME SEGUE 
ADM ME SEGUE 
ADM ME SEGUE 
ADM ME SEGUE 
ADM M… https://t.co/01TYXYdwxd",Wed Jan 19 14:28:41 +0000 2022,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",http://pbs.twimg.com/profile_images/1470165066989375489/1gvkiPHo_normal.jpg
_srtamatthaus,"RT @Aguiarthur: Valeu, Mika! Vamos juntos nessa! #TeamAguiar 💛✨",Wed Jan 19 14:28:28 +0000 2022,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",http://pbs.twimg.com/profile_images/1483298979525926915/IRUcs4xW_normal.jpg
poxan_roberta,"@MicaelOficial @Aguiarthur Sou apaixonada, puta merda 😍😍😍",Wed Jan 19 14:26:57 +0000 2022,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",http://pbs.twimg.com/profile_images/1471649148227272706/Q6pe0QK1_normal.jpg
leonardoflopado,@Aguiarthur Me segue adm,Wed Jan 19 14:26:31 +0000 2022,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",http://pbs.twimg.com/profile_images/1482584734047916034/-FqAbD4i_normal.jpg
poxan_roberta,"RT @Aguiarthur: DEMOROU, mas chegamos! 
Queremos nos desculpar aos fãs que esperaram muito por atualizações, estávamos passando por mudança…",Wed Jan 19 14:26:10 +0000 2022,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",http://pbs.twimg.com/profile_images/1471649148227272706/Q6pe0QK1_normal.jpg
Renatadec,@Aguiarthur Me segueeeeee ADM,Wed Jan 19 14:25:52 +0000 2022,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",http://pbs.twimg.com/profile_images/1470165066989375489/1gvkiPHo_normal.jpg
Writeluar_,@Aguiarthur Medo dessa equipe especializada hahahaah,Wed Jan 19 14:25:49 +0000 2022,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",http://pbs.twimg.com/profile_images/1482498100774244355/SLabvTVf_normal.jpg
poxan_roberta,"RT @MicaelOficial: Mas pra deixar claro que o fato de não estar ansioso, eu vou torcer muito pro @Aguiarthur ! Que assim como nós estamos e…",Wed Jan 19 14:25:28 +0000 2022,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",http://pbs.twimg.com/profile_images/1471649148227272706/Q6pe0QK1_normal.jpg
wishmurilo_h,@Aguiarthur Se sabe q hrs Adm ? https://t.co/22J3NVMTat,Wed Jan 19 14:25:09 +0000 2022,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",http://pbs.twimg.com/profile_images/1483247976428544007/CV9w3me6_normal.jpg
kIeybson,"@Aguiarthur Deitei pra Lenda, pena que o Adm não segue pobres",Wed Jan 19 14:24:38 +0000 2022,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",http://pbs.twimg.com/profile_images/1482814629822742532/awrJPUPG_normal.jpg
htareputada,"@Aguiarthur Amei adm, o kingo era meu crush em rebelde, será que o follow vem aí? Me humilho desde aquela época veyr https://t.co/IddbbEivEY",Wed Jan 19 14:24:20 +0000 2022,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",http://pbs.twimg.com/profile_images/1473545746230226948/CMNX1MRT_normal.jpg
Sabrina41700861,@MicaelOficial @Aguiarthur ❤❤❤,Wed Jan 19 14:22:48 +0000 2022,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",http://pbs.twimg.com/profile_images/1477417507547930627/JVwvW_tO_normal.jpg
hinnysgf,@Aguiarthur a qualidade explodiu culpa do youtube,Wed Jan 19 14:22:14 +0000 2022,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",http://pbs.twimg.com/profile_images/1483184236765057036/onAhzL33_normal.jpg
olhodetanderah,@Aguiarthur https://t.co/7IcpCltXyE,Wed Jan 19 14:21:47 +0000 2022,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",http://pbs.twimg.com/profile_images/1456732720948731910/KGN8vjog_normal.jpg
Bya11060843,RT @eternoabrahao: @Aguiarthur não vejo a hora dele entrar https://t.co/px0FoiTyIG,Wed Jan 19 14:21:46 +0000 2022,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",http://pbs.twimg.com/profile_images/1434270097871458304/chBUjPvu_normal.jpg
Bya11060843,RT @chamegoarthur: @Aguiarthur Adm posta as fotos oficiais do Arthur que eles liberam de todos os participantes 😍😃 @Aguiarthur,Wed Jan 19 14:21:42 +0000 2022,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",http://pbs.twimg.com/profile_images/1434270097871458304/chBUjPvu_normal.jpg
_canceladinha,@Aguiarthur ansiosaaaa,Wed Jan 19 14:21:31 +0000 2022,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",http://pbs.twimg.com/profile_images/1439065892588081152/s3zfz6vZ_normal.jpg
hinnysgf,@Aguiarthur saudades dessa duplinha,Wed Jan 19 14:21:30 +0000 2022,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",http://pbs.twimg.com/profile_images/1483184236765057036/onAhzL33_normal.jpg
_canceladinha,@Aguiarthur aaaa,Wed Jan 19 14:21:10 +0000 2022,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",http://pbs.twimg.com/profile_images/1439065892588081152/s3zfz6vZ_normal.jpg
Bya11060843,@Aguiarthur @WeakpointRbr Já tô pronta doida pra chegar amanhã logo,Wed Jan 19 14:20:54 +0000 2022,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",http://pbs.twimg.com/profile_images/1434270097871458304/chBUjPvu_normal.jpg
Bya11060843,RT @Aguiarthur: @WeakpointRbr vem aí vem aí ✨✨✨✨,Wed Jan 19 14:20:39 +0000 2022,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",http://pbs.twimg.com/profile_images/1434270097871458304/chBUjPvu_normal.jpg
omeuluar,"@Aguiarthur Adm, amanhã tem 🗣️✨",Wed Jan 19 14:20:36 +0000 2022,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",http://pbs.twimg.com/profile_images/1483261589620994052/LZhIEVs__normal.jpg
