User,Tweet,Date,Source,Profile Photo
queenxblack,"RT @updatechartuc: Tiago Abravanel aposta que Arthur Aguiar, Jade Picon e Linn da Quebrada ainda entrarão no #BBB22. 

O NOVO TERROR DO BON…",Wed Jan 19 20:16:40 +0000 2022,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",http://pbs.twimg.com/profile_images/1475328296095207427/XlRHxx4t_normal.jpg
LEscollari,"RT @brunorahall: a produção: nossa que barulho eh esse

o arthur aguiar com a psicóloga do bbb de madrugada: https://t.co/cT7msMpB2C",Wed Jan 19 20:16:36 +0000 2022,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",http://pbs.twimg.com/profile_images/1422308226998099970/WUR0SfEP_normal.jpg
KekeGomes2,"RT @brunorahall: a produção: nossa que barulho eh esse

o arthur aguiar com a psicóloga do bbb de madrugada: https://t.co/cT7msMpB2C",Wed Jan 19 20:16:33 +0000 2022,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",http://pbs.twimg.com/profile_images/1483586875822649345/l-qa57NS_normal.jpg
Hellozika2,"RT @brunorahall: a produção: nossa que barulho eh esse

o arthur aguiar com a psicóloga do bbb de madrugada: https://t.co/cT7msMpB2C",Wed Jan 19 20:16:09 +0000 2022,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",http://pbs.twimg.com/profile_images/1427936329355104256/zg03HqwZ_normal.jpg
MariaThainarah,"RT @heavning: Amanhã tem a entrada do kingo Arthur Aguiar na casa do BBB, é a oportunidade perfeita pra flodar com essa fancam de Sobre tod…",Wed Jan 19 20:16:07 +0000 2022,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",http://pbs.twimg.com/profile_images/1478151420549509121/MJVVV_Z7_normal.jpg
fkaraminhos,"RT @brunorahall: a produção: nossa que barulho eh esse

o arthur aguiar com a psicóloga do bbb de madrugada: https://t.co/cT7msMpB2C",Wed Jan 19 20:16:02 +0000 2022,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",http://pbs.twimg.com/profile_images/1476099062168535041/ymEXCmG-_normal.jpg
gabiwxv,"RT @choquei: Jade Picon, Linn da Quebrada e Arthur Aguiar estão negativados para a COVID-19. Eles entrarão na casa amanhã pela manhã. #BBB22",Wed Jan 19 20:16:00 +0000 2022,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",http://pbs.twimg.com/profile_images/1474619919249690788/9MKBNYuT_normal.jpg
larinhaafl1,"RT @brunorahall: a produção: nossa que barulho eh esse

o arthur aguiar com a psicóloga do bbb de madrugada: https://t.co/cT7msMpB2C",Wed Jan 19 20:15:55 +0000 2022,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",http://pbs.twimg.com/profile_images/1466500787224432640/_YK9MBbQ_normal.jpg
e_nietzsche,"... #BBB22 o ABRAVA quem estava cotado pro camarote eram Jade Picon, Arthur Aguiar e Lynn da quebrada...
... Rodrig… https://t.co/HUY7th293P",Wed Jan 19 20:15:40 +0000 2022,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",http://pbs.twimg.com/profile_images/1375177864371388426/eJ_3R6RO_normal.jpg
aguiararthurinf,"Olá, pontos de luz. Nós do Info somos o mais novo perfil de informações do ator, cantor e participante do #BBB22 Ar… https://t.co/jHNY6Lw8uQ",Wed Jan 19 20:15:37 +0000 2022,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",http://pbs.twimg.com/profile_images/1483894375239270405/zduumjSB_normal.jpg
