Tweet,SentimentML,Alegria,Medo,Neutro,Nojo,Raiva,Tristeza,Alias
"rt @micaelofic pra deix clar fat est ansioso, vou torc pro @aguiarthur ! assim e…",'neutro',,,,,,,
"rt @alinewsaleh @mayracard intelig é, dev ter apoi ida @aguiarthur @bbb observál 24h dia ver c…",'neutro',,,,,,,
@micaelofic @aguiarthur amo tantooo #teamarthuragui,'neutro',,,,,,,
"@micaelofic @thurmeun @aguiarthur ai mika, obrig verdad signif ❤❤❤🤧",'neutro',,,,,,,
"rt @micaelofic pra deix clar fat est ansioso, vou torc pro @aguiarthur ! assim e…",'neutro',,,,,,,
@micaelofic @aguiarthur ser amig,'neutro',,,,,,,
"@mayracard intelig é, dev ter apoi ida @aguiarthur @bbb observál 24h dia e…",'neutro',,,,,,,
cab inimig fidel @aguiarthur brind pur entreten,'neutro',,,,,,,
"rt @micaelofic pra deix clar fat est ansioso, vou torc pro @aguiarthur ! assim e…",'neutro',,,,,,,
@atletvc @micaelofic @aguiarthur ment,'neutro',,,,,,,
@dcshalifo @micaelofic @aguiarthur doi,'raiva',,,,,,,
@redbeeti @micaelofic @aguiarthur deix fã rbr,'neutro',,,,,,,
"rt @micaelofic pra deix clar fat est ansioso, vou torc pro @aguiarthur ! assim e…",'neutro',,,,,,,
@micaelofic @aguiarthur rbl pra sempreeee,'neutro',,,,,,,
"camarot tá chegando! ⭐️ elenc fam #bbb22 entr log após comerc @tvglob dentr nomes, est…",'neutro',,,,,,,
@atletvc @micaelofic @aguiarthur deu,'alegria',,,,,,,
"rt @micaelofic pra deix clar fat est ansioso, vou torc pro @aguiarthur ! assim e…",'neutro',,,,,,,
@atletvc @micaelofic @aguiarthur mic,'alegria',,,,,,,
@micaelofic @aguiarthur lind,'alegria',,,,,,,
"rt @micaelofic pra deix clar fat est ansioso, vou torc pro @aguiarthur ! assim e…",'neutro',,,,,,,
@micaelofic @aguiarthur massa!!!!!!,'raiva',,,,,,,
@aguiarthur cad voce??????,'neutro',,,,,,,
@micaelofic @aguiarthur ❤️❤️❤️❤️❤️❤️❤️,'tristeza',,,,,,,
"rt @micaelofic pra deix clar fat est ansioso, vou torc pro @aguiarthur ! assim e…",'neutro',,,,,,,
@aguiarthur adm seg 💔,'neutro',,,,,,,
"rt @micaelofic pra deix clar fat est ansioso, vou torc pro @aguiarthur ! assim e…",'neutro',,,,,,,
@hspaiva_ @aguiarthur jamal igual rei chifr,'neutro',,,,,,,
@micaelofic @aguiarthur isso!!,'neutro',,,,,,,
"tô sent desesper @mayracardi, vend @aguiarthur aparec log cas #bbb22",'neutro',,,,,,,
"mulher segur onda, tio @aguiarthur tá cheg",'neutro',,,,,,,
@micaelofic @aguiarthur vsfkkkkkkkkkkk,'alegria',,,,,,,
@laragonncalv @micaelofic @aguiarthur bab,'alegria',,,,,,,
"rt @micaelofic pra deix clar fat est ansioso, vou torc pro @aguiarthur ! assim e…",'neutro',,,,,,,
rt @tuiteluc @micaelofic @aguiarthur coraçã rebeld sempr n aguent mic,'alegria',,,,,,,
"rt @micaelofic pra deix clar fat est ansioso, vou torc pro @aguiarthur ! assim e…",'neutro',,,,,,,
aguard ansios entr @aguiarthur #bbb22 torc evoluç const #teamarthuragui,'alegria',,,,,,,
"@micaelofic @aguiarthur kkkkkkkk fez noite, obg",'neutro',,,,,,,
agor tô ach franc cad @aguiarthur pra anim ness casa? #bbb22,'neutro',,,,,,,
"rt @micaelofic pra deix clar fat est ansioso, vou torc pro @aguiarthur ! assim e…",'neutro',,,,,,,
@aguiarthur deposit tod expect entreten fal rebeld tra mu…,'neutro',,,,,,,
"rt @micaelofic pra deix clar fat est ansioso, vou torc pro @aguiarthur ! assim e…",'neutro',,,,,,,
"rt @micaelofic pra deix clar fat est ansioso, vou torc pro @aguiarthur ! assim e…",'neutro',,,,,,,
"rt @micaelofic pra deix clar fat est ansioso, vou torc pro @aguiarthur ! assim e…",'neutro',,,,,,,
"rt @micaelofic pra deix clar fat est ansioso, vou torc pro @aguiarthur ! assim e…",'neutro',,,,,,,
@micaelofic @aguiarthur hm,'alegria',,,,,,,
@micaelofic @aguiarthur ai mik,'alegria',,,,,,,
"rt @micaelofic pra deix clar fat est ansioso, vou torc pro @aguiarthur ! assim e…",'neutro',,,,,,,
@micaelofic @aguiarthur mic vc eh lind trê,'alegria',,,,,,,
@micaelofic @aguiarthur junt tod exa rbr grav víde cant declar torc arthur e…,'neutro',,,,,,,
@micaelofic @aguiarthur 😍😍😍,'alegria',,,,,,,
@micaelofic @aguiarthur delic besti,'alegria',,,,,,,
@micaelofic @aguiarthur ai mic tam junt,'alegria',,,,,,,
"@micaelofic @aguiarthur amo vocês, saudad vc junt 😭",'neutro',,,,,,,
@kstewho @micaelofic @aguiarthur md descans,'alegria',,,,,,,
rt @tuiteluc @micaelofic @aguiarthur coraçã rebeld sempr n aguent mic,'alegria',,,,,,,
"rt @micaelofic pra deix clar fat est ansioso, vou torc pro @aguiarthur ! assim e…",'neutro',,,,,,,
rt @tuiteluc @micaelofic @aguiarthur coraçã rebeld sempr n aguent mic,'alegria',,,,,,,
@comentalic @micaelofic @aguiarthur mic car ser escrot mulh pro brasil tod ver carl tem…,'neutro',,,,,,,
"rt @micaelofic pra deix clar fat est ansioso, vou torc pro @aguiarthur ! assim e…",'neutro',,,,,,,
"rt @micaelofic pra deix clar fat est ansioso, vou torc pro @aguiarthur ! assim e…",'neutro',,,,,,,
rt @tuiteluc @micaelofic @aguiarthur coraçã rebeld sempr n aguent mic,'alegria',,,,,,,
"rt @micaelofic pra deix clar fat est ansioso, vou torc pro @aguiarthur ! assim e…",'neutro',,,,,,,
"rt @micaelofic pra deix clar fat est ansioso, vou torc pro @aguiarthur ! assim e…",'neutro',,,,,,,
@micaelofic @aguiarthur ❤️❤️,'tristeza',,,,,,,
@micaelofic @tropapri @aguiarthur tô contig mic ❤,'neutro',,,,,,,
@jadepicon @aguiarthur entr log plmd #bbb22 #bigbrotherbrasil,'alegria',,,,,,,
"rt @micaelofic pra deix clar fat est ansioso, vou torc pro @aguiarthur ! assim e…",'neutro',,,,,,,
@micaelofic @aguiarthur amooooooo🤩🤩,'alegria',,,,,,,
@micaelofic @laracomentt @aguiarthur amo,'neutro',,,,,,,
@micaelofic @takegg @aguiarthur tá quer pic sab ped,'neutro',,,,,,,
@micaelofic @aguiarthur mic bem amo vid,'neutro',,,,,,,
@micaelofic @aguiarthur aeee 🥳🥳👏👏 tô ansi falt vc lá,'raiva',,,,,,,
"rt @micaelofic pra deix clar fat est ansioso, vou torc pro @aguiarthur ! assim e…",'neutro',,,,,,,
"rt @micaelofic pra deix clar fat est ansioso, vou torc pro @aguiarthur ! assim e…",'neutro',,,,,,,
list @ particip #bbb22 pra facil @dra_laiscaldas @lucianoestevan @a_jessilan @eusouoeli…,'neutro',,,,,,,
"@aguiarthur zer vid fez rebelde, malh agor ta bbb aind galã #bbb22",'neutro',,,,,,,
"rt @micaelofic pra deix clar fat est ansioso, vou torc pro @aguiarthur ! assim e…",'neutro',,,,,,,
@micaelofic @aguiarthur acontec mic igual particip carl diaz agt revel ne mic,'neutro',,,,,,,
rt @tuiteluc @micaelofic @aguiarthur coraçã rebeld sempr n aguent mic,'alegria',,,,,,,
"rt @micaelofic pra deix clar fat est ansioso, vou torc pro @aguiarthur ! assim e…",'neutro',,,,,,,
@micaelofic @aguiarthur 🤧🤧🤧❤️❤️,'tristeza',,,,,,,
@micaelofic @aguiarthur amo tant vc car 😭,'neutro',,,,,,,
@micaelofic @aguiarthur amo aind #teamarthuragui,'neutro',,,,,,,
"rt @micaelofic pra deix clar fat est ansioso, vou torc pro @aguiarthur ! assim e…",'neutro',,,,,,,
"rt @micaelofic pra deix clar fat est ansioso, vou torc pro @aguiarthur ! assim e…",'neutro',,,,,,,
"rt @micaelofic pra deix clar fat est ansioso, vou torc pro @aguiarthur ! assim e…",'neutro',,,,,,,
@micaelofic @aguiarthur 😭😭😭😭😭😭😭😭😭😭😭😭,'alegria',,,,,,,
"rt @micaelofic pra deix clar fat est ansioso, vou torc pro @aguiarthur ! assim e…",'neutro',,,,,,,
"rt @micaelofic pra deix clar fat est ansioso, vou torc pro @aguiarthur ! assim e…",'neutro',,,,,,,
"rt @micaelofic pra deix clar fat est ansioso, vou torc pro @aguiarthur ! assim e…",'neutro',,,,,,,
@micaelofic @aguiarthur lind,'alegria',,,,,,,
"ok, vão entrar????#bbb22 #bigbrotherbrasil @aguiarthur @jadepicon",'neutro',,,,,,,
@micaelofic @aguiarthur amo,'neutro',,,,,,,
@micaelofic @aguiarthur amo,'neutro',,,,,,,
"rt @micaelofic pra deix clar fat est ansioso, vou torc pro @aguiarthur ! assim e…",'neutro',,,,,,,
"rt @micaelofic pra deix clar fat est ansioso, vou torc pro @aguiarthur ! assim e…",'neutro',,,,,,,
"rt @micaelofic pra deix clar fat est ansioso, vou torc pro @aguiarthur ! assim e…",'neutro',,,,,,,
"rt @micaelofic pra deix clar fat est ansioso, vou torc pro @aguiarthur ! assim e…",'neutro',,,,,,,
"@micaelofic @aguiarthur ach vai entr hoj ,só quint bb",'raiva',,,,,,,
"@micaelofic @pridesarthur @aguiarthur obrig isso, mika! ✨♥️ #teamarthuragui",'neutro',,,,,,,
"@micaelofic @aguiarthur vai faz mutirão, mika? kkkkkk",'neutro',,,,,,,
