Tweet,Emojis,SentimentML,Alegria,Medo,Neutro,Nojo,Raiva,Tristeza,Alias,Frequencias
"RT @updatechartuc: Arthur Aguiar afirma que não rotula sua sexualidade como ""eu sou"", mas sim como ""eu estou"", e que atualmente ""está heter…",set(),'neutro',[0.33],[0.01],[0.48],[0.0],[0.17],[0.01],[0.0],"['que - 2', 'como - 2', 'eu - 2', 'rt - 1', 'updatechartuc - 1', 'arthur - 1', 'aguiar - 1', 'afirma - 1', 'não - 1', 'rotula - 1', 'sua - 1', 'sexualidade - 1', 'sou - 1', 'mas - 1', 'sim - 1', 'estou - 1', 'e - 1', 'atualmente - 1', 'está - 1']"
RT @caioboxd: arthur aguiar treinadíssimo jogou 16 calcinhas pela janela do quarto,set(),'alegria',[0.5],[0.01],[0.32],[0.0],[0.16],[0.01],[0.0],"['rt - 1', 'caioboxd - 1', 'arthur - 1', 'aguiar - 1', 'treinadíssimo - 1', 'jogou - 1', 'calcinhas - 1', 'pela - 1', 'janela - 1', 'do - 1', 'quarto - 1']"
"RT @desafetuoso: E o Arthur Aguiar que não moveu um musculo para abraçar a Laís

SIMPLESMENTE O HOMEM MAIS FIEL DA FACE DA TERRA, VICIADO E…",set(),'alegria',[0.5],[0.01],[0.32],[0.0],[0.16],[0.01],[0.0],"['o - 2', 'da - 2', 'rt - 1', 'desafetuoso - 1', 'e - 1', 'arthur - 1', 'aguiar - 1', 'que - 1', 'não - 1', 'moveu - 1', 'um - 1', 'musculo - 1', 'para - 1', 'abraçar - 1', 'a - 1', 'laís - 1', 'simplesmente - 1', 'homem - 1', 'mais - 1', 'fiel - 1', 'face - 1', 'terra - 1', 'viciado - 1']"
"RT @desafetuoso: E o Arthur Aguiar que não moveu um musculo para abraçar a Laís

SIMPLESMENTE O HOMEM MAIS FIEL DA FACE DA TERRA, VICIADO E…",set(),'alegria',[0.5],[0.01],[0.32],[0.0],[0.16],[0.01],[0.0],"['o - 2', 'da - 2', 'rt - 1', 'desafetuoso - 1', 'e - 1', 'arthur - 1', 'aguiar - 1', 'que - 1', 'não - 1', 'moveu - 1', 'um - 1', 'musculo - 1', 'para - 1', 'abraçar - 1', 'a - 1', 'laís - 1', 'simplesmente - 1', 'homem - 1', 'mais - 1', 'fiel - 1', 'face - 1', 'terra - 1', 'viciado - 1']"
"RT @desafetuoso: E o Arthur Aguiar que não moveu um musculo para abraçar a Laís

SIMPLESMENTE O HOMEM MAIS FIEL DA FACE DA TERRA, VICIADO E…",set(),'alegria',[0.5],[0.01],[0.32],[0.0],[0.16],[0.01],[0.0],"['o - 2', 'da - 2', 'rt - 1', 'desafetuoso - 1', 'e - 1', 'arthur - 1', 'aguiar - 1', 'que - 1', 'não - 1', 'moveu - 1', 'um - 1', 'musculo - 1', 'para - 1', 'abraçar - 1', 'a - 1', 'laís - 1', 'simplesmente - 1', 'homem - 1', 'mais - 1', 'fiel - 1', 'face - 1', 'terra - 1', 'viciado - 1']"
"A prova de resistência do Arthur Aguiar, ficar sem mexer um músculo enquanto a Laís abraça ele
#bbb22 https://t.co/W5HwRWAwW6",set(),'alegria',[0.5],[0.01],[0.32],[0.0],[0.16],[0.01],[0.0],"['a - 2', 'prova - 1', 'de - 1', 'resistência - 1', 'do - 1', 'arthur - 1', 'aguiar - 1', 'ficar - 1', 'sem - 1', 'mexer - 1', 'um - 1', 'músculo - 1', 'enquanto - 1', 'laís - 1', 'abraça - 1', 'ele - 1', 'https - 1']"
RT @adeldisse: @Aguiarthur Abrava: https://t.co/dmjjkzjZ5X,set(),'alegria',[0.5],[0.01],[0.32],[0.0],[0.16],[0.01],[0.0],"['rt - 1', 'adeldisse - 1', 'aguiarthur - 1', 'abrava - 1', 'https - 1']"
@jucomentsx @Aguiarthur faz a boa e arranja follow dele p mim,set(),'alegria',[0.5],[0.01],[0.32],[0.0],[0.16],[0.01],[0.0],"['jucomentsx - 1', 'aguiarthur - 1', 'faz - 1', 'a - 1', 'boa - 1', 'e - 1', 'arranja - 1', 'follow - 1', 'dele - 1', 'p - 1', 'mim - 1']"
@Aguiarthur https://t.co/BrM5qLBthM,set(),'alegria',[0.5],[0.01],[0.32],[0.0],[0.16],[0.01],[0.0],"['aguiarthur - 1', 'https - 1']"
"RT @desafetuoso: E o Arthur Aguiar que não moveu um musculo para abraçar a Laís

SIMPLESMENTE O HOMEM MAIS FIEL DA FACE DA TERRA, VICIADO E…",set(),'alegria',[0.5],[0.01],[0.32],[0.0],[0.16],[0.01],[0.0],"['o - 2', 'da - 2', 'rt - 1', 'desafetuoso - 1', 'e - 1', 'arthur - 1', 'aguiar - 1', 'que - 1', 'não - 1', 'moveu - 1', 'um - 1', 'musculo - 1', 'para - 1', 'abraçar - 1', 'a - 1', 'laís - 1', 'simplesmente - 1', 'homem - 1', 'mais - 1', 'fiel - 1', 'face - 1', 'terra - 1', 'viciado - 1']"
"#BBB22 : Douglas Silva e Arthur Aguiar vencem prova da imunidade do grupo Camarote
https://t.co/PmOmLC7Egv https://t.co/gAInFMWkX1",set(),'alegria',[0.5],[0.01],[0.32],[0.0],[0.16],[0.01],[0.0],"['https - 2', 'douglas - 1', 'silva - 1', 'e - 1', 'arthur - 1', 'aguiar - 1', 'vencem - 1', 'prova - 1', 'da - 1', 'imunidade - 1', 'do - 1', 'grupo - 1', 'camarote - 1']"
RT @laholiva: deus que me perdoe mas eu não teria maturidade nenhuma de participar da mesma edição que o arthur aguiar e não fazer nem UMA…,set(),'alegria',[0.5],[0.01],[0.32],[0.0],[0.16],[0.01],[0.0],"['que - 2', 'não - 2', 'rt - 1', 'laholiva - 1', 'deus - 1', 'me - 1', 'perdoe - 1', 'mas - 1', 'eu - 1', 'teria - 1', 'maturidade - 1', 'nenhuma - 1', 'de - 1', 'participar - 1', 'da - 1', 'mesma - 1', 'edição - 1', 'o - 1', 'arthur - 1', 'aguiar - 1', 'e - 1', 'fazer - 1', 'nem - 1']"
RT @tracklist: 2) ✨Arthur Aguiar✨ https://t.co/ypKuG3IQSg,{'✨'},'alegria',[0.5],[0.01],[0.32],[0.0],[0.16],[0.01],[0.0],"['rt - 1', 'tracklist - 1', 'https - 1']"
@letsooou Arthur Aguiar???,set(),'alegria',[0.5],[0.01],[0.32],[0.0],[0.16],[0.01],[0.0],"['letsooou - 1', 'arthur - 1', 'aguiar - 1']"
"Luciano para Arthur Aguiar: 
#BBB22 https://t.co/GFHEYuSeVQ",set(),'alegria',[0.5],[0.01],[0.32],[0.0],[0.16],[0.01],[0.0],"['luciano - 1', 'para - 1', 'arthur - 1', 'aguiar - 1', 'https - 1']"
RT @forumpandlr: Filha de Arthur Aguiar sofre parada respiratória. Sophia foi socorrida e precisou receber dosagem de adrenalina para conse…,set(),'alegria',[0.93],[0.0],[0.04],[0.0],[0.03],[0.0],[0.0],"['de - 2', 'rt - 1', 'forumpandlr - 1', 'filha - 1', 'arthur - 1', 'aguiar - 1', 'sofre - 1', 'parada - 1', 'respiratória - 1', 'sophia - 1', 'foi - 1', 'socorrida - 1', 'e - 1', 'precisou - 1', 'receber - 1', 'dosagem - 1', 'adrenalina - 1', 'para - 1']"
RT @louhany_beatriz: arthur aguiar pra mim sempre será o diego de rebelde,set(),'neutro',[0.33],[0.01],[0.48],[0.0],[0.17],[0.01],[0.0],"['rt - 1', 'arthur - 1', 'aguiar - 1', 'pra - 1', 'mim - 1', 'sempre - 1', 'será - 1', 'o - 1', 'diego - 1', 'de - 1', 'rebelde - 1']"
RT @lucasvivot: 10 minutos e o arthur aguiar não pegou ninguém.............. um novo homem?,set(),'alegria',[0.5],[0.01],[0.32],[0.0],[0.16],[0.01],[0.0],"['rt - 1', 'lucasvivot - 1', 'minutos - 1', 'e - 1', 'o - 1', 'arthur - 1', 'aguiar - 1', 'não - 1', 'pegou - 1', 'ninguém - 1', 'um - 1', 'novo - 1', 'homem - 1']"
RT @forumpandlr: Filha de Arthur Aguiar sofre parada respiratória. Sophia foi socorrida e precisou receber dosagem de adrenalina para conse…,set(),'alegria',[0.93],[0.0],[0.04],[0.0],[0.03],[0.0],[0.0],"['de - 2', 'rt - 1', 'forumpandlr - 1', 'filha - 1', 'arthur - 1', 'aguiar - 1', 'sofre - 1', 'parada - 1', 'respiratória - 1', 'sophia - 1', 'foi - 1', 'socorrida - 1', 'e - 1', 'precisou - 1', 'receber - 1', 'dosagem - 1', 'adrenalina - 1', 'para - 1']"
"RT @Aguiarthur: Maria: aí vai abrir a tela e vai perguntar “QUEM É VOCÊ?” aí você clica lá no seu nomezinho
Arthur: e se eu quiser falar AB…",set(),'alegria',[0.5],[0.01],[0.32],[0.0],[0.16],[0.01],[0.0],"['aí - 2', 'vai - 2', 'e - 2', 'você - 2', 'rt - 1', 'aguiarthur - 1', 'maria - 1', 'abrir - 1', 'a - 1', 'tela - 1', 'perguntar - 1', 'quem - 1', 'é - 1', 'clica - 1', 'lá - 1', 'no - 1', 'seu - 1', 'nomezinho - 1', 'arthur - 1', 'se - 1', 'eu - 1', 'quiser - 1', 'falar - 1']"
RT @lucasvivot: 10 minutos e o arthur aguiar não pegou ninguém.............. um novo homem?,set(),'alegria',[0.5],[0.01],[0.32],[0.0],[0.16],[0.01],[0.0],"['rt - 1', 'lucasvivot - 1', 'minutos - 1', 'e - 1', 'o - 1', 'arthur - 1', 'aguiar - 1', 'não - 1', 'pegou - 1', 'ninguém - 1', 'um - 1', 'novo - 1', 'homem - 1']"
@fakecel_ literalmente um casamento surpresa. organizar um casamento e pedir pra se encontrar uma pessoa em um luga… https://t.co/n19GopkEKs,set(),'alegria',[0.5],[0.01],[0.32],[0.0],[0.16],[0.01],[0.0],"['um - 3', 'casamento - 2', 'literalmente - 1', 'surpresa - 1', 'organizar - 1', 'e - 1', 'pedir - 1', 'pra - 1', 'se - 1', 'encontrar - 1', 'uma - 1', 'pessoa - 1', 'em - 1', 'https - 1']"
"RT @smoakesby: eu particularmente não tenho nada contra o arthur aguiar, se a própria corna que é a corna não se incomoda com os chifres eu…",set(),'alegria',[0.5],[0.01],[0.32],[0.0],[0.16],[0.01],[0.0],"['não - 2', 'se - 2', 'a - 2', 'corna - 2', 'rt - 1', 'smoakesby - 1', 'eu - 1', 'particularmente - 1', 'tenho - 1', 'nada - 1', 'contra - 1', 'o - 1', 'arthur - 1', 'aguiar - 1', 'própria - 1', 'que - 1', 'é - 1', 'incomoda - 1', 'com - 1', 'os - 1', 'chifres - 1']"
@Aguiarthur Hahahahahahah a vida da adm tá difícil.,set(),'alegria',[0.5],[0.01],[0.32],[0.0],[0.16],[0.01],[0.0],"['aguiarthur - 1', 'hahahahahahah - 1', 'a - 1', 'vida - 1', 'da - 1', 'adm - 1', 'tá - 1', 'difícil - 1']"
"RT @Mfutebolisticos: EU TAVA ESPERANDO ESSA CENA KKKKKKKKKKKKKKKKKKKKKKKKKK

SIMPLESMENTE ARTHUR AGUIAR #BBB22 https://t.co/yCZAYgqx5V",set(),'alegria',[0.5],[0.01],[0.32],[0.0],[0.16],[0.01],[0.0],"['rt - 1', 'mfutebolisticos - 1', 'eu - 1', 'tava - 1', 'esperando - 1', 'essa - 1', 'cena - 1', 'kkkkkkkkkkkkkkkkkkkkkkkkkk - 1', 'simplesmente - 1', 'arthur - 1', 'aguiar - 1', 'https - 1']"
@Aguiarthur @portalaguiarofc Ele é tão fofinho ✨,{'✨'},'alegria',[0.5],[0.01],[0.32],[0.0],[0.16],[0.01],[0.0],"['aguiarthur - 1', 'portalaguiarofc - 1', 'ele - 1', 'é - 1', 'tão - 1', 'fofinho - 1']"
"RT @desafetuoso: E o Arthur Aguiar que não moveu um musculo para abraçar a Laís

SIMPLESMENTE O HOMEM MAIS FIEL DA FACE DA TERRA, VICIADO E…",set(),'alegria',[0.5],[0.01],[0.32],[0.0],[0.16],[0.01],[0.0],"['o - 2', 'da - 2', 'rt - 1', 'desafetuoso - 1', 'e - 1', 'arthur - 1', 'aguiar - 1', 'que - 1', 'não - 1', 'moveu - 1', 'um - 1', 'musculo - 1', 'para - 1', 'abraçar - 1', 'a - 1', 'laís - 1', 'simplesmente - 1', 'homem - 1', 'mais - 1', 'fiel - 1', 'face - 1', 'terra - 1', 'viciado - 1']"
"RT @rrdsbj: O inimigo é ardiloso mas assim como Jesus Cristo, Arthur Aguiar vai resistir as tentações",set(),'alegria',[0.5],[0.01],[0.32],[0.0],[0.16],[0.01],[0.0],"['rt - 1', 'rrdsbj - 1', 'o - 1', 'inimigo - 1', 'é - 1', 'ardiloso - 1', 'mas - 1', 'assim - 1', 'como - 1', 'jesus - 1', 'cristo - 1', 'arthur - 1', 'aguiar - 1', 'vai - 1', 'resistir - 1', 'as - 1', 'tentações - 1']"
"RT @desafetuoso: E o Arthur Aguiar que não moveu um musculo para abraçar a Laís

SIMPLESMENTE O HOMEM MAIS FIEL DA FACE DA TERRA, VICIADO E…",set(),'alegria',[0.5],[0.01],[0.32],[0.0],[0.16],[0.01],[0.0],"['o - 2', 'da - 2', 'rt - 1', 'desafetuoso - 1', 'e - 1', 'arthur - 1', 'aguiar - 1', 'que - 1', 'não - 1', 'moveu - 1', 'um - 1', 'musculo - 1', 'para - 1', 'abraçar - 1', 'a - 1', 'laís - 1', 'simplesmente - 1', 'homem - 1', 'mais - 1', 'fiel - 1', 'face - 1', 'terra - 1', 'viciado - 1']"
RT @OliveiraFabia_: https://t.co/HmrikhGyKn,set(),'alegria',[0.5],[0.01],[0.32],[0.0],[0.16],[0.01],[0.0],"['rt - 1', 'https - 1']"
RT @lucasvivot: 10 minutos e o arthur aguiar não pegou ninguém.............. um novo homem?,set(),'alegria',[0.5],[0.01],[0.32],[0.0],[0.16],[0.01],[0.0],"['rt - 1', 'lucasvivot - 1', 'minutos - 1', 'e - 1', 'o - 1', 'arthur - 1', 'aguiar - 1', 'não - 1', 'pegou - 1', 'ninguém - 1', 'um - 1', 'novo - 1', 'homem - 1']"
