Tweet,Emojis,SentimentML,Alegria,Medo,Neutro,Nojo,Raiva,Tristeza,Alias,Frequencias,Frequency,Count
"RT @cariocaaa33: Douglas simplesmente tirou todos os homens e deixou Arthur Aguiar com 10 mulheres, mais uma prova de resistência pro nosso…",set(),'alegria',[0.5],[0.01],[0.32],[0.0],[0.16],[0.01],[0.0],"['rt', 'douglas', 'simplesmente', 'tirou', 'todos', 'os', 'homens', 'e', 'deixou', 'arthur', 'aguiar', 'com', 'mulheres', 'mais', 'uma', 'prova', 'de', 'resistência', 'pro']",: 131,2
"RT @fatouoficial: O Arthur Aguiar é o NFT da Mayra Cardi. É dela no papel, mas todo mundo tem acesso",set(),'raiva',[0.35],[0.01],[0.26],[0.0],[0.36],[0.01],[0.0],"['o', 'é', 'rt', 'fatouoficial', 'arthur', 'aguiar', 'nft', 'da', 'mayra', 'cardi', 'dela', 'no', 'papel', 'mas', 'todo', 'mundo', 'tem', 'acesso']",arthur: 18,1
"RT @Guilher05459881: O Arthur Aguiar ouvindo as conversas dos pipocas só me lembrou a Sarah no BBB 21 

 #BBB22 #REDEBBB 

Tirei Jade Picon…",set(),'alegria',[0.5],[0.01],[0.32],[0.0],[0.16],[0.01],[0.0],"['rt', 'o', 'arthur', 'aguiar', 'ouvindo', 'as', 'conversas', 'dos', 'pipocas', 'só', 'me', 'lembrou', 'a', 'sarah', 'no', 'bbb', 'redebbb', 'tirei', 'jade']",,
"RT @fatouoficial: O Arthur Aguiar é o NFT da Mayra Cardi. É dela no papel, mas todo mundo tem acesso",set(),'raiva',[0.35],[0.01],[0.26],[0.0],[0.36],[0.01],[0.0],"['o', 'é', 'rt', 'fatouoficial', 'arthur', 'aguiar', 'nft', 'da', 'mayra', 'cardi', 'dela', 'no', 'papel', 'mas', 'todo', 'mundo', 'tem', 'acesso']",,
"RT @cariocaaa33: Douglas simplesmente tirou todos os homens e deixou Arthur Aguiar com 10 mulheres, mais uma prova de resistência pro nosso…",set(),'alegria',[0.5],[0.01],[0.32],[0.0],[0.16],[0.01],[0.0],"['rt', 'douglas', 'simplesmente', 'tirou', 'todos', 'os', 'homens', 'e', 'deixou', 'arthur', 'aguiar', 'com', 'mulheres', 'mais', 'uma', 'prova', 'de', 'resistência', 'pro']",,
"@DaviCirilo @Aguiarthur Tá certo ouvir mesmo, ali tem que ficar atento a tudo!",set(),'alegria',[0.5],[0.01],[0.32],[0.0],[0.16],[0.01],[0.0],"['davicirilo', 'aguiarthur', 'tá', 'certo', 'ouvir', 'mesmo', 'ali', 'tem', 'que', 'ficar', 'atento', 'a', 'tudo']",,
"RT @cariocaaa33: Douglas simplesmente tirou todos os homens e deixou Arthur Aguiar com 10 mulheres, mais uma prova de resistência pro nosso…",set(),'alegria',[0.5],[0.01],[0.32],[0.0],[0.16],[0.01],[0.0],"['rt', 'douglas', 'simplesmente', 'tirou', 'todos', 'os', 'homens', 'e', 'deixou', 'arthur', 'aguiar', 'com', 'mulheres', 'mais', 'uma', 'prova', 'de', 'resistência', 'pro']",,
"RT @fatouoficial: O Arthur Aguiar é o NFT da Mayra Cardi. É dela no papel, mas todo mundo tem acesso",set(),'raiva',[0.35],[0.01],[0.26],[0.0],[0.36],[0.01],[0.0],"['o', 'é', 'rt', 'fatouoficial', 'arthur', 'aguiar', 'nft', 'da', 'mayra', 'cardi', 'dela', 'no', 'papel', 'mas', 'todo', 'mundo', 'tem', 'acesso']",,
"RT @fatouoficial: O Arthur Aguiar é o NFT da Mayra Cardi. É dela no papel, mas todo mundo tem acesso",set(),'raiva',[0.35],[0.01],[0.26],[0.0],[0.36],[0.01],[0.0],"['o', 'é', 'rt', 'fatouoficial', 'arthur', 'aguiar', 'nft', 'da', 'mayra', 'cardi', 'dela', 'no', 'papel', 'mas', 'todo', 'mundo', 'tem', 'acesso']",,
"RT @fatouoficial: O Arthur Aguiar é o NFT da Mayra Cardi. É dela no papel, mas todo mundo tem acesso",set(),'raiva',[0.35],[0.01],[0.26],[0.0],[0.36],[0.01],[0.0],"['o', 'é', 'rt', 'fatouoficial', 'arthur', 'aguiar', 'nft', 'da', 'mayra', 'cardi', 'dela', 'no', 'papel', 'mas', 'todo', 'mundo', 'tem', 'acesso']",,
"RT @Aguiarthur: Arthur falando que achava que o Douglas fosse puxar ele pro VIP por conta da prova que fizeram juntos, mas que isso não imp…",set(),'alegria',[0.5],[0.01],[0.32],[0.0],[0.16],[0.01],[0.0],"['que', 'rt', 'aguiarthur', 'arthur', 'falando', 'achava', 'o', 'douglas', 'fosse', 'puxar', 'ele', 'pro', 'vip', 'por', 'conta', 'da', 'prova', 'fizeram', 'juntos', 'mas', 'isso', 'não']",,
RT @JadeReflexiva: Arthur Aguiar fazendo o racionamento das comidas da xepa pq já tá acostumado a passar fome com as dietas loucas da Mayra…,set(),'raiva',[0.35],[0.01],[0.26],[0.0],[0.36],[0.01],[0.0],"['da', 'rt', 'jadereflexiva', 'arthur', 'aguiar', 'fazendo', 'o', 'racionamento', 'das', 'comidas', 'xepa', 'pq', 'já', 'tá', 'acostumado', 'a', 'passar', 'fome', 'com', 'as', 'dietas', 'loucas']",,
"RT @cariocaaa33: Douglas simplesmente tirou todos os homens e deixou Arthur Aguiar com 10 mulheres, mais uma prova de resistência pro nosso…",set(),'alegria',[0.5],[0.01],[0.32],[0.0],[0.16],[0.01],[0.0],"['rt', 'douglas', 'simplesmente', 'tirou', 'todos', 'os', 'homens', 'e', 'deixou', 'arthur', 'aguiar', 'com', 'mulheres', 'mais', 'uma', 'prova', 'de', 'resistência', 'pro']",,
e deixou o casado viciado em amar arthur aguiar com as muié 🗣🗣 https://t.co/B460unH3I0,set(),'alegria',[0.5],[0.01],[0.32],[0.0],[0.16],[0.01],[0.0],"['e', 'deixou', 'o', 'casado', 'viciado', 'em', 'amar', 'arthur', 'aguiar', 'com', 'as', 'muié', 'https']",,
