Tweet,Emojis,SentimentML,Quantidade,Alegria,Medo,Neutro,Nojo,Raiva,Tristeza,Alias,Frequencias,Frequency,Frequencias2
"A única chance da mina da Ludmilla dar certo nesse programa, seria ela pegar o Arthur Aguiar e iniciar um ciclo de… https://t.co/ikd2oFa1yY",set(),'neutro',100,[0.33],[0.01],[0.48],[0.0],[0.17],[0.01],[0.0],"['a', 'live', 'do', 'é', 'show']",a: 100,"['a', 'live', 'do', 'é', 'show']"
RT @vanglockkk: prova de resistência do Arthur Aguiar é ficar 3 meses sem trair a mulher em rede nacional,set(),'alegria',100,[0.5],[0.01],[0.32],[0.0],[0.16],[0.01],[0.0],"['a', 'live', 'do', 'é', 'show']",live: 100,"['a', 'live', 'do', 'é', 'show']"
"RT @garotxdoblogofc: O Arthur Aguiar no bbb vai fornecer dois entretenimento, ele lá dentro e a mayra Cardi aqui fora",set(),'alegria',100,[0.5],[0.01],[0.32],[0.0],[0.16],[0.01],[0.0],"['a', 'live', 'do', 'é', 'show']",do: 100,"['a', 'live', 'do', 'é', 'show']"
RT @katnissong: arthur aguiar estou depositando todas as minhas expectativas de entretenimento em VOCÊ fale de rebelde traia a sua mulher e…,set(),'alegria',100,[0.5],[0.01],[0.32],[0.0],[0.16],[0.01],[0.0],"['a', 'live', 'do', 'é', 'show']",é: 100,"['a', 'live', 'do', 'é', 'show']"
RT @chicobarney: Arthur Aguiar é a primeira celebridade que entra cancelada no #BBB22. Isso era uma tradição apenas de #AFazenda.,set(),'alegria',100,[0.5],[0.01],[0.32],[0.0],[0.16],[0.01],[0.0],"['a', 'live', 'do', 'é', 'show']",show: 100,"['a', 'live', 'do', 'é', 'show']"
RT @PaolaDeboche: Mayra Cardi dando pronunciamento aqui fora quando Arthur Aguiar ficar com alguém no bbb. #BBB22 https://t.co/ODmmVpsvp0,set(),'alegria',100,[0.5],[0.01],[0.32],[0.0],[0.16],[0.01],[0.0],"['a', 'live', 'do', 'é', 'show']",,
arthur aguiar estou confiando em vc pra nos servir entretenimento de qualidade,set(),'raiva',100,[0.35],[0.01],[0.26],[0.0],[0.36],[0.01],[0.0],"['a', 'live', 'do', 'é', 'show']",,
RT @vanglockkk: prova de resistência do Arthur Aguiar é ficar 3 meses sem trair a mulher em rede nacional,set(),'alegria',100,[0.5],[0.01],[0.32],[0.0],[0.16],[0.01],[0.0],"['a', 'live', 'do', 'é', 'show']",,
"RT @xmaicow: o brasil esperava: T3ddy 
recebeu: Arthur Aguiar no BBB 🤡 https://t.co/iA9o0sj9e7",{'🤡'},'alegria',100,[0.5],[0.01],[0.32],[0.0],[0.16],[0.01],[0.0],"['a', 'live', 'do', 'é', 'show']",,
RT @vanglockkk: prova de resistência do Arthur Aguiar é ficar 3 meses sem trair a mulher em rede nacional,set(),'alegria',100,[0.5],[0.01],[0.32],[0.0],[0.16],[0.01],[0.0],"['a', 'live', 'do', 'é', 'show']",,
