Tweet,Emojis,SentimentML,Quantidade,Alegria,Medo,Neutro,Nojo,Raiva,Tristeza,Alias,Frequencias,Phrase,Words,Frequency
@Aguiarthur Que fofura  😍,{'😍'},'alegria',97,[0.5],[0.01],[0.32],[0.0],[0.16],[0.01],[0.0],"['que', 'fofura']","['que', 'fofura']",arthur,71
RT @lukedoamor: O Arthur Aguiar na primeira oportunidade dentro da casa: https://t.co/5e8RlLDRO5,set(),'neutro',97,[0.33],[0.01],[0.48],[0.0],[0.17],[0.01],[0.0],"['rt', 'o', 'arthur', 'aguiar', 'na', 'primeira', 'oportunidade', 'dentro', 'da', 'casa']","['rt', 'o', 'arthur', 'aguiar', 'na', 'primeira', 'oportunidade', 'dentro', 'da', 'casa']",aguiar,66
"RT @dudascr_: se Mayra Cardi não tá se doendo com as gaias q levou, eu q não vou jogar hate em Arthur Aguiar de graça, gosto dele sim (váli…",set(),'alegria',97,[0.5],[0.01],[0.32],[0.0],[0.16],[0.01],[0.0],"['se', 'não', 'q', 'rt', 'mayra', 'cardi', 'tá', 'doendo', 'com', 'as', 'gaias', 'levou', 'eu', 'vou', 'jogar', 'hate', 'em', 'arthur', 'aguiar', 'de', 'graça', 'gosto', 'dele', 'sim', 'váli']","['se', 'não', 'q', 'rt', 'mayra', 'cardi', 'tá', 'doendo', 'com', 'as', 'gaias', 'levou', 'eu', 'vou', 'jogar', 'hate', 'em', 'arthur', 'aguiar', 'de', 'graça', 'gosto', 'dele', 'sim', 'váli']",rt,63
RT @lukedoamor: O Arthur Aguiar na primeira oportunidade dentro da casa: https://t.co/5e8RlLDRO5,set(),'neutro',97,[0.33],[0.01],[0.48],[0.0],[0.17],[0.01],[0.0],"['rt', 'o', 'arthur', 'aguiar', 'na', 'primeira', 'oportunidade', 'dentro', 'da', 'casa']","['rt', 'o', 'arthur', 'aguiar', 'na', 'primeira', 'oportunidade', 'dentro', 'da', 'casa']",que,47
RT @legadaodamassa: MAIS FEMINISTA QUE ARTHUR AGUIAR??????,set(),'alegria',97,[0.5],[0.01],[0.32],[0.0],[0.16],[0.01],[0.0],"['rt', 'mais', 'feminista', 'que', 'arthur', 'aguiar']","['rt', 'mais', 'feminista', 'que', 'arthur', 'aguiar']",feminista,32
RT @legadaodamassa: MAIS FEMINISTA QUE ARTHUR AGUIAR??????,set(),'alegria',97,[0.5],[0.01],[0.32],[0.0],[0.16],[0.01],[0.0],"['rt', 'mais', 'feminista', 'que', 'arthur', 'aguiar']","['rt', 'mais', 'feminista', 'que', 'arthur', 'aguiar']",mais,31
RT @legadaodamassa: MAIS FEMINISTA QUE ARTHUR AGUIAR??????,set(),'alegria',97,[0.5],[0.01],[0.32],[0.0],[0.16],[0.01],[0.0],"['rt', 'mais', 'feminista', 'que', 'arthur', 'aguiar']","['rt', 'mais', 'feminista', 'que', 'arthur', 'aguiar']",o,23
RT @legadaodamassa: MAIS FEMINISTA QUE ARTHUR AGUIAR??????,set(),'alegria',97,[0.5],[0.01],[0.32],[0.0],[0.16],[0.01],[0.0],"['rt', 'mais', 'feminista', 'que', 'arthur', 'aguiar']","['rt', 'mais', 'feminista', 'que', 'arthur', 'aguiar']",a,19
RT @legadaodamassa: MAIS FEMINISTA QUE ARTHUR AGUIAR??????,set(),'alegria',97,[0.5],[0.01],[0.32],[0.0],[0.16],[0.01],[0.0],"['rt', 'mais', 'feminista', 'que', 'arthur', 'aguiar']","['rt', 'mais', 'feminista', 'que', 'arthur', 'aguiar']",da,14
RT @legadaodamassa: MAIS FEMINISTA QUE ARTHUR AGUIAR??????,set(),'alegria',97,[0.5],[0.01],[0.32],[0.0],[0.16],[0.01],[0.0],"['rt', 'mais', 'feminista', 'que', 'arthur', 'aguiar']","['rt', 'mais', 'feminista', 'que', 'arthur', 'aguiar']",primeira,13
"RT @siteptbr: Arthur Aguiar: ""Por que homem pode tirar a blusa e elas não, claro que pode!"" 

MAYRA CARDIIIIIII 🆘🆘 #BBB22 https://t.co/BiSz…",{'🆘'},'alegria',97,[0.5],[0.01],[0.32],[0.0],[0.16],[0.01],[0.0],"['que', 'pode', 'rt', 'arthur', 'aguiar', 'por', 'homem', 'tirar', 'a', 'blusa', 'e', 'elas', 'não', 'claro', 'mayra', 'cardiiiiiii']","['que', 'pode', 'rt', 'arthur', 'aguiar', 'por', 'homem', 'tirar', 'a', 'blusa', 'e', 'elas', 'não', 'claro', 'mayra', 'cardiiiiiii']",na,12
RT @Aguiarthur: Colírio para nossos olhos 🥵 https://t.co/u78aHrygZn,{'🥵'},'alegria',97,[0.5],[0.01],[0.32],[0.0],[0.16],[0.01],[0.0],"['rt', 'colírio', 'para', 'nossos', 'olhos']","['rt', 'colírio', 'para', 'nossos', 'olhos']",oportunidade,12
RT @lukedoamor: O Arthur Aguiar na primeira oportunidade dentro da casa: https://t.co/5e8RlLDRO5,set(),'neutro',97,[0.33],[0.01],[0.48],[0.0],[0.17],[0.01],[0.0],"['rt', 'o', 'arthur', 'aguiar', 'na', 'primeira', 'oportunidade', 'dentro', 'da', 'casa']","['rt', 'o', 'arthur', 'aguiar', 'na', 'primeira', 'oportunidade', 'dentro', 'da', 'casa']",dentro,12
@jufaccion_ então você pegaria o arthur aguiar?👀,{'👀'},'alegria',97,[0.5],[0.01],[0.32],[0.0],[0.16],[0.01],[0.0],"['então', 'você', 'pegaria', 'o', 'arthur', 'aguiar']","['então', 'você', 'pegaria', 'o', 'arthur', 'aguiar']",casa,12
RT @legadaodamassa: MAIS FEMINISTA QUE ARTHUR AGUIAR??????,set(),'alegria',97,[0.5],[0.01],[0.32],[0.0],[0.16],[0.01],[0.0],"['rt', 'mais', 'feminista', 'que', 'arthur', 'aguiar']","['rt', 'mais', 'feminista', 'que', 'arthur', 'aguiar']",de,10
RT @legadaodamassa: MAIS FEMINISTA QUE ARTHUR AGUIAR??????,set(),'alegria',97,[0.5],[0.01],[0.32],[0.0],[0.16],[0.01],[0.0],"['rt', 'mais', 'feminista', 'que', 'arthur', 'aguiar']","['rt', 'mais', 'feminista', 'que', 'arthur', 'aguiar']",não,9
