User,Tweet,Date,Source,Profile Photo
otavio_theisen,"RT @brunorahall: a produção: nossa que barulho eh esse

o arthur aguiar com a psicóloga do bbb de madrugada: https://t.co/cT7msMpB2C",Wed Jan 19 20:19:09 +0000 2022,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",http://pbs.twimg.com/profile_images/1458539530861096972/G4R6luCZ_normal.jpg
AngelaC30052620,"@Aguiarthur Eu quero follow adm, please https://t.co/g6UCg3eInT",Wed Jan 19 20:19:02 +0000 2022,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",http://pbs.twimg.com/profile_images/1380176199381614604/0vyjzxNH_normal.jpg
bellycomentts,"Tô em busca dos follows dos adms do @Aguiarthur @eslomarques @oficialmussi @bbaheck 
Tô com todos os emojis no nome ❤️",Wed Jan 19 20:18:57 +0000 2022,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",http://pbs.twimg.com/profile_images/1483767397739741184/2NoYtYBc_normal.png
Vinicaoo0,Arthur Aguiar dando risada de quem disse que ele ia trair a Mayra na primeira festa!!!!!,Wed Jan 19 20:18:56 +0000 2022,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",http://pbs.twimg.com/profile_images/1449052813393338374/Gt6Sr2gP_normal.jpg
vidagusetulio,"RT @Aguiarthur: ✨ FOLLOW TRICK DO #TeamAguiar  ✨

- RT e FAV
- Comente o emoji ✨
- Seguir quem deu RT e FAV
- Seguir quem curtir seu emoji…",Wed Jan 19 20:18:52 +0000 2022,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",http://pbs.twimg.com/profile_images/1479656090006609922/SSIuJVuE_normal.jpg
_CoelhoLucass,"RT @brunorahall: a produção: nossa que barulho eh esse

o arthur aguiar com a psicóloga do bbb de madrugada: https://t.co/cT7msMpB2C",Wed Jan 19 20:18:50 +0000 2022,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",http://pbs.twimg.com/profile_images/1391862024255283200/7Xs-EoAy_normal.jpg
PriorFc,"RT @valerialeal1969: Vão ter que"" engolir"" "" Canceladores de merda"" Scooby, Nayara são uns fofos, principalmente o Scooby,e ainda tem o Art…",Wed Jan 19 20:18:40 +0000 2022,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",http://pbs.twimg.com/profile_images/1352294076855541761/m-eKJMyB_normal.jpg
meditandobatom,"RT @heavning: Amanhã tem a entrada do kingo Arthur Aguiar na casa do BBB, é a oportunidade perfeita pra flodar com essa fancam de Sobre tod…",Wed Jan 19 20:18:40 +0000 2022,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",http://pbs.twimg.com/profile_images/1482222149943312384/UaGH1uhG_normal.jpg
Anittaxth,"RT @bchartsnet: 🚨Eles estão chegando! Linn Da Quebrada, Jade Picon e Arthur Aguiar entram no #BBB22 nesta quinta-feira pela manhã. https://…",Wed Jan 19 20:18:26 +0000 2022,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",http://pbs.twimg.com/profile_images/1480308004914409477/ze95X_BM_normal.jpg
sarahreis21,"RT @brunorahall: a produção: nossa que barulho eh esse

o arthur aguiar com a psicóloga do bbb de madrugada: https://t.co/cT7msMpB2C",Wed Jan 19 20:18:12 +0000 2022,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",http://pbs.twimg.com/profile_images/1246998160758759424/HzBZJHys_normal.jpg
