User,Tweet,Date,Source,Profile Photo
macomentys,@Aguiarthur ansiosa pra ver o nosso pitico @heycaraleo https://t.co/mnqeY2OtRF,Thu Jan 20 01:29:56 +0000 2022,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",http://pbs.twimg.com/profile_images/1483961427257921540/E4GqVM68_normal.jpg
Viviane98317922,RT @Cinlinda123: @Aguiarthur Só vem bonito. Venha com tudo. https://t.co/jCn9THdH6E,Thu Jan 20 01:29:53 +0000 2022,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",http://pbs.twimg.com/profile_images/1482145163115966465/ebjxxH4r_normal.jpg
srtahanker,"meu irmão: algum dos três q entrarem, vão se foder 
eu: espero que seja arthur aguiar 
tudo certo por aqui família",Thu Jan 20 01:29:45 +0000 2022,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",http://pbs.twimg.com/profile_images/1483453173796847618/pmNiHY_l_normal.jpg
BrunoGo137,"@mbrenno_ que Santo ? o Santo twitter ? até a Naiara sabe que tava mal aqui fora, o Rodrigo falou até que se o Arth… https://t.co/BX6FWpHHWx",Thu Jan 20 01:29:40 +0000 2022,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",http://pbs.twimg.com/profile_images/1480353700698808326/W7x9Fy3I_normal.jpg
jurgz_1,RT @sabrinxtn: homem é fiel igual o arthur aguiar,Thu Jan 20 01:29:38 +0000 2022,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",http://pbs.twimg.com/profile_images/1466100469412024329/GqGd7Zy4_normal.jpg
falando24horas,RT @Aguiarthur: AMANHÃ É O GRANDE DIA! ✨💛,Thu Jan 20 01:29:36 +0000 2022,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",http://pbs.twimg.com/profile_images/1475894653111128072/WLBT82JL_normal.jpg
MafiosaLouca,"RT @choquei: Jade Picon, Arthur Aguiar e Linn da Quebrada entrarão na casa do #BBB22 amanhã às 13h00",Thu Jan 20 01:29:34 +0000 2022,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",http://pbs.twimg.com/profile_images/1437610611328815105/AjZ0nOkk_normal.jpg
AnnaKarlaneves6,"@Aguiarthur Vemmm q estamos todos ansiosos pra sua chegada, vomos ver se já vira um favorito pro quarteto",Thu Jan 20 01:29:30 +0000 2022,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",http://pbs.twimg.com/profile_images/1483614792967458828/o41HUTJ__normal.jpg
Viviane98317922,RT @Aguiarthur: ELE TÁ VINDO AÍ!!!!! #BBB22 https://t.co/wzNlJPd2re,Thu Jan 20 01:29:28 +0000 2022,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",http://pbs.twimg.com/profile_images/1482145163115966465/ebjxxH4r_normal.jpg
carvalhosmanuu,Eles tentando combinar voto mas mal sabem eles que terá ARTHUR AGUIAR p votar 😋😋,Thu Jan 20 01:29:26 +0000 2022,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",http://pbs.twimg.com/profile_images/1475210751002521605/SesISlN__normal.jpg
