User,Tweet,Date,Source,Profile Photo
jackcocochanel,"@Aguiarthur Adm, meu follow porfavor",Thu Jan 20 03:02:33 +0000 2022,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",http://pbs.twimg.com/profile_images/1483275166411022340/tIR963rw_normal.jpg
AnnaKarlaneves6,@Aguiarthur Arthur vai quebrar muitas pessoas lá dentro o sorriso dele é perfeito de mais😍 e mostra q ele é alguém de uma vib fantástica,Thu Jan 20 03:02:32 +0000 2022,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",http://pbs.twimg.com/profile_images/1483614792967458828/o41HUTJ__normal.jpg
jackcocochanel,@Aguiarthur Me segueeeeeeeeee,Thu Jan 20 03:02:25 +0000 2022,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",http://pbs.twimg.com/profile_images/1483275166411022340/tIR963rw_normal.jpg
boydriiguete,RT @Aguiarthur: Falta muito pouco! #BBB22 https://t.co/ghzcelv4cY,Thu Jan 20 03:02:24 +0000 2022,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",http://pbs.twimg.com/profile_images/1483219522198949889/0SyndKMo_normal.jpg
beIieveaoty,RT @Aguiarthur: Falta muito pouco! #BBB22 https://t.co/ghzcelv4cY,Thu Jan 20 03:02:22 +0000 2022,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",http://pbs.twimg.com/profile_images/1483985353551880192/hJrY3EkZ_normal.jpg
jackcocochanel,"@Aguiarthur Me segue adm, porfavor! ✨",Thu Jan 20 03:02:20 +0000 2022,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",http://pbs.twimg.com/profile_images/1483275166411022340/tIR963rw_normal.jpg
KleberCaetano9,@chicobarney Festa sem o Arthur Aguiar não vai ter pegação,Thu Jan 20 03:02:17 +0000 2022,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",http://pbs.twimg.com/profile_images/1483153743394873349/xGeX83Vo_normal.jpg
_enzin_,"@evauviedo Arthur Aguiar, Abravanel, Naiara e talvez a Jade
a Maria eu ia reconhecer mas n ia saber o nome",Thu Jan 20 03:02:17 +0000 2022,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",http://pbs.twimg.com/profile_images/1478079660642775055/aMpEu-H5_normal.jpg
jackcocochanel,@Aguiarthur Me segue adm!!!!,Thu Jan 20 03:02:14 +0000 2022,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",http://pbs.twimg.com/profile_images/1483275166411022340/tIR963rw_normal.jpg
isaroltuita,RT @Aguiarthur: Falta muito pouco! #BBB22 https://t.co/ghzcelv4cY,Thu Jan 20 03:02:10 +0000 2022,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",http://pbs.twimg.com/profile_images/1482954375697944577/kBhGnwoA_normal.jpg
