Channel,Titles
Cris Fernandes - Facilitadora de Consciência,O “filhinho da mamãe” - segundo visão sistêmica (Live 27-05-20 )
Cris Fernandes - Facilitadora de Consciência,"Quem vive cuidando, ADOECE e morre sem VIVER!"
Cris Fernandes - Facilitadora de Consciência,Curso de Barras de Access - Mudanças de pontos de vistas
Cris Fernandes - Facilitadora de Consciência,Barras de Access pode ser uma contribuição para você detonar seus auto-julgamentos?
Cris Fernandes - Facilitadora de Consciência,Live - CORONAVÍRUS (Como se blindar dessa vibe de atração para sua vida)
Cris Fernandes - Facilitadora de Consciência,Palestra - Seja Fodástico em 2019
Cris Fernandes - Facilitadora de Consciência,LIVE - Dependência Emocional
Cris Fernandes - Facilitadora de Consciência,Live - Como seria escolher viver cada momento da sua vida como uma celebração alegre?
Cris Fernandes - Facilitadora de Consciência,LIVE - Constelação Familiar
Cris Fernandes - Facilitadora de Consciência,“Filhinho da Mamãe” segundo a visão sistêmica.
Cris Fernandes - Facilitadora de Consciência,O que é Constelação Familiar e como ela funciona?
Cris Fernandes - Facilitadora de Consciência,Como vencer os desafios nos relacionamentos durante o isolamento social?
Cris Fernandes - Facilitadora de Consciência,Meditação guiada para serenar e ativar virtudes
Cris Fernandes - Facilitadora de Consciência,5 MANEIRAS de manter sua AUTOESTIMA
Cris Fernandes - Facilitadora de Consciência,Em que caixa você se encaixa na sua vida?
Cris Fernandes - Facilitadora de Consciência,Reflexão e perguntas empoderadoras sobre ansiedade e controle
Cris Fernandes - Facilitadora de Consciência,Relacionamento  - Qual finalidade você dá para o seu?
Cris Fernandes - Facilitadora de Consciência,Manhã Total - Como a física quântica pode melhorar nossa vida? (TV Paranaíba)
Cris Fernandes - Facilitadora de Consciência,5 maneiras de identificar se seu relacionamento está saudável
Cris Fernandes - Facilitadora de Consciência,A “filhinha do papai” segunda a visão sistêmica
