Category,Channel,Inscritos,Videos,Ch_URL
vida sistemica,Vida Sistêmica,158 subscribers,24 videos,https://www.youtube.com/c/VidaSist%C3%AAmica
vida sistemica,Vida Sistêmica,25 subscribers,8 videos,https://www.youtube.com/channel/UCSvNmQZWTvmRdTa08yIaucw
vida sistemica,Vida Sistêmica Consultores e Terapeutas Associados,5 subscribers,3 videos,https://www.youtube.com/channel/UCv42Q_wlI2gRwYZcItdIhxQ
vida sistemica,Anderson Duarte Canal Vida Sistêmica,46 subscribers,21 videos,https://www.youtube.com/channel/UCdU94z-HIXICDYFXBwflJnA
vida sistemica,Minha Vida Sistêmica,4 subscribers,2 videos,https://www.youtube.com/channel/UCg_0iYOsDJg6_K5F-Nubxtw
vida sistemica,Vida Sistêmica- By Daniele Silva,8 subscribers,1 video,https://www.youtube.com/channel/UCW_SShjmqgT3Sw7MMkr3RIQ
vida sistemica,LUCIENE FERREIRA VIDA SISTÊMICA,3 subscribers,13 videos,https://www.youtube.com/channel/UCM6aJAgbCplM5xjxkjPPN4w
vida sistemica,Hilário Trigo,61.8K subscribers,30 videos,https://www.youtube.com/user/htrigo
vida sistemica,LUCIENE FERREIRA VIDA SISTÊMICA,,12 videos,https://www.youtube.com/channel/UCR1gGWZrLLHrr_MZwux-L-g
vida sistemica,Rosa Maria Coaching,412 subscribers,31 videos,https://www.youtube.com/channel/UCCX79ZIL8LFMgr5s9xWfayw
vida sistemica,Fernando Freitas CS,150K subscribers,"1,567 videos",https://www.youtube.com/user/fernandodefreitas10
vida sistemica,Cecília Castro,26 subscribers,6 videos,https://www.youtube.com/channel/UCUdLdEcxS-5lgo-SiYpkpNQ
vida sistemica,Cassia Fernandes,12K subscribers,208 videos,https://www.youtube.com/c/CassiaFernandes
vida sistemica,Paulla Welker,1.22K subscribers,360 videos,https://www.youtube.com/c/PaulaWelker
vida sistemica,Olinda Guedes,44.5K subscribers,425 videos,https://www.youtube.com/c/OlindaGuedes
vida sistemica,Cris Fernandes - Facilitadora de Consciência,252 subscribers,101 videos,https://www.youtube.com/channel/UCFkAZ6rpTz1cbWqRSdaAQ6Q
vida sistemica,Carlos Froes,53.3K subscribers,497 videos,https://www.youtube.com/c/CarlosFroes
vida sistemica,Frederico Ciongoli,29.7K subscribers,28 videos,https://www.youtube.com/user/salitre1000
vida sistemica,Carla Queiroz CM,17.8K subscribers,845 videos,https://www.youtube.com/channel/UC9-5yxbWEas1POrktPl7kng
vida sistemica,sisi espindola,248 subscribers,8 videos,https://www.youtube.com/channel/UCqM34-j0IBfmwhq75D33dlA
