Category,Channel,Inscritos,Videos,Ch_URL
pastel,Pastel,38400,457.0,https://www.youtube.com/c/WildPastelHair
pastel,Pastel,1 6300,15.0,https://www.youtube.com/channel/UCSF6vx__8xdAnUIA_fcmB2Q
pastel, Pastel ,7 9800,,https://www.youtube.com/channel/UCOSl5jTw-05mAOtL9gvuvyA
pastel,Alessandra Santos Pastel,1 1800000,489.0,https://www.youtube.com/c/AlessandraSantosPastel
pastel,Pastel,2,1.0,https://www.youtube.com/channel/UC-_eUg99UuIcUAXsvr9Qh1w
pastel,Curso Pastel de Feira,6,2.0,https://www.youtube.com/channel/UCTLvXWIDDkEmX1MhSZPi1MQ
pastel,Pastel,59,27.0,https://www.youtube.com/channel/UCvU3Lrgb4cPOsC3iyqEVu-Q
pastel,Pastel Peryton,6900,68.0,https://www.youtube.com/channel/UC88YYy0Bsk9VrVRKhklnNBg
pastel,Pastel Flurry,43800,30.0,https://www.youtube.com/channel/UCZVeE4pxO9AqvGh74KYg2ig
pastel,Pastel motos,153,12.0,https://www.youtube.com/channel/UCn4nvnqa-ThMj9EC1D1lrUQ
pastel,Aninha Santos Pastel,3 3600,38.0,https://www.youtube.com/channel/UCIjMZ-yxmkQNw1UgfpvEGlw
pastel,Pastel Sisters,81 800,64.0,https://www.youtube.com/channel/UCENUZbRr1cWOJEn2snygrfg
pastel,Silvana Santos Pastel,10 800,55.0,https://www.youtube.com/channel/UCFnUyWqZ2kJ3MoaxXgQt5Cw
pastel,Pastel Chocolate,29200,51.0,https://www.youtube.com/c/PastelChocolate16
pastel,Pastel MSP,23,1.0,https://www.youtube.com/channel/UCUfTi-_IGBglR_NPX0-WcPg
pastel,Pastel gameplay,13,36.0,https://www.youtube.com/channel/UCtrA3Kihzvq4xVtKSrXIO-g
pastel,PASTEL 777,135,27.0,https://www.youtube.com/channel/UC3HaN4RT7cEqaw-eYiU3vTw
pastel,Pastel Store Filmes,155,30.0,https://www.youtube.com/channel/UCPHRTCSjDAYBCrMmF93hYuA
pastel,pastel catto,3 9700,,https://www.youtube.com/channel/UC-j7Bo-5x40LDgFSjPALpvg
pastel,Hello Pastel Blossom TV,79 300,298.0,https://www.youtube.com/c/HelloPastelBlossomTV
