Category,Channel,Inscritos,Videos,Ch_URL
pastelaria,Academia de Pastelaria,1 5100,28,https://www.youtube.com/c/AcademiadePastelaria
pastelaria,Pastelaria,9,7,https://www.youtube.com/channel/UCjZP2Ym6EBKMBRGQC7otKQQ
pastelaria,Pastelaria,,73,https://www.youtube.com/channel/UCbbNxRLg0tyhdHYrhFUml9A
pastelaria,Segredos da Pastelaria,7 6400,146,https://www.youtube.com/c/SegredosdaPastelaria
pastelaria,Pastelaria Online com Marliane Silva,8 4100,42,https://www.youtube.com/channel/UCErRMtGDZqnqHpZyIVUhrcg
pastelaria,pastelaria online,2 7800,77,https://www.youtube.com/c/pastelariaonline
pastelaria,Pastelaria de Sucesso,3 5600,46,https://www.youtube.com/channel/UCT0HtbB7YAgrquyprDyJGTA
pastelaria,vintage pastelaria,8,3,https://www.youtube.com/channel/UCe6VoFV6DTjGG8BsjOJHOTg
pastelaria,Pastelaria e pizzaria pastelaria,9,7,https://www.youtube.com/channel/UCZ9FgNIlBSpW-_vRz1EmsWA
pastelaria,Fogazzaria e Pastelaria Dahora,,1,https://www.youtube.com/channel/UC95AINUFLb4MuYFZD7vJERw
pastelaria,Pastelaria,9,1,https://www.youtube.com/channel/UCu176TlNBwtq60HudG1yExw
pastelaria,Pastelaria Sidineia Soares Oliveira,,2,https://www.youtube.com/channel/UC_lUSZ8F0CbbsjJXMwCt2Rg
pastelaria,Pastelaria,10,1,https://www.youtube.com/channel/UC0XTznDAmkxiid3DknmicEQ
pastelaria,Solar D ouro Pastelaria,1,1,https://www.youtube.com/channel/UCueHMLvg9mKQKLooIZ2496Q
pastelaria,Xillas Padaria Pastelaria,,2,https://www.youtube.com/channel/UCQQnf31BZMfeFU1_QOR_h4A
pastelaria,Daniel Lanches e Pastelaria,4,2,https://www.youtube.com/channel/UCx7dqGYDr17WlM43NWzq7jA
pastelaria,Taket Pastelaria,9,41,https://www.youtube.com/channel/UCYzbPQ62PnOCXyL3GptuCNQ
pastelaria,Day Salgados e Doces Pastelaria,8,7,https://www.youtube.com/channel/UClM0fYXVcpD-omLCyeOBKpQ
pastelaria,Confeitaria e Pastelaria Moura,9,2,https://www.youtube.com/user/confeitariamoura
pastelaria,Pastelaria P o de Deus,13,8,https://www.youtube.com/channel/UCSLSH_OAbW_7dL6wFX4Jr8Q
pastelaria,pastelaria tangar ,4,1,https://www.youtube.com/channel/UC3ZKmr9d3DrHwT8zSb5X2Qg
pastelaria,Pastelaria Diversos Sabores,1,2,https://www.youtube.com/channel/UCyyR5jt8IvFc06rqVr_gAWg
pastelaria,TREM B O PASTELARIA,,1,https://www.youtube.com/channel/UCnaPINz5diYurqRrPVYZ1lw
pastelaria,pastelaria tudo quente,6,1,https://www.youtube.com/channel/UC55J2NFxjHokw9BjKJEyVZg
