Category,Channel,Inscritos,Videos,Ch_URL
patel,Neil Patel Brasil,18 600,251,https://www.youtube.com/c/NeilPatelBrasil
patel,Neil Patel,98200,798,https://www.youtube.com/c/NeilPatel
patel,PATEL FIFA,36 700,216,https://www.youtube.com/c/PATELFIFA
patel,KJ PATEL,,102,https://www.youtube.com/c/KJPATELHEENA
patel,Bhrugen Patel,2 6400,19,https://www.youtube.com/user/bhrugen1990
patel,Rupesh Patel,1 1700,136,https://www.youtube.com/c/RupeshLive
patel,Abbhinav patel,5 8700,38,https://www.youtube.com/channel/UCWPMvupUWaoL9eTYRJ0syIw
patel,Neil Patel,542,8,https://www.youtube.com/channel/UCG61xGSdmslK68nY1trU1cg
patel,Indian Youtuber Suraiya patel,7 3500,51,https://www.youtube.com/c/SAYoutuberSuraiyapatel
patel,Bapuji Dashrathbhai Patel,27900,2 562,https://www.youtube.com/c/anant98251
patel,Bindi Patel,367,14,https://www.youtube.com/channel/UC8mvwQ89ltoxKuHq2EC4egA
patel,Kathan Patel,1 700,18,https://www.youtube.com/c/KathanPatel
patel,Vic Patel,37900,239,https://www.youtube.com/c/VicPatel
patel,Neil Patel,52,16,https://www.youtube.com/channel/UCc5zmI5-sYP1FbOFrJjSrAg
patel,GAMING WITH PATEL,18100,255,https://www.youtube.com/channel/UCp73sf3Q3P4w-6KBAsRkk4A
patel,kuldeep patel,4 9900,242,https://www.youtube.com/c/kuldeeppatel
patel,Venus Patel,1 5600,8,https://www.youtube.com/channel/UCBUhxisfdJf8rT_yb9-jX0w
patel,DR JANAK J PATEL MD 2020 MEDICINE 4 ALL,1 1300,362,https://www.youtube.com/channel/UCjqIGBXiCPhrWwBrAYuMfzQ
patel,Sujan Patel,5 8400,208,https://www.youtube.com/c/SujanPatel
patel,O A Level Computer with Inqilab Patel,327,82,https://www.youtube.com/channel/UCaW7IlpTNwSn85ODFJcKl7w
