Category,Channel,Inscritos,Videos,Ch_URL
terapia de casal,Terapia de casal,14 subscribers,7 videos,https://www.youtube.com/channel/UCQiupO5hvq7HW0rqvo3A3sQ
terapia de casal,TERAPIA DE CASAL,520 subscribers,15 videos,https://www.youtube.com/channel/UCv6-jGoDWB9aJgRBZztkFFw
terapia de casal,Ana Morici Terapia de Casal,87 subscribers,5 videos,https://www.youtube.com/channel/UCoR-q7wjjP3ilOTQJ0YS9zQ
terapia de casal,Terapia de Família e Casal,1.4K subscribers,68 videos,https://www.youtube.com/c/TerapiadeFam%C3%ADliaeCasal
terapia de casal,Terapia de Casal,79 subscribers,4 videos,https://www.youtube.com/channel/UCV99huCMSIFFC_srTonvWhg
terapia de casal,Ser Terapeuta de Casal | por Tati Perez,6.23K subscribers,192 videos,https://www.youtube.com/c/SerTerapeutadeCasal
terapia de casal,Sua Terapia de Casal,101 subscribers,6 videos,https://www.youtube.com/channel/UCqdsDGNhaWX_O6Mosl7_r9g
terapia de casal,Canal Terapia de Casal Online,,8 videos,https://www.youtube.com/channel/UCpjN-rCHgnGnY3MkghJOimA
terapia de casal,Terapia de Casal Online | Psicólogo Gleison Pessoa,23 subscribers,7 videos,https://www.youtube.com/channel/UCRfWsDrjZqc8KVJbHQREXCw
terapia de casal,Instituto de Terapia de Casal,64 subscribers,5 videos,https://www.youtube.com/channel/UChMQyh-2YXd3i0yNRBCveNw
terapia de casal,Casal Spadoni - Terapia de Casal,90 subscribers,13 videos,https://www.youtube.com/channel/UCypmc8Y1vMxoVmfpks_wQxQ
terapia de casal,Cláudia Morais,3.99K subscribers,296 videos,https://www.youtube.com/c/Cl%C3%A1udiaMorais
terapia de casal,Terapia de Casal SP Anna Hirsch Burg,736 subscribers,6 videos,https://www.youtube.com/channel/UCh7wonifiCECuNnFuOP3agQ
terapia de casal,Terapia de casal bem casados,,4 videos,https://www.youtube.com/channel/UCIMmGw0YdO8S5BFhyWRThew
terapia de casal,Terapia de Casal,2 subscribers,2 videos,https://www.youtube.com/channel/UCrrxgSL01qgv6L4LR8dMk3w
terapia de casal,Terapia de Casal,16 subscribers,2 videos,https://www.youtube.com/channel/UCe-GpXJOe-eIfB8uw_v7DhA
terapia de casal,Carlos Messa - Vinculum - Terapia de Casal,,22 videos,https://www.youtube.com/user/Calmesss
terapia de casal,Terapiada de Casal,122 subscribers,7 videos,https://www.youtube.com/c/TerapiadadeCasal
terapia de casal,Roberto de Freitas | Terapia de Casal,,6 videos,https://www.youtube.com/channel/UCa_cgAzTZFyMWYWJKXKYd7Q
terapia de casal,Canal Lifetime Brasil,682K subscribers,"2,881 videos",https://www.youtube.com/c/Meulifetime
